Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,20.121100,2.566170,2.802790,52.098100
2回目,3.175000,2.406840,16.215900,17.820500
3回目,3.175000,15.730000,15.968900,52.098100
4回目,20.121100,15.760800,16.244900,15.951300
5回目,21.697900,2.332010,16.215900,2.950250
6回目,2.988020,2.566170,16.079300,16.313000
7回目,2.820430,64.496000,17.100800,2.950250
8回目,22.616300,2.637270,2.802790,17.434400
9回目,2.921650,15.730000,15.539700,16.313000
10回目,2.921650,3.109380,3.260560,17.434400
11回目,22.616300,2.964310,2.727230,2.950250
12回目,2.921650,16.710700,15.800900,17.820500
13回目,21.697900,16.741200,2.986140,2.775580
14回目,2.820430,2.566170,3.146890,2.950250
15回目,22.616300,2.948550,16.550000,2.950250
16回目,41.908500,15.760800,16.244900,52.098100
17回目,41.908500,3.110170,2.897100,2.775580
18回目,18.101600,17.235200,16.215900,2.991300
19回目,22.616300,2.637270,16.587100,2.772490
20回目,2.820430,15.760800,2.992320,16.313000
21回目,41.908500,14.960900,16.044800,2.772490
22回目,2.921650,2.566170,3.683020,15.951300
23回目,41.908500,15.730000,16.405800,17.434400
24回目,21.546700,3.110170,2.788020,2.772490
25回目,41.908500,16.741200,3.063410,17.434400
26回目,22.616300,3.110170,3.070200,2.991300
27回目,20.121100,16.710700,2.917700,2.775580
28回目,18.101600,2.428730,2.744210,22.471800
29回目,21.546700,2.332010,3.396650,52.098100
30回目,21.546700,2.332010,16.373200,2.775580
31回目,3.175000,2.637270,2.992320,22.471800
32回目,41.908500,64.496000,2.802790,22.471800
33回目,18.101600,2.428730,3.465130,17.434400
34回目,2.921650,2.428730,2.992320,2.950250
35回目,2.921650,14.960900,2.994970,15.951300
36回目,3.175000,2.566170,2.480110,2.991300
37回目,22.616300,2.332010,15.968900,2.950250
38回目,3.175000,14.960900,16.162100,2.991300
39回目,20.121100,2.948550,15.968900,15.951300
40回目,21.546700,15.730000,16.865800,2.772490
41回目,3.175000,16.741200,17.041300,17.820500
42回目,21.546700,2.531710,3.232680,2.814780
43回目,2.988020,15.760800,2.744210,2.814780
44回目,3.175000,2.332010,16.028300,17.820500
45回目,3.175000,2.637270,3.591610,22.471800
46回目,3.175000,64.496000,2.828360,15.951300
47回目,18.101600,2.428730,16.557800,2.991300
48回目,22.616300,2.744380,2.957640,17.434400
