Loss,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,34.693900,18.367300,29.591800,15.306100
2回目,40.816300,21.428600,22.449000,29.591800
3回目,40.816300,17.346900,19.387800,15.306100
4回目,34.693900,21.428600,22.449000,20.408200
5回目,43.877600,21.428600,22.449000,25.510200
6回目,48.979600,18.367300,18.367300,19.587600
7回目,51.020400,16.326500,27.551000,25.510200
8回目,43.877600,17.346900,29.591800,27.551000
9回目,37.113400,17.346900,19.387800,19.587600
10回目,37.113400,19.387800,25.510200,27.551000
11回目,43.877600,23.469400,21.649500,25.510200
12回目,37.113400,23.469400,21.428600,29.591800
13回目,43.877600,25.510200,21.428600,24.489800
14回目,51.020400,18.367300,28.571400,25.510200
15回目,43.877600,18.556700,21.428600,25.510200
16回目,44.898000,21.428600,22.449000,15.306100
17回目,44.898000,19.387800,22.680400,24.489800
18回目,30.612200,23.469400,22.449000,25.510200
19回目,43.877600,17.346900,24.489800,16.326500
20回目,51.020400,21.428600,18.367300,19.587600
21回目,44.898000,12.244900,17.346900,16.326500
22回目,37.113400,18.367300,15.306100,20.408200
23回目,44.898000,17.346900,22.449000,27.551000
24回目,41.836700,19.387800,9.183670,16.326500
25回目,44.898000,25.510200,25.510200,27.551000
26回目,43.877600,19.387800,23.469400,25.510200
27回目,34.693900,23.469400,20.408200,24.489800
28回目,30.612200,14.285700,17.525800,21.428600
29回目,41.836700,21.428600,15.306100,15.306100
30回目,41.836700,21.428600,20.408200,24.489800
31回目,40.816300,17.346900,18.367300,21.428600
32回目,44.898000,16.326500,29.591800,21.428600
33回目,30.612200,14.285700,19.387800,27.551000
34回目,37.113400,14.285700,18.367300,25.510200
35回目,37.113400,12.244900,10.204100,20.408200
36回目,40.816300,18.367300,28.571400,25.510200
37回目,43.877600,21.428600,19.387800,25.510200
38回目,40.816300,12.244900,21.428600,25.510200
39回目,34.693900,18.556700,19.387800,20.408200
40回目,41.836700,17.346900,22.449000,16.326500
41回目,40.816300,25.510200,21.428600,29.591800
42回目,41.836700,16.326500,21.428600,29.591800
43回目,48.979600,21.428600,17.525800,29.591800
44回目,40.816300,21.428600,19.387800,29.591800
45回目,40.816300,17.346900,18.367300,21.428600
46回目,40.816300,16.326500,24.489800,20.408200
47回目,30.612200,14.285700,23.469400,25.510200
48回目,43.877600,21.428600,21.428600,27.551000
49回目,30.612200,19.387800,26.530600,20.408200
50回目,26.530600,18.556700,19.387800,25.510200
51回目,44.898000,19.387800,18.367300,29.591800
52回目,43.877600,19.387800,20.408200,25.510200
53回目,43.877600,16.326500,18.367300,29.591800
54回目,43.877600,21.428600,18.367300,21.428600
55回目,43.877600,14.285700,17.525800,20.408200
56回目,26.530600,18.556700,27.551000,29.591800
57回目,26.530600,19.387800,23.469400,19.587600
58回目,43.877600,17.346900,17.346900,19.587600
59回目,44.898000,21.428600,19.387800,16.326500
60回目,48.979600,17.346900,22.449000,15.306100
