Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,1034840.000000,2084986.000000,1904906.000000,1855243.000000
2回目,958756.000000,2078372.000000,1870382.000000,1899949.000000
3回目,958756.000000,2086690.000000,1878542.000000,1855243.000000
4回目,1034840.000000,2090992.000000,1876212.000000,1859245.000000
5回目,950674.000000,2090260.000000,1870382.000000,1884407.000000
6回目,969890.000000,2070102.000000,1868466.000000,1876285.000000
7回目,965640.000000,2078904.000000,1890272.000000,1884407.000000
8回目,960632.000000,2082272.000000,1904906.000000,1903701.000000
9回目,1009816.000000,2086690.000000,1846474.000000,1876285.000000
10回目,1009816.000000,2077528.000000,1901792.000000,1903701.000000
11回目,960632.000000,2091188.000000,1875540.000000,1884407.000000
12回目,1009816.000000,2100390.000000,1860164.000000,1899949.000000
13回目,950674.000000,2104296.000000,1882082.000000,1867305.000000
14回目,965640.000000,2070102.000000,1922576.000000,1884407.000000
15回目,960632.000000,2114616.000000,1878590.000000,1884407.000000
16回目,953830.000000,2090992.000000,1876212.000000,1855243.000000
17回目,953830.000000,2084970.000000,1889818.000000,1867305.000000
18回目,978264.000000,2111244.000000,1870382.000000,1894251.000000
19回目,960632.000000,2089714.000000,1869632.000000,1845833.000000
20回目,965640.000000,2083550.000000,1884956.000000,1876285.000000
21回目,953830.000000,2059080.000000,1881262.000000,1845833.000000
22回目,1009816.000000,2077544.000000,1862728.000000,1859245.000000
23回目,953830.000000,2101574.000000,1873840.000000,1903701.000000
24回目,974940.000000,2092412.000000,1827554.000000,1845833.000000
25回目,953830.000000,2104296.000000,1905858.000000,1903701.000000
26回目,960632.000000,2092412.000000,1900992.000000,1894251.000000
27回目,1034840.000000,2092948.000000,1887818.000000,1867305.000000
28回目,978264.000000,2048982.000000,1866784.000000,1844957.000000
29回目,974940.000000,2090260.000000,1875666.000000,1855243.000000
30回目,974940.000000,2090260.000000,1884912.000000,1867305.000000
31回目,958756.000000,2089714.000000,1884956.000000,1844957.000000
32回目,953830.000000,2093788.000000,1904906.000000,1844957.000000
33回目,978264.000000,2056424.000000,1890834.000000,1903701.000000
34回目,1009816.000000,2041540.000000,1884956.000000,1884407.000000
35回目,1009816.000000,2059080.000000,1835818.000000,1859245.000000
36回目,958756.000000,2070102.000000,1902166.000000,1894251.000000
37回目,960632.000000,2097702.000000,1878542.000000,1884407.000000
38回目,958756.000000,2059080.000000,1871760.000000,1894251.000000
39回目,1034840.000000,2092290.000000,1878542.000000,1859245.000000
40回目,974940.000000,2101574.000000,1892482.000000,1845833.000000
41回目,958756.000000,2111738.000000,1893598.000000,1899949.000000
42回目,974940.000000,2065694.000000,1889526.000000,1917401.000000
43回目,969890.000000,2083550.000000,1866784.000000,1917401.000000
44回目,958756.000000,2090260.000000,1869174.000000,1899949.000000
45回目,958756.000000,2097156.000000,1887540.000000,1844957.000000
46回目,958756.000000,2086346.000000,1903868.000000,1859245.000000
47回目,978264.000000,2041540.000000,1882918.000000,1894251.000000
48回目,960632.000000,2081498.000000,1866006.000000,1903701.000000
49回目,978264.000000,2092412.000000,1888262.000000,1859245.000000
50回目,959512.000000,2056872.000000,1871404.000000,1894251.000000
51回目,953830.000000,2092412.000000,1859388.000000,1899949.000000
52回目,950674.000000,2084970.000000,1849890.000000,1884407.000000
53回目,950674.000000,2065694.000000,1887540.000000,1917401.000000
54回目,950674.000000,2078372.000000,1887540.000000,1844957.000000
55回目,960632.000000,2048982.000000,1866784.000000,1859245.000000
56回目,959512.000000,2092290.000000,1904808.000000,1899949.000000
57回目,959512.000000,2092412.000000,1882542.000000,1876285.000000
58回目,960632.000000,2082272.000000,1861484.000000,1876285.000000
59回目,953830.000000,2090992.000000,1878542.000000,1845833.000000
60回目,969890.000000,2082272.000000,1870382.000000,1855243.000000
61回目,1009816.000000,2070102.000000,1912948.000000,1903701.000000
62回目,958756.000000,2084970.000000,1872764.000000,1855243.000000
63回目,953830.000000,2070102.000000,1894546.000000,1845833.000000
64回目,974940.000000,2084970.000000,1865496.000000,1844957.000000
65回目,1009816.000000,2065694.000000,1891196.000000,1917401.000000
66回目,969890.000000,2083550.000000,1835818.000000,1899949.000000
67回目,950674.000000,2089714.000000,1870382.000000,1917401.000000
68回目,950674.000000,2084970.000000,1896100.000000,1884407.000000
69回目,974940.000000,2084970.000000,1894544.000000,1903701.000000
70回目,969890.000000,2084970.000000,1858100.000000,1855243.000000
71回目,960632.000000,2092412.000000,1902166.000000,1899949.000000
72回目,1034840.000000,2099854.000000,1902166.000000,1884407.000000
73回目,958756.000000,2090260.000000,1895342.000000,1903701.000000
74回目,1009816.000000,2111738.000000,1902166.000000,1876285.000000
75回目,965640.000000,2070102.000000,1886586.000000,1845833.000000
76回目,974940.000000,2073964.000000,1896800.000000,1899949.000000
77回目,1009816.000000,2077528.000000,1861484.000000,1844957.000000
78回目,978264.000000,2078372.000000,1918204.000000,1845833.000000
79回目,959512.000000,2092428.000000,1866784.000000,1859245.000000
80回目,965640.000000,2066522.000000,1876212.000000,1917401.000000
81回目,978264.000000,2092290.000000,1861484.000000,1855243.000000
82回目,953830.000000,2088940.000000,1901472.000000,1867305.000000
83回目,958756.000000,2087560.000000,1835818.000000,1845833.000000
84回目,960632.000000,2091188.000000,1884248.000000,1844957.000000
85回目,960632.000000,2104296.000000,1887540.000000,1855243.000000
86回目,953830.000000,2083550.000000,1907496.000000,1894251.000000
87回目,960632.000000,2111738.000000,1903828.000000,1855243.000000
88回目,1009816.000000,2066522.000000,1857920.000000,1894251.000000
89回目,978264.000000,2090260.000000,1912390.000000,1855243.000000
90回目,978264.000000,2077528.000000,1874878.000000,1884407.000000
91回目,974940.000000,2105144.000000,1885152.000000,1855243.000000
92回目,974940.000000,2090260.000000,1835818.000000,1884407.000000
93回目,969890.000000,2091188.000000,1884956.000000,1884407.000000
94回目,958756.000000,2100390.000000,1880826.000000,1894251.000000
95回目,978264.000000,2078372.000000,1879676.000000,1844957.000000
96回目,1009816.000000,2094132.000000,1841888.000000,1917401.000000
97回目,1009816.000000,2090992.000000,1902166.000000,1855243.000000
98回目,950674.000000,2085012.000000,1890228.000000,1917401.000000
99回目,960632.000000,2099854.000000,1891438.000000,1844957.000000
100回目,974940.000000,2077528.000000,1887540.000000,1876285.000000
101回目,950674.000000,2086690.000000,1859798.000000,1855243.000000
102回目,959512.000000,2102232.000000,1886608.000000,1844957.000000
103回目,959512.000000,2090260.000000,1870574.000000,1845833.000000
104回目,974940.000000,2099732.000000,1871580.000000,1867305.000000
105回目,959512.000000,2084986.000000,1904906.000000,1867305.000000
106回目,974940.000000,2041540.000000,1840192.000000,1845833.000000
107回目,950674.000000,2085012.000000,1860328.000000,1884407.000000
108回目,960632.000000,2097702.000000,1870382.000000,1844957.000000
109回目,950674.000000,2091188.000000,1877390.000000,1867305.000000
110回目,1009816.000000,2085012.000000,1870382.000000,1859245.000000
111回目,1009816.000000,2097702.000000,1900540.000000,1903701.000000
112回目,950674.000000,2090992.000000,1870382.000000,1855243.000000
113回目,959512.000000,2104296.000000,1880018.000000,1917401.000000
114回目,953830.000000,2101574.000000,1819106.000000,1876285.000000
115回目,965640.000000,2105144.000000,1876212.000000,1867305.000000
116回目,965640.000000,2082272.000000,1873532.000000,1859245.000000
117回目,950674.000000,2083550.000000,1901434.000000,1867305.000000
118回目,960632.000000,2099854.000000,1897962.000000,1859245.000000
119回目,959512.000000,2041540.000000,1884956.000000,1894251.000000
120回目,959512.000000,2102232.000000,1904906.000000,1876285.000000
121回目,978264.000000,2083550.000000,1903882.000000,1899949.000000
122回目,969890.000000,2073964.000000,1861484.000000,1884407.000000
123回目,974940.000000,2070102.000000,1845596.000000,1899949.000000
124回目,978264.000000,2086346.000000,1887540.000000,1876285.000000
125回目,950674.000000,2099732.000000,1878128.000000,1859245.000000
126回目,959512.000000,2083550.000000,1885152.000000,1903701.000000
127回目,974940.000000,2066522.000000,1887940.000000,1884407.000000
128回目,974940.000000,2078372.000000,1864660.000000,1845833.000000
129回目,1009816.000000,2066522.000000,1835818.000000,1855243.000000
130回目,959512.000000,2084970.000000,1902166.000000,1867305.000000
131回目,958756.000000,2092290.000000,1866944.000000,1859245.000000
132回目,953830.000000,2041540.000000,1898152.000000,1855243.000000
133回目,958756.000000,2077528.000000,1882718.000000,1884407.000000
134回目,969890.000000,2077544.000000,1897646.000000,1876285.000000
135回目,953830.000000,2056872.000000,1887824.000000,1845833.000000
136回目,958756.000000,2091188.000000,1862038.000000,1855243.000000
137回目,958756.000000,2070102.000000,1867218.000000,1867305.000000
138回目,974940.000000,2078372.000000,1899330.000000,1859245.000000
139回目,1034840.000000,2092290.000000,1884912.000000,1859245.000000
140回目,950674.000000,2083550.000000,1902450.000000,1859245.000000
141回目,978264.000000,2090992.000000,1864136.000000,1855243.000000
142回目,974940.000000,2104296.000000,1907402.000000,1844957.000000
143回目,969890.000000,2099732.000000,1884956.000000,1894251.000000
144回目,965640.000000,2086346.000000,1862910.000000,1917401.000000
145回目,953830.000000,2086346.000000,1905694.000000,1917401.000000
146回目,974940.000000,2065694.000000,1893522.000000,1917401.000000
147回目,1009816.000000,2088940.000000,1900484.000000,1917401.000000
148回目,960632.000000,2111244.000000,1867554.000000,1876285.000000
149回目,950674.000000,2097156.000000,1835818.000000,1859245.000000
150回目,958756.000000,2088940.000000,1904906.000000,1867305.000000
151回目,958756.000000,2041540.000000,1861484.000000,1859245.000000
152回目,978264.000000,2082272.000000,1853438.000000,1867305.000000
153回目,969890.000000,2097702.000000,1876212.000000,1844957.000000
154回目,969890.000000,2100390.000000,1884956.000000,1855243.000000
155回目,960632.000000,2091188.000000,1876212.000000,1845833.000000
156回目,960632.000000,2078372.000000,1853644.000000,1845833.000000
157回目,1009816.000000,2097156.000000,1900336.000000,1859245.000000
158回目,958756.000000,2056872.000000,1884912.000000,1917401.000000
159回目,1034840.000000,2065694.000000,1884912.000000,1867305.000000
160回目,974940.000000,2059080.000000,1875512.000000,1899949.000000
161回目,950674.000000,2083550.000000,1902166.000000,1917401.000000
162回目,969890.000000,2104296.000000,1870382.000000,1917401.000000
163回目,969890.000000,2094132.000000,1863666.000000,1894251.000000
164回目,960632.000000,2092412.000000,1904906.000000,1859245.000000
165回目,960632.000000,2083550.000000,1878944.000000,1855243.000000
166回目,1034840.000000,2084986.000000,1863872.000000,1899949.000000
167回目,959512.000000,2088940.000000,1889606.000000,1844957.000000
168回目,960632.000000,2104296.000000,1866784.000000,1899949.000000
169回目,974940.000000,2092290.000000,1878542.000000,1855243.000000
170回目,969890.000000,2070102.000000,1902166.000000,1844957.000000
171回目,960632.000000,2104296.000000,1880158.000000,1855243.000000
172回目,953830.000000,2086346.000000,1884256.000000,1899949.000000
173回目,1009816.000000,2084970.000000,1839304.000000,1884407.000000
174回目,978264.000000,2102232.000000,1909474.000000,1867305.000000
175回目,960632.000000,2084970.000000,1870382.000000,1867305.000000
176回目,1034840.000000,2077528.000000,1831264.000000,1845833.000000
177回目,953830.000000,2065694.000000,1873584.000000,1876285.000000
178回目,1034840.000000,2084970.000000,1872890.000000,1903701.000000
179回目,960632.000000,2066522.000000,1861484.000000,1884407.000000
180回目,969890.000000,2084970.000000,1860444.000000,1859245.000000
181回目,950674.000000,2086690.000000,1878032.000000,1899949.000000
182回目,965640.000000,2084986.000000,1904906.000000,1867305.000000
183回目,978264.000000,2102232.000000,1857354.000000,1899949.000000
184回目,974940.000000,2090992.000000,1847346.000000,1884407.000000
185回目,958756.000000,2092412.000000,1889526.000000,1917401.000000
186回目,1034840.000000,2086346.000000,1884912.000000,1859245.000000
187回目,1034840.000000,2089714.000000,1884956.000000,1884407.000000
188回目,953830.000000,2090260.000000,1836042.000000,1844957.000000
189回目,960632.000000,2084970.000000,1859534.000000,1845833.000000
190回目,1009816.000000,2086690.000000,1905190.000000,1867305.000000
191回目,1009816.000000,2092412.000000,1880188.000000,1899949.000000
192回目,960632.000000,2078372.000000,1876212.000000,1845833.000000
193回目,965640.000000,2056424.000000,1889608.000000,1844957.000000
194回目,950674.000000,2094132.000000,1906048.000000,1867305.000000
195回目,953830.000000,2104296.000000,1902166.000000,1894251.000000
196回目,974940.000000,2059080.000000,1887540.000000,1903701.000000
197回目,1009816.000000,2073964.000000,1881254.000000,1855243.000000
198回目,965640.000000,2065694.000000,1880042.000000,1844957.000000
199回目,960632.000000,2070102.000000,1863224.000000,1855243.000000
200回目,960632.000000,2066522.000000,1870014.000000,1844957.000000
201回目,978264.000000,2085012.000000,1871442.000000,1867305.000000
202回目,959512.000000,2090260.000000,1872154.000000,1844957.000000
203回目,960632.000000,2082272.000000,1876212.000000,1867305.000000
204回目,960632.000000,2056872.000000,1884956.000000,1859245.000000
205回目,974940.000000,2097702.000000,1851848.000000,1845833.000000
206回目,969890.000000,2090992.000000,1900952.000000,1917401.000000
207回目,960632.000000,2100390.000000,1888282.000000,1903701.000000
208回目,965640.000000,2092412.000000,1866784.000000,1899949.000000
209回目,950674.000000,2065694.000000,1921374.000000,1867305.000000
210回目,959512.000000,2119180.000000,1883908.000000,1894251.000000
211回目,950674.000000,2083550.000000,1877958.000000,1903701.000000
212回目,959512.000000,2077544.000000,1884912.000000,1845833.000000
213回目,1034840.000000,2102232.000000,1861484.000000,1859245.000000
214回目,965640.000000,2104296.000000,1881938.000000,1917401.000000
215回目,974940.000000,2088940.000000,1835818.000000,1845833.000000
216回目,959512.000000,2082272.000000,1884256.000000,1867305.000000
217回目,950674.000000,2088940.000000,1876212.000000,1903701.000000
218回目,960632.000000,2104296.000000,1861484.000000,1917401.000000
219回目,953830.000000,2111244.000000,1858792.000000,1894251.000000
220回目,969890.000000,2065694.000000,1898488.000000,1855243.000000
221回目,978264.000000,2085012.000000,1872764.000000,1867305.000000
