PDR,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,60.204100,78.610600,69.457000,82.653100
2回目,55.102000,77.551000,74.526900,68.367300
3回目,55.102000,79.591800,78.571400,82.653100
4回目,60.204100,76.530600,74.489800,76.530600
5回目,53.061200,75.547800,74.526900,72.485100
6回目,47.959200,78.610600,79.591800,77.319600
7回目,48.979600,82.653100,69.387800,72.485100
8回目,52.040800,79.591800,69.457000,71.428600
9回目,58.762900,79.591800,77.628400,77.319600
10回目,58.762900,79.591800,71.428600,71.428600
11回目,52.040800,73.469400,76.288700,72.485100
12回目,58.762900,74.489800,78.571400,68.367300
13回目,53.061200,72.449000,76.530600,73.506000
14回目,48.979600,78.610600,67.346900,72.485100
15回目,52.040800,79.381400,75.547800,72.485100
16回目,52.040800,76.530600,74.489800,82.653100
17回目,52.040800,79.591800,75.257700,73.506000
18回目,65.306100,72.449000,74.526900,70.443300
19回目,52.040800,79.591800,74.526900,83.673500
20回目,48.979600,76.530600,78.571400,77.319600
21回目,52.040800,84.693900,79.591800,83.673500
22回目,58.762900,78.610600,83.673500,76.530600
23回目,52.040800,79.591800,73.506000,71.428600
24回目,54.081600,79.591800,87.755100,83.673500
25回目,52.040800,72.449000,72.449000,71.428600
26回目,52.040800,79.591800,73.469400,70.443300
27回目,60.204100,74.489800,77.551000,73.506000
28回目,65.306100,83.673500,80.412400,77.589700
29回目,54.081600,75.547800,81.632700,82.653100
30回目,54.081600,75.547800,77.551000,73.506000
31回目,55.102000,79.591800,78.571400,77.589700
32回目,52.040800,82.653100,69.457000,77.589700
33回目,65.306100,83.673500,77.551000,71.428600
34回目,58.762900,83.673500,78.571400,72.485100
35回目,58.762900,84.693900,87.755100,76.530600
36回目,55.102000,78.610600,67.380500,70.443300
37回目,52.040800,75.547800,78.571400,72.485100
38回目,55.102000,84.693900,75.510200,70.443300
39回目,60.204100,79.381400,78.571400,76.530600
40回目,54.081600,79.591800,73.469400,83.673500
41回目,55.102000,72.449000,74.489800,68.367300
