Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,5.422780,6.858480,6.057280,7.215290
2回目,5.017080,6.769900,6.709910,5.968200
3回目,5.017080,6.947360,6.858980,7.215290
4回目,5.422780,6.680010,6.502080,6.680080
5回目,4.779860,6.802060,6.709910,6.457020
6回目,4.320220,6.858480,6.948050,6.967580
7回目,4.275730,7.214420,6.250600,6.457020
8回目,4.638180,7.169800,6.057280,6.235430
9回目,5.183830,6.947360,6.769900,6.967580
10回目,5.183830,6.948060,6.434310,6.235430
11回目,4.638180,6.413590,6.802070,6.457020
12回目,5.183830,6.501940,6.858970,5.968200
13回目,4.779860,6.323940,6.680820,6.413020
14回目,4.275730,6.858480,6.131990,6.457020
15回目,4.638180,6.929790,6.591740,6.457020
16回目,4.687630,6.680010,6.502080,7.215290
17回目,4.687630,6.948060,6.710050,6.413020
18回目,5.946150,6.526220,6.709910,6.410660
19回目,4.638180,7.169800,6.502670,7.304360
20回目,4.275730,6.680010,6.858980,6.967580
21回目,4.687630,7.548400,7.169330,7.304360
22回目,5.183830,6.858480,7.304370,6.680080
23回目,4.687630,6.947360,6.689430,6.235430
24回目,4.924170,6.948060,7.905090,7.304360
25回目,4.687630,6.323940,6.323820,6.235430
26回目,4.638180,6.948060,6.617120,6.410660
27回目,5.422780,6.501940,6.769890,6.413020
28回目,5.946150,7.304360,7.019650,6.769900
29回目,4.924170,6.802060,7.125710,7.215290
30回目,4.924170,6.802060,6.769900,6.413020
31回目,5.017080,7.169800,6.858980,6.769900
32回目,4.687630,7.214420,6.057280,6.769900
33回目,5.946150,7.304360,6.985540,6.235430
34回目,5.183830,7.304360,6.858980,6.457020
35回目,5.183830,7.548400,7.660670,6.680080
36回目,5.017080,6.858480,5.878590,6.410660
37回目,4.638180,6.802060,6.858980,6.457020
38回目,5.017080,7.548400,6.591740,6.410660
39回目,5.422780,6.929790,6.858980,6.680080
40回目,4.924170,6.947360,6.413580,7.304360
41回目,5.017080,6.323940,6.781850,5.968200
42回目,4.924170,7.036350,6.591740,6.039010
43回目,4.320220,6.680010,7.019650,6.039010
44回目,5.017080,6.802060,6.769900,5.968200
45回目,5.017080,7.169800,6.948050,6.769900
46回目,5.017080,7.214420,6.503570,6.680080
47回目,5.946150,7.304360,6.548200,6.410660
48回目,4.638180,6.801790,6.680820,6.235430
49回目,5.946150,6.948060,6.146360,6.680080
50回目,6.299990,7.003380,6.858230,6.410660
51回目,4.687630,6.948060,6.858980,5.968200
52回目,4.779860,6.948060,6.858980,6.457020
53回目,4.779860,7.036350,6.948050,6.039010
54回目,4.779860,6.769900,6.948050,6.769900
55回目,4.638180,7.304360,7.019650,6.680080
56回目,6.299990,6.929790,6.184800,5.968200
57回目,6.299990,6.948060,6.591750,6.967580
58回目,4.638180,7.169800,7.036350,6.967580
59回目,4.687630,6.680010,6.858980,7.304360
60回目,4.320220,7.169800,6.709910,7.215290
61回目,5.183830,6.858480,5.968200,6.235430
62回目,5.017080,6.948060,6.591740,7.215290
63回目,4.687630,6.858480,6.324120,7.304360
64回目,4.924170,6.948060,7.020420,6.769900
65回目,5.183830,7.036350,6.617940,6.039010
66回目,4.320220,6.680010,7.660670,5.968200
67回目,4.779860,7.169800,6.709910,6.039010
68回目,4.779860,6.948060,6.502660,6.457020
69回目,4.924170,6.948060,6.617710,6.235430
70回目,4.320220,6.948060,6.947650,7.215290
71回目,4.638180,6.948060,5.878590,5.968200
72回目,5.422780,6.948060,5.878590,6.457020
73回目,5.017080,6.802060,6.525630,6.235430
74回目,5.183830,6.323940,5.878590,6.967580
75回目,4.275730,6.858480,6.390010,7.304360
76回目,4.924170,7.548400,5.968190,5.968200
77回目,5.183830,6.948060,7.036350,6.769900
78回目,5.946150,6.769900,6.158540,7.304360
79回目,6.299990,6.858480,7.019650,6.680080
80回目,4.275730,7.548400,6.502080,6.039010
81回目,5.946150,6.929790,7.036350,7.215290
82回目,4.687630,6.801790,6.317810,6.413020
83回目,5.017080,6.947220,7.660670,7.304360
84回目,4.638180,6.413590,6.710200,6.769900
85回目,4.638180,6.323940,6.948050,7.215290
86回目,4.687630,6.680010,5.968200,6.410660
87回目,4.638180,6.323940,6.057280,7.215290
88回目,5.183830,7.548400,6.948060,6.410660
89回目,5.946150,6.802060,5.700970,7.215290
90回目,5.946150,6.948060,6.769510,6.457020
91回目,4.924170,6.802060,6.323750,7.215290
92回目,4.924170,6.802060,7.660670,6.457020
93回目,4.320220,6.413590,6.858980,6.457020
94回目,5.017080,6.501940,6.858980,6.410660
95回目,5.946150,6.769900,6.323810,6.769900
96回目,5.183830,6.947360,7.037130,6.039010
97回目,5.183830,6.680010,5.878590,7.215290
98回目,4.779860,6.769900,6.480230,6.039010
99回目,4.638180,6.948060,6.056930,6.769900
100回目,4.924170,6.948060,6.948050,6.967580
101回目,4.779860,6.947360,6.526250,7.215290
102回目,6.299990,6.769290,6.434310,6.769900
103回目,6.299990,6.802060,7.037140,7.304360
104回目,4.924170,6.929790,7.351820,6.413020
