Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,46.207500,2.486960,2.404240,14.838900
2回目,32.289200,2.501020,2.357790,15.231800
3回目,16.396700,2.656640,2.159320,2.617810
4回目,32.289200,2.644380,14.734700,2.422070
5回目,2.219440,2.103500,14.734700,2.617810
6回目,1.863190,26.624000,28.652200,2.130090
7回目,16.544100,2.644380,2.165650,15.231800
8回目,1.974890,47.519000,2.160890,2.617810
9回目,16.066500,14.620200,2.404240,14.838900
10回目,46.207500,26.624000,1.977680,2.538230
11回目,16.396700,2.435520,14.545100,13.551700
12回目,16.066500,14.620200,13.891200,14.838900
13回目,2.321870,2.656640,2.770490,2.422070
14回目,1.974890,14.620200,2.348890,2.538230
15回目,1.863190,2.435520,2.232270,2.617810
16回目,16.544100,2.103500,2.351630,15.231800
17回目,46.207500,2.590820,2.160890,13.551700
18回目,46.207500,2.232090,2.155940,14.838900
19回目,2.088860,14.412000,2.051740,15.231800
20回目,32.289200,14.412000,2.884940,14.838900
21回目,1.974890,2.486960,2.205490,15.231800
22回目,16.396700,2.644380,2.312040,14.838900
23回目,16.544100,2.435520,2.160890,2.422070
24回目,2.276120,2.656640,14.186800,15.009800
25回目,1.863190,2.340890,2.404240,2.422070
26回目,2.321870,2.644380,2.884940,2.538230
27回目,16.544100,2.177930,2.404240,2.428760
28回目,2.276120,26.747100,2.187730,2.538230
29回目,1.863190,2.145600,2.372840,2.428760
30回目,2.088860,26.624000,2.404240,15.231800
31回目,2.276120,26.747100,2.404240,2.883910
32回目,1.974890,47.519000,2.217590,2.617810
33回目,16.396700,2.103500,2.165770,2.428760
34回目,2.219440,2.656640,2.404240,2.422070
35回目,32.289200,2.335160,2.183350,2.617810
36回目,2.219440,2.145600,14.625600,13.551700
37回目,16.066500,2.335160,2.177310,2.130090
38回目,16.544100,2.656640,2.884940,2.130090
39回目,1.863190,2.461240,14.688700,2.883910
40回目,2.219440,2.063460,15.686100,2.279030
41回目,2.088860,26.624000,14.581400,2.130090
42回目,32.289200,2.103500,2.160890,2.428760
43回目,32.289200,47.519000,2.293880,2.130090
44回目,46.207500,2.063460,2.269270,2.279030
45回目,2.219440,2.232090,2.748330,2.617810
46回目,16.544100,2.501020,2.884940,2.279030
47回目,16.066500,2.232090,2.240680,13.551700
48回目,16.066500,2.644380,15.294200,2.538230
49回目,16.396700,2.335160,14.830900,15.231800
50回目,1.863190,2.590820,2.245270,2.883910
51回目,1.974890,2.063460,2.106120,2.279030
52回目,2.321870,47.519000,2.884940,2.617810
53回目,16.544100,2.232090,14.882800,2.130090
54回目,32.289200,2.656640,15.008800,2.279030
55回目,16.396700,2.335160,2.324480,15.231800
56回目,1.863190,2.590820,2.694320,2.279030
57回目,16.544100,2.656640,2.159320,2.422070
58回目,32.289200,2.644380,2.558940,2.130090
59回目,16.544100,47.519000,2.539140,2.279030
60回目,16.396700,26.624000,2.332270,2.130090
61回目,2.276120,14.620200,2.404240,2.428760
62回目,2.276120,47.519000,28.652200,2.538230
63回目,46.207500,2.335160,2.303810,13.551700
64回目,1.863190,2.486960,14.734700,2.130090
65回目,16.544100,2.435520,2.917260,15.231800
66回目,16.396700,26.747100,2.290970,14.838900
67回目,1.863190,14.412000,2.404240,15.231800
68回目,16.544100,2.461240,2.187730,2.538230
69回目,2.276120,2.063460,2.789230,15.231800
70回目,32.289200,2.177930,15.443800,13.551700
71回目,32.289200,2.103500,2.448940,13.551700
72回目,16.066500,47.519000,2.535780,2.617810
73回目,1.863190,2.340890,2.252040,2.422070
74回目,46.207500,2.435520,14.545100,15.009800
75回目,16.066500,2.232090,2.587690,2.422070
76回目,16.396700,2.656640,14.545100,15.009800
77回目,1.974890,2.644380,2.160890,2.422070
78回目,2.219440,2.656640,2.404240,13.551700
79回目,2.219440,2.103500,2.269270,2.883910
80回目,2.321870,38.046400,8.547370,2.422070
81回目,16.396700,2.644380,2.159320,15.009800
82回目,16.066500,2.145600,2.187730,14.838900
83回目,2.219440,2.745680,2.181860,15.231800
84回目,1.974890,14.620200,14.734700,2.422070
85回目,1.974890,38.046400,2.159320,2.279030
86回目,16.066500,26.747100,14.591600,2.428760
87回目,32.289200,14.620200,14.678000,2.130090
88回目,1.863190,2.435520,2.231790,2.617810
89回目,1.863190,2.644380,2.256310,2.279030
90回目,16.066500,2.656640,2.160890,2.422070
91回目,16.066500,2.103500,2.159320,13.551700
92回目,16.544100,2.644380,2.448940,2.617810
93回目,2.219440,2.486960,2.133970,2.422070
94回目,46.207500,14.620200,2.269270,14.838900
95回目,2.088860,2.656640,2.067100,15.009800
96回目,32.289200,38.046400,2.652730,2.428760
97回目,2.276120,14.412000,15.124100,14.838900
98回目,46.207500,2.103500,2.884940,2.538230
99回目,16.396700,2.461240,2.576100,13.551700
100回目,16.544100,2.232090,2.269270,15.231800
101回目,16.066500,14.620200,2.443100,2.422070
102回目,2.276120,2.745680,2.160890,14.838900
103回目,2.088860,2.656640,2.233860,15.231800
104回目,2.088860,2.486960,14.545100,2.538230
105回目,46.207500,2.644380,2.045950,2.428760
106回目,16.396700,2.486960,2.232270,2.422070
107回目,1.974890,47.519000,2.269270,15.231800
108回目,46.207500,14.412000,2.621890,2.883910
109回目,16.396700,2.501020,2.181980,2.428760
110回目,16.066500,14.620200,2.379830,2.428760
111回目,46.207500,26.624000,1.786000,15.231800
112回目,32.289200,2.501020,2.391560,14.838900
113回目,32.289200,2.435520,14.734700,13.551700
114回目,46.207500,2.644380,2.839780,14.838900
115回目,16.396700,2.435520,2.050410,2.617810
116回目,16.396700,2.232090,2.567210,2.617810
117回目,1.974890,2.590820,2.535700,2.130090
118回目,16.396700,47.519000,2.463140,2.428760
119回目,32.289200,2.232090,2.232270,2.422070
120回目,16.544100,2.177930,2.387830,14.838900
121回目,1.974890,2.435520,14.734700,14.838900
122回目,2.321870,2.063460,2.602410,15.231800
123回目,46.207500,47.519000,2.647400,2.279030
124回目,16.066500,2.103500,2.448940,15.231800
125回目,1.974890,15.194200,2.639400,14.838900
126回目,2.219440,2.656640,15.305200,2.130090
127回目,2.088860,2.232090,2.580130,14.838900
128回目,2.219440,2.335160,13.912500,2.617810
129回目,32.289200,2.232090,2.555800,2.279030
130回目,1.863190,2.656640,2.448060,14.838900
131回目,2.219440,2.232090,2.183350,14.838900
132回目,2.088860,2.435520,2.884940,2.279030
133回目,1.974890,2.435520,14.734700,13.551700
134回目,46.207500,14.620200,2.587690,14.838900
135回目,16.544100,2.232090,2.187730,2.617810
136回目,2.088860,2.644380,2.130630,2.422070
137回目,1.974890,2.232090,2.863160,2.883910
138回目,1.863190,2.644380,2.188960,2.617810
139回目,1.863190,26.747100,2.269270,2.130090
140回目,46.207500,2.644380,14.566900,2.422070
141回目,2.321870,2.232090,2.320780,2.279030
142回目,32.289200,2.145600,2.159650,14.838900
143回目,16.544100,2.644380,2.348430,2.279030
144回目,2.219440,2.590820,2.884940,14.838900
145回目,16.544100,2.486960,14.784800,2.617810
146回目,1.974890,47.519000,2.404240,2.538230
147回目,1.863190,2.656640,1.895740,2.883910
148回目,16.544100,2.335160,2.448940,2.617810
149回目,1.863190,2.644380,2.528630,2.538230
150回目,1.863190,2.335160,2.439410,15.009800
151回目,16.544100,2.232090,2.179990,2.279030
152回目,2.276120,2.103500,14.734700,2.422070
153回目,46.207500,2.145600,2.469610,2.617810
154回目,1.974890,2.335160,2.663310,2.130090
155回目,2.276120,2.145600,2.160890,2.883910
156回目,2.321870,2.177930,2.700460,15.231800
157回目,46.207500,2.335160,2.372480,2.538230
158回目,2.088860,2.103500,2.108000,2.422070
159回目,16.066500,2.644380,15.290100,2.130090
160回目,2.219440,2.145600,2.586520,2.883910
161回目,46.207500,2.644380,2.448940,2.538230
162回目,16.066500,2.590820,2.187730,2.538230
163回目,1.974890,2.501020,2.177820,2.883910
164回目,2.219440,2.590820,2.187730,2.883910
165回目,2.088860,47.519000,2.206590,15.231800
166回目,16.066500,2.590820,14.378400,13.551700
167回目,2.321870,2.435520,16.043600,14.838900
168回目,46.207500,2.590820,14.545100,2.617810
