PDR,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,69.387800,86.734700,82.653100,80.612200
2回目,69.387800,87.755100,77.551000,82.653100
3回目,74.489800,86.597900,82.653100,84.693900
4回目,69.387800,84.693900,81.443300,86.734700
5回目,70.408200,83.673500,81.443300,84.693900
6回目,68.367300,85.714300,77.551000,80.412400
7回目,71.428600,84.693900,79.591800,82.653100
8回目,65.306100,90.816300,84.693900,84.693900
9回目,74.226800,85.714300,82.653100,80.612200
10回目,69.387800,85.714300,81.632700,79.591800
11回目,74.489800,80.612200,85.714300,90.816300
12回目,74.226800,85.714300,83.673500,80.612200
13回目,76.530600,86.597900,83.673500,86.734700
14回目,65.306100,85.714300,80.612200,79.591800
15回目,68.367300,80.612200,79.591800,84.693900
16回目,71.428600,83.673500,81.632700,82.653100
17回目,69.387800,83.673500,84.693900,90.816300
18回目,69.387800,86.734700,82.653100,80.612200
19回目,64.285700,84.693900,81.632700,82.653100
20回目,69.387800,84.693900,85.714300,80.612200
21回目,65.306100,86.734700,77.551000,82.653100
22回目,74.489800,84.693900,80.612200,80.612200
23回目,71.428600,80.612200,84.693900,86.734700
24回目,73.469400,86.597900,86.734700,79.591800
25回目,68.367300,84.693900,82.653100,86.734700
26回目,76.530600,84.693900,85.714300,79.591800
27回目,71.428600,79.591800,82.653100,78.571400
28回目,73.469400,84.693900,90.816300,79.591800
29回目,68.367300,86.734700,86.734700,78.571400
30回目,64.285700,85.714300,82.653100,82.653100
31回目,73.469400,84.693900,82.653100,78.571400
32回目,65.306100,90.816300,83.673500,84.693900
33回目,74.489800,83.673500,84.693900,78.571400
34回目,70.408200,86.597900,82.653100,86.734700
35回目,69.387800,81.632700,80.612200,84.693900
36回目,70.408200,86.734700,85.567000,90.816300
37回目,74.226800,81.632700,86.734700,80.412400
38回目,71.428600,86.597900,85.714300,80.412400
39回目,68.367300,83.673500,84.693900,78.571400
40回目,70.408200,78.571400,79.591800,83.673500
41回目,64.285700,85.714300,85.714300,80.412400
42回目,69.387800,83.673500,84.693900,78.571400
43回目,69.387800,90.816300,79.591800,80.412400
44回目,69.387800,78.571400,77.551000,83.673500
45回目,70.408200,86.734700,80.612200,84.693900
46回目,71.428600,87.755100,85.714300,83.673500
47回目,74.226800,86.734700,85.714300,90.816300
48回目,74.226800,84.693900,81.632700,79.591800
49回目,74.489800,81.632700,84.693900,82.653100
50回目,68.367300,83.673500,77.551000,78.571400
51回目,65.306100,78.571400,78.571400,83.673500
52回目,76.530600,90.816300,85.714300,84.693900
53回目,71.428600,86.734700,80.612200,80.412400
54回目,69.387800,86.597900,82.653100,83.673500
55回目,74.489800,81.632700,85.714300,82.653100
56回目,68.367300,83.673500,84.693900,83.673500
57回目,71.428600,86.597900,82.653100,86.734700
58回目,69.387800,84.693900,80.612200,80.412400
59回目,71.428600,90.816300,91.836700,83.673500
60回目,74.489800,85.714300,81.632700,80.412400
61回目,73.469400,85.714300,82.653100,78.571400
62回目,73.469400,90.816300,77.551000,79.591800
63回目,69.387800,81.632700,79.591800,90.816300
64回目,68.367300,86.734700,81.443300,80.412400
65回目,71.428600,80.612200,83.673500,82.653100
66回目,74.489800,84.693900,75.510200,80.612200
67回目,68.367300,84.693900,82.653100,82.653100
68回目,71.428600,83.673500,90.816300,79.591800
69回目,73.469400,78.571400,83.673500,82.653100
70回目,69.387800,79.591800,79.591800,90.816300
71回目,69.387800,83.673500,82.653100,90.816300
72回目,74.226800,90.816300,82.653100,84.693900
73回目,68.367300,84.693900,75.510200,86.734700
74回目,69.387800,80.612200,85.714300,79.591800
75回目,74.226800,86.734700,81.632700,86.734700
76回目,74.489800,86.597900,85.714300,79.591800
77回目,65.306100,84.693900,84.693900,86.734700
78回目,70.408200,86.597900,82.653100,90.816300
79回目,70.408200,83.673500,77.551000,78.571400
80回目,76.530600,85.714300,81.434000,86.734700
81回目,74.489800,84.693900,82.653100,79.591800
82回目,74.226800,86.734700,90.816300,80.612200
83回目,70.408200,81.632700,82.653100,82.653100
84回目,65.306100,85.714300,81.443300,86.734700
85回目,65.306100,85.714300,82.653100,83.673500
86回目,74.226800,84.693900,85.714300,78.571400
87回目,69.387800,85.714300,82.653100,80.412400
88回目,68.367300,80.612200,79.591800,84.693900
89回目,68.367300,84.693900,81.632700,83.673500
