GenerateSignatureTime,NPGPSR,NDGPSR
1回目,0.000000,0.000000
2回目,0.000000,0.000000
3回目,0.000000,0.000000
4回目,0.000000,0.000000
5回目,0.000000,0.000000
6回目,0.000000,0.000000
7回目,0.000000,0.000000
8回目,0.000000,0.000000
9回目,0.000000,0.000000
10回目,0.000000,0.000000
11回目,0.000000,0.000000
12回目,0.000000,0.000000
13回目,0.000000,0.000000
14回目,0.000000,0.000000
15回目,0.000000,0.000000
16回目,0.000000,0.000000
17回目,0.000000,0.000000
18回目,0.000000,0.000000
19回目,0.000000,0.000000
20回目,0.000000,0.000000
21回目,0.000000,0.000000
22回目,0.000000,0.000000
23回目,0.000000,0.000000
24回目,0.000000,0.000000
25回目,0.000000,0.000000
26回目,0.000000,0.000000
27回目,0.000000,0.000000
28回目,0.000000,0.000000
29回目,0.000000,0.000000
30回目,0.000000,0.000000
31回目,0.000000,0.000000
32回目,0.000000,0.000000
33回目,0.000000,0.000000
34回目,0.000000,0.000000
35回目,0.000000,0.000000
36回目,0.000000,0.000000
37回目,0.000000,0.000000
38回目,0.000000,0.000000
39回目,0.000000,0.000000
40回目,0.000000,0.000000
41回目,0.000000,0.000000
42回目,0.000000,0.000000
43回目,0.000000,0.000000
44回目,0.000000,0.000000
45回目,0.000000,0.000000
46回目,0.000000,0.000000
47回目,0.000000,0.000000
48回目,0.000000,0.000000
49回目,0.000000,0.000000
50回目,0.000000,0.000000
51回目,0.000000,0.000000
52回目,0.000000,0.000000
53回目,0.000000,0.000000
54回目,0.000000,0.000000
55回目,0.000000,0.000000
56回目,0.000000,0.000000
57回目,0.000000,0.000000
58回目,0.000000,0.000000
59回目,0.000000,0.000000
60回目,0.000000,0.000000
61回目,0.000000,0.000000
62回目,0.000000,0.000000
63回目,0.000000,0.000000
64回目,0.000000,0.000000
65回目,0.000000,0.000000
66回目,0.000000,0.000000
67回目,0.000000,0.000000
68回目,0.000000,0.000000
69回目,0.000000,0.000000
70回目,0.000000,0.000000
71回目,0.000000,0.000000
72回目,0.000000,0.000000
73回目,0.000000,0.000000
74回目,0.000000,0.000000
75回目,0.000000,0.000000
76回目,0.000000,0.000000
77回目,0.000000,0.000000
78回目,0.000000,0.000000
79回目,0.000000,0.000000
80回目,0.000000,0.000000
81回目,0.000000,0.000000
82回目,0.000000,0.000000
83回目,0.000000,0.000000
84回目,0.000000,0.000000
85回目,0.000000,0.000000
86回目,0.000000,0.000000
87回目,0.000000,0.000000
88回目,0.000000,0.000000
89回目,0.000000,0.000000
90回目,0.000000,0.000000
91回目,0.000000,0.000000
92回目,0.000000,0.000000
93回目,0.000000,0.000000
94回目,0.000000,0.000000
95回目,0.000000,0.000000
96回目,0.000000,0.000000
97回目,0.000000,0.000000
98回目,0.000000,0.000000
99回目,0.000000,0.000000
100回目,0.000000,0.000000
101回目,0.000000,0.000000
102回目,0.000000,0.000000
103回目,0.000000,0.000000
104回目,0.000000,0.000000
105回目,0.000000,0.000000
106回目,0.000000,0.000000
107回目,0.000000,0.000000
108回目,0.000000,0.000000
109回目,0.000000,0.000000
110回目,0.000000,0.000000
111回目,0.000000,0.000000
112回目,0.000000,0.000000
113回目,0.000000,0.000000
114回目,0.000000,0.000000
115回目,0.000000,0.000000
116回目,0.000000,0.000000
117回目,0.000000,0.000000
118回目,0.000000,0.000000
119回目,0.000000,0.000000
120回目,0.000000,0.000000
121回目,0.000000,0.000000
122回目,0.000000,0.000000
123回目,0.000000,0.000000
124回目,0.000000,0.000000
125回目,0.000000,0.000000
126回目,0.000000,0.000000
127回目,0.000000,0.000000
128回目,0.000000,0.000000
129回目,0.000000,0.000000
130回目,0.000000,0.000000
131回目,0.000000,0.000000
132回目,0.000000,0.000000
133回目,0.000000,0.000000
134回目,0.000000,0.000000
135回目,0.000000,0.000000
136回目,0.000000,0.000000
137回目,0.000000,0.000000
138回目,0.000000,0.000000
139回目,0.000000,0.000000
140回目,0.000000,0.000000
141回目,0.000000,0.000000
142回目,0.000000,0.000000
143回目,0.000000,0.000000
144回目,0.000000,0.000000
145回目,0.000000,0.000000
146回目,0.000000,0.000000
147回目,0.000000,0.000000
148回目,0.000000,0.000000
149回目,0.000000,0.000000
150回目,0.000000,0.000000
151回目,0.000000,0.000000
152回目,0.000000,0.000000
153回目,0.000000,0.000000
154回目,0.000000,0.000000
155回目,0.000000,0.000000
156回目,0.000000,0.000000
157回目,0.000000,0.000000
158回目,0.000000,0.000000
159回目,0.000000,0.000000
160回目,0.000000,0.000000
161回目,0.000000,0.000000
162回目,0.000000,0.000000
163回目,0.000000,0.000000
164回目,0.000000,0.000000
165回目,0.000000,0.000000
166回目,0.000000,0.000000
167回目,0.000000,0.000000
168回目,0.000000,0.000000
169回目,0.000000,0.000000
170回目,0.000000,0.000000
171回目,0.000000,0.000000
172回目,0.000000,0.000000
173回目,0.000000,0.000000
174回目,0.000000,0.000000
175回目,0.000000,0.000000
176回目,0.000000,0.000000
177回目,0.000000,0.000000
178回目,0.000000,0.000000
179回目,0.000000,0.000000
180回目,0.000000,0.000000
181回目,0.000000,0.000000
182回目,0.000000,0.000000
183回目,0.000000,0.000000
184回目,0.000000,0.000000
185回目,0.000000,0.000000
186回目,0.000000,0.000000
187回目,0.000000,0.000000
188回目,0.000000,0.000000
189回目,0.000000,0.000000
190回目,0.000000,0.000000
191回目,0.000000,0.000000
192回目,0.000000,0.000000
193回目,0.000000,0.000000
194回目,0.000000,0.000000
195回目,0.000000,0.000000
196回目,0.000000,0.000000
197回目,0.000000,0.000000
198回目,0.000000,0.000000
199回目,0.000000,0.000000
200回目,0.000000,0.000000
201回目,0.000000,0.000000
202回目,0.000000,0.000000
203回目,0.000000,0.000000
204回目,0.000000,0.000000
205回目,0.000000,0.000000
206回目,0.000000,0.000000
207回目,0.000000,0.000000
208回目,0.000000,0.000000
209回目,0.000000,0.000000
210回目,0.000000,0.000000
211回目,0.000000,0.000000
212回目,0.000000,0.000000
213回目,0.000000,0.000000
214回目,0.000000,0.000000
215回目,0.000000,0.000000
216回目,0.000000,0.000000
217回目,0.000000,0.000000
218回目,0.000000,0.000000
219回目,0.000000,0.000000
220回目,0.000000,0.000000
221回目,0.000000,0.000000
222回目,0.000000,0.000000
223回目,0.000000,0.000000
224回目,0.000000,0.000000
225回目,0.000000,0.000000
226回目,0.000000,0.000000
227回目,0.000000,0.000000
228回目,0.000000,0.000000
229回目,0.000000,0.000000
230回目,0.000000,0.000000
231回目,0.000000,0.000000
232回目,0.000000,0.000000
233回目,0.000000,0.000000
234回目,0.000000,0.000000
235回目,0.000000,0.000000
236回目,0.000000,0.000000
237回目,0.000000,0.000000
238回目,0.000000,0.000000
239回目,0.000000,0.000000
240回目,0.000000,0.000000
241回目,0.000000,0.000000
242回目,0.000000,0.000000
243回目,0.000000,0.000000
244回目,0.000000,0.000000
245回目,0.000000,0.000000
246回目,0.000000,0.000000
247回目,0.000000,0.000000
248回目,0.000000,0.000000
249回目,0.000000,0.000000
250回目,0.000000,0.000000
