Memory,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,80736.000000,81564.000000,194400.000000,128684.000000
2回目,80448.000000,81560.000000,194288.000000,128332.000000
3回目,80500.000000,81312.000000,194436.000000,128676.000000
4回目,80060.000000,81312.000000,194392.000000,128688.000000
5回目,80332.000000,81248.000000,194212.000000,128560.000000
6回目,80640.000000,81464.000000,194708.000000,128700.000000
7回目,80636.000000,81460.000000,194332.000000,128040.000000
8回目,80716.000000,81756.000000,194504.000000,128696.000000
9回目,80152.000000,81740.000000,194076.000000,128040.000000
10回目,80392.000000,81244.000000,194740.000000,128736.000000
11回目,80888.000000,81460.000000,194304.000000,128536.000000
12回目,80196.000000,81080.000000,194168.000000,128300.000000
13回目,80472.000000,81456.000000,194308.000000,128672.000000
14回目,80556.000000,81380.000000,193936.000000,128444.000000
15回目,80396.000000,81760.000000,194540.000000,128640.000000
16回目,80168.000000,81648.000000,194520.000000,128424.000000
17回目,80544.000000,81640.000000,194380.000000,128464.000000
18回目,80340.000000,81676.000000,194248.000000,128376.000000
19回目,80548.000000,81416.000000,194328.000000,128712.000000
20回目,80488.000000,81524.000000,194516.000000,128788.000000
21回目,80340.000000,81756.000000,194528.000000,128536.000000
22回目,80300.000000,81708.000000,194524.000000,128596.000000
23回目,80772.000000,81772.000000,194516.000000,128340.000000
24回目,79996.000000,81416.000000,194492.000000,128692.000000
25回目,80548.000000,81688.000000,194584.000000,128316.000000
26回目,80672.000000,81652.000000,194364.000000,128792.000000
27回目,80628.000000,81632.000000,194728.000000,128524.000000
28回目,80084.000000,81464.000000,194540.000000,128420.000000
29回目,80284.000000,81436.000000,194396.000000,128560.000000
30回目,80360.000000,81172.000000,194376.000000,128336.000000
31回目,80296.000000,81588.000000,194452.000000,128708.000000
32回目,79968.000000,81688.000000,194436.000000,128556.000000
33回目,80040.000000,81324.000000,194328.000000,128792.000000
34回目,80468.000000,81260.000000,194604.000000,128648.000000
35回目,80520.000000,81524.000000,194448.000000,128324.000000
36回目,80472.000000,81452.000000,194496.000000,128464.000000
37回目,80720.000000,81764.000000,194376.000000,128700.000000
38回目,80004.000000,81312.000000,194160.000000,128532.000000
39回目,80396.000000,81756.000000,194304.000000,128704.000000
40回目,80164.000000,81572.000000,194340.000000,128272.000000
41回目,80508.000000,81260.000000,194484.000000,127880.000000
42回目,80648.000000,81492.000000,194348.000000,128784.000000
43回目,80348.000000,81700.000000,194128.000000,128008.000000
44回目,80412.000000,81168.000000,194220.000000,128300.000000
45回目,80712.000000,81332.000000,194340.000000,128696.000000
46回目,80084.000000,81288.000000,194168.000000,128440.000000
47回目,80772.000000,81580.000000,194232.000000,128300.000000
48回目,80632.000000,81488.000000,194128.000000,128328.000000
49回目,80216.000000,81700.000000,194296.000000,128272.000000
50回目,80344.000000,81124.000000,194420.000000,128684.000000
51回目,80724.000000,81240.000000,194296.000000,128552.000000
52回目,80476.000000,81752.000000,194080.000000,128644.000000
53回目,80308.000000,81448.000000,194376.000000,128636.000000
54回目,80592.000000,81176.000000,194404.000000,128656.000000
55回目,80104.000000,81756.000000,194484.000000,128724.000000
56回目,80428.000000,81772.000000,194204.000000,128500.000000
57回目,80004.000000,81608.000000,194104.000000,128232.000000
58回目,80664.000000,81524.000000,194356.000000,128728.000000
59回目,80424.000000,81424.000000,194272.000000,128716.000000
60回目,80068.000000,81428.000000,194280.000000,128684.000000
61回目,80364.000000,81656.000000,194500.000000,128656.000000
62回目,80336.000000,81652.000000,194500.000000,128680.000000
63回目,80668.000000,81540.000000,194452.000000,128340.000000
64回目,80172.000000,81232.000000,194508.000000,128732.000000
65回目,80516.000000,81572.000000,194204.000000,128788.000000
66回目,80308.000000,81568.000000,194484.000000,128716.000000
67回目,80620.000000,81220.000000,194428.000000,128724.000000
68回目,80552.000000,81580.000000,194392.000000,128656.000000
69回目,80488.000000,81776.000000,194484.000000,128420.000000
70回目,80704.000000,81124.000000,194516.000000,128508.000000
71回目,80156.000000,81428.000000,194440.000000,128796.000000
72回目,80408.000000,81456.000000,194648.000000,128708.000000
73回目,80396.000000,81572.000000,194260.000000,128524.000000
74回目,80356.000000,81484.000000,194312.000000,128692.000000
75回目,80288.000000,81284.000000,194220.000000,128608.000000
76回目,80576.000000,81284.000000,194368.000000,128712.000000
77回目,80284.000000,81484.000000,194144.000000,128524.000000
78回目,80548.000000,81540.000000,194572.000000,128504.000000
79回目,80352.000000,81744.000000,194640.000000,128016.000000
80回目,80556.000000,81512.000000,194284.000000,128528.000000
81回目,80496.000000,81772.000000,194460.000000,128344.000000
82回目,80380.000000,81460.000000,194452.000000,128704.000000
83回目,80740.000000,81328.000000,194064.000000,128356.000000
84回目,80456.000000,81548.000000,194444.000000,128816.000000
85回目,80288.000000,81524.000000,194104.000000,128536.000000
86回目,80380.000000,81184.000000,194444.000000,128584.000000
87回目,80476.000000,81744.000000,194512.000000,128796.000000
88回目,80404.000000,81252.000000,194316.000000,128696.000000
89回目,80176.000000,81652.000000,194152.000000,128368.000000
90回目,80392.000000,81648.000000,194620.000000,128344.000000
91回目,80192.000000,81316.000000,194268.000000,128344.000000
92回目,80560.000000,81136.000000,194696.000000,128332.000000
93回目,80408.000000,81440.000000,194228.000000,128592.000000
94回目,80428.000000,81508.000000,194272.000000,128340.000000
95回目,80748.000000,81196.000000,194528.000000,128416.000000
96回目,80216.000000,81608.000000,194056.000000,128268.000000
97回目,80208.000000,81568.000000,194604.000000,128048.000000
98回目,80488.000000,81696.000000,194264.000000,128376.000000
