Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,1551596.000000,3815996.000000,3428499.000000,3430500.000000
2回目,1561186.000000,3873010.000000,3441691.000000,3430500.000000
3回目,1533364.000000,3906412.000000,3438153.000000,3442728.000000
4回目,1561528.000000,3898688.000000,3406001.000000,3453892.000000
5回目,1571804.000000,3910850.000000,3415623.000000,3429462.000000
6回目,1551596.000000,3865098.000000,3464367.000000,3430500.000000
7回目,1556260.000000,3880782.000000,3457215.000000,3466398.000000
8回目,1525090.000000,3881366.000000,3469081.000000,3430500.000000
9回目,1533400.000000,3861880.000000,3452991.000000,3457604.000000
10回目,1561528.000000,3871992.000000,3406143.000000,3466688.000000
11回目,1567046.000000,3898532.000000,3457449.000000,3466398.000000
12回目,1574048.000000,3888504.000000,3455371.000000,3466688.000000
13回目,1567046.000000,3872886.000000,3421609.000000,3442728.000000
14回目,1545684.000000,3890410.000000,3448767.000000,3423714.000000
15回目,1533400.000000,3866332.000000,3440513.000000,3466688.000000
16回目,1525090.000000,3898688.000000,3444255.000000,3452936.000000
17回目,1571804.000000,3871992.000000,3468171.000000,3452936.000000
18回目,1574048.000000,3866332.000000,3457215.000000,3429462.000000
19回目,1525090.000000,3888504.000000,3468303.000000,3453892.000000
20回目,1551596.000000,3875464.000000,3444255.000000,3435026.000000
21回目,1525090.000000,3883654.000000,3444255.000000,3459916.000000
22回目,1574048.000000,3898688.000000,3463403.000000,3429462.000000
23回目,1567046.000000,3905532.000000,3482345.000000,3466398.000000
24回目,1571804.000000,3883654.000000,3477977.000000,3459916.000000
25回目,1571804.000000,3883498.000000,3396385.000000,3429462.000000
26回目,1567046.000000,3890498.000000,3448483.000000,3435026.000000
27回目,1533400.000000,3905444.000000,3461811.000000,3466398.000000
28回目,1561528.000000,3910850.000000,3444255.000000,3423714.000000
29回目,1556260.000000,3861880.000000,3432719.000000,3457604.000000
30回目,1571804.000000,3890498.000000,3434119.000000,3452936.000000
31回目,1545684.000000,3815996.000000,3441691.000000,3459916.000000
32回目,1561528.000000,3815996.000000,3412019.000000,3466398.000000
33回目,1561528.000000,3883498.000000,3406001.000000,3457604.000000
34回目,1545684.000000,3850096.000000,3464439.000000,3435026.000000
35回目,1567046.000000,3815996.000000,3482345.000000,3423714.000000
36回目,1567046.000000,3850096.000000,3421609.000000,3466398.000000
37回目,1574048.000000,3903538.000000,3444697.000000,3442728.000000
38回目,1571804.000000,3865098.000000,3448483.000000,3457604.000000
39回目,1533400.000000,3913722.000000,3469645.000000,3423714.000000
40回目,1561186.000000,3846846.000000,3448537.000000,3459916.000000
41回目,1533400.000000,3869538.000000,3482345.000000,3429462.000000
42回目,1545684.000000,3868464.000000,3473177.000000,3466688.000000
43回目,1545684.000000,3869538.000000,3406001.000000,3430500.000000
44回目,1571804.000000,3880782.000000,3438153.000000,3452936.000000
45回目,1567046.000000,3902954.000000,3509271.000000,3459916.000000
46回目,1561186.000000,3865098.000000,3461811.000000,3453892.000000
47回目,1525090.000000,3888504.000000,3441117.000000,3429462.000000
48回目,1551596.000000,3850096.000000,3438153.000000,3457604.000000
49回目,1561186.000000,3902954.000000,3442255.000000,3452936.000000
50回目,1567046.000000,3888504.000000,3437013.000000,3429462.000000
51回目,1556260.000000,3861456.000000,3464439.000000,3459916.000000
