HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,1.406780,1.500000,1.460320,1.477610
2回目,1.413790,1.529410,1.484850,1.521130
3回目,1.321430,1.521130,1.513510,1.492540
4回目,1.350880,1.430770,1.521740,1.507040
5回目,1.442620,1.515150,1.507250,1.523080
6回目,1.442620,1.536230,1.437500,1.507040
7回目,1.476190,1.521740,1.492750,1.523080
8回目,1.442620,1.528570,1.507460,1.523080
9回目,1.442620,1.430770,1.500000,1.507040
10回目,1.413790,1.527780,1.507460,1.476920
11回目,1.468750,1.430770,1.507690,1.492060
12回目,1.321430,1.528570,1.492310,1.485290
13回目,1.321430,1.542860,1.400000,1.523080
14回目,1.406780,1.430770,1.412700,1.492060
15回目,1.351850,1.569440,1.507460,1.492310
16回目,1.350880,1.521130,1.400000,1.492310
17回目,1.431030,1.542860,1.403230,1.492310
18回目,1.406780,1.569440,1.400000,1.485290
19回目,1.442620,1.500000,1.507460,1.476920
20回目,1.413790,1.536230,1.507250,1.521130
21回目,1.468750,1.521740,1.521740,1.492060
22回目,1.350880,1.528570,1.492540,1.485290
23回目,1.442620,1.521130,1.500000,1.492540
24回目,1.431030,1.522390,1.484380,1.521130
25回目,1.351850,1.492540,1.492310,1.485290
26回目,1.351850,1.492540,1.536230,1.492540
27回目,1.459020,1.528570,1.454550,1.476920
28回目,1.459020,1.500000,1.484380,1.477610
29回目,1.442620,1.528570,1.513510,1.492540
30回目,1.468750,1.528570,1.469700,1.528570
31回目,1.442620,1.492540,1.507460,1.507040
32回目,1.442620,1.542860,1.507460,1.492060
33回目,1.321430,1.528570,1.521740,1.476920
34回目,1.321430,1.500000,1.563380,1.507040
35回目,1.459020,1.527780,1.507460,1.492540
36回目,1.431030,1.569440,1.536230,1.476920
37回目,1.350880,1.521740,1.484380,1.523080
38回目,1.442620,1.430770,1.412700,1.485290
39回目,1.321430,1.500000,1.485290,1.492540
40回目,1.468750,1.468750,1.529410,1.492060
41回目,1.431030,1.529410,1.521740,1.485290
42回目,1.468750,1.529410,1.507460,1.476920
43回目,1.442620,1.500000,1.492310,1.521130
44回目,1.350880,1.492540,1.476190,1.476920
45回目,1.350880,1.430770,1.476920,1.476920
46回目,1.442620,1.515150,1.484850,1.476920
47回目,1.406780,1.521740,1.500000,1.492540
48回目,1.468750,1.500000,1.526320,1.492310
49回目,1.406780,1.540540,1.492540,1.485290
50回目,1.413790,1.521740,1.541670,1.492310
51回目,1.442620,1.521130,1.507460,1.476920
52回目,1.351850,1.430770,1.500000,1.476920
53回目,1.442620,1.430770,1.515150,1.485290
54回目,1.442620,1.536230,1.507250,1.528570
55回目,1.406780,1.536230,1.484380,1.521130
56回目,1.351850,1.528570,1.439390,1.507040
57回目,1.442620,1.515150,1.484380,1.476920
58回目,1.468750,1.521130,1.513510,1.523080
59回目,1.431030,1.521130,1.500000,1.492060
60回目,1.442620,1.528570,1.500000,1.523080
61回目,1.442620,1.430770,1.507250,1.523080
62回目,1.321430,1.500000,1.484380,1.492310
63回目,1.476190,1.529410,1.536230,1.492310
64回目,1.442620,1.515150,1.446150,1.492310
65回目,1.468750,1.521130,1.393440,1.492060
66回目,1.431030,1.492540,1.412700,1.492540
67回目,1.321430,1.529410,1.507250,1.476920
68回目,1.468750,1.569440,1.513510,1.492060
69回目,1.468750,1.528570,1.484380,1.477610
70回目,1.476190,1.569440,1.437500,1.476920
71回目,1.442620,1.521740,1.484380,1.492310
72回目,1.350880,1.468750,1.412700,1.476920
73回目,1.431030,1.569440,1.412700,1.485290
74回目,1.321430,1.515150,1.492310,1.477610
75回目,1.406780,1.528570,1.514710,1.523080
76回目,1.476190,1.536230,1.400000,1.492060
77回目,1.468750,1.521740,1.520000,1.476920
78回目,1.321430,1.521130,1.507460,1.485290
79回目,1.351850,1.476190,1.507690,1.521130
80回目,1.442620,1.521740,1.500000,1.492060
81回目,1.442620,1.569440,1.400000,1.476920
82回目,1.459020,1.476190,1.523080,1.523080
83回目,1.406780,1.521130,1.469700,1.492060
84回目,1.459020,1.521740,1.513510,1.485290
85回目,1.321430,1.521130,1.468750,1.476920
86回目,1.476190,1.500000,1.492310,1.521130
87回目,1.431030,1.561640,1.507460,1.507040
88回目,1.476190,1.569440,1.476920,1.528570
89回目,1.442620,1.515150,1.542860,1.476920
90回目,1.350880,1.528570,1.412700,1.528570
91回目,1.442620,1.536230,1.507460,1.492310
92回目,1.321430,1.569440,1.447760,1.523080
93回目,1.406780,1.536230,1.412700,1.492310
94回目,1.442620,1.521130,1.492540,1.492060
95回目,1.468750,1.529410,1.484380,1.485290
96回目,1.442620,1.521740,1.412700,1.492060
97回目,1.321430,1.500000,1.476920,1.492060
98回目,1.350880,1.515150,1.547950,1.492310
99回目,1.413790,1.521740,1.550720,1.476920
100回目,1.350880,1.515150,1.507250,1.523080
101回目,1.442620,1.540540,1.485290,1.476920
102回目,1.350880,1.542860,1.492310,1.492310
103回目,1.350880,1.528570,1.513890,1.521130
104回目,1.321430,1.569440,1.500000,1.485290
105回目,1.413790,1.540540,1.513510,1.528570
106回目,1.413790,1.536230,1.507250,1.507040
107回目,1.321430,1.561640,1.513510,1.507040
108回目,1.476190,1.528570,1.461540,1.477610
109回目,1.406780,1.492540,1.507690,1.492060
110回目,1.442620,1.528570,1.521740,1.492540
111回目,1.406780,1.536230,1.567570,1.492540
112回目,1.350880,1.542860,1.500000,1.492540
113回目,1.459020,1.521740,1.507250,1.492540
114回目,1.431030,1.500000,1.484380,1.492060
115回目,1.442620,1.500000,1.412700,1.492310
116回目,1.476190,1.536230,1.513510,1.521130
117回目,1.351850,1.528570,1.507690,1.485290
118回目,1.442620,1.500000,1.412700,1.476920
119回目,1.468750,1.500000,1.500000,1.492540
120回目,1.442620,1.430770,1.507250,1.485290
121回目,1.406780,1.528570,1.484380,1.507040
122回目,1.442620,1.430770,1.484380,1.521130
123回目,1.442620,1.569440,1.492310,1.477610
124回目,1.321430,1.569440,1.513510,1.528570
125回目,1.351850,1.500000,1.536230,1.476920
126回目,1.406780,1.536230,1.507690,1.476920
127回目,1.431030,1.476190,1.528570,1.476920
128回目,1.406780,1.500000,1.470590,1.523080
129回目,1.350880,1.492540,1.492310,1.492540
130回目,1.350880,1.468750,1.484380,1.521130
131回目,1.321430,1.492540,1.467740,1.507040
132回目,1.468750,1.536230,1.507250,1.477610
133回目,1.476190,1.528570,1.476920,1.507040
134回目,1.406780,1.528570,1.507460,1.476920
135回目,1.476190,1.569440,1.513510,1.476920
136回目,1.350880,1.476190,1.451610,1.485290
137回目,1.442620,1.468750,1.507250,1.485290
138回目,1.350880,1.528570,1.469700,1.477610
139回目,1.468750,1.521740,1.470590,1.492540
140回目,1.476190,1.521740,1.500000,1.492310
141回目,1.321430,1.521130,1.567570,1.528570
142回目,1.431030,1.492540,1.536230,1.476920
143回目,1.442620,1.528570,1.478260,1.492540
144回目,1.476190,1.521740,1.412700,1.492310
145回目,1.459020,1.536230,1.513510,1.528570
146回目,1.321430,1.430770,1.475410,1.476920
147回目,1.442620,1.500000,1.513510,1.476920
148回目,1.406780,1.528570,1.476920,1.485290
149回目,1.468750,1.528570,1.444440,1.476920
150回目,1.413790,1.569440,1.492960,1.492540
151回目,1.442620,1.528570,1.513510,1.492310
152回目,1.476190,1.500000,1.507460,1.521130
153回目,1.350880,1.569440,1.500000,1.476920
154回目,1.468750,1.528570,1.484380,1.485290
155回目,1.442620,1.500000,1.507460,1.492540
156回目,1.431030,1.468750,1.412700,1.523080
157回目,1.413790,1.500000,1.412700,1.476920
158回目,1.321430,1.500000,1.412700,1.476920
159回目,1.413790,1.536230,1.500000,1.507040
160回目,1.413790,1.430770,1.536230,1.492310
161回目,1.431030,1.500000,1.500000,1.528570
162回目,1.431030,1.521740,1.485710,1.477610
163回目,1.431030,1.476190,1.412700,1.492060
164回目,1.321430,1.528570,1.400000,1.523080
165回目,1.459020,1.521130,1.412700,1.485290
166回目,1.459020,1.522390,1.412700,1.476920
167回目,1.351850,1.521130,1.476920,1.476920
168回目,1.476190,1.521740,1.439390,1.476920
169回目,1.442620,1.536230,1.514290,1.476920
170回目,1.350880,1.515150,1.541670,1.521130
171回目,1.351850,1.529410,1.400000,1.492540
172回目,1.321430,1.528570,1.513510,1.492540
173回目,1.431030,1.500000,1.535210,1.476920
174回目,1.431030,1.492540,1.484380,1.477610
175回目,1.351850,1.500000,1.476920,1.521130
176回目,1.476190,1.528570,1.412700,1.477610
177回目,1.413790,1.521740,1.477610,1.523080
178回目,1.476190,1.492540,1.571430,1.492310
179回目,1.442620,1.540540,1.513510,1.523080
180回目,1.476190,1.500000,1.542860,1.523080
181回目,1.442620,1.430770,1.412700,1.485290
182回目,1.476190,1.515150,1.412700,1.477610
183回目,1.476190,1.515150,1.507460,1.485290
184回目,1.321430,1.529410,1.542860,1.528570
185回目,1.468750,1.500000,1.476920,1.528570
186回目,1.468750,1.492540,1.412700,1.507040
187回目,1.468750,1.561640,1.507690,1.521130
188回目,1.413790,1.500000,1.513510,1.523080
189回目,1.442620,1.536230,1.535210,1.476920
190回目,1.406780,1.500000,1.522390,1.528570
191回目,1.459020,1.542860,1.492310,1.485290
