Memory,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,83128.000000,84748.000000,246460.000000,152528.000000
2回目,83708.000000,84608.000000,246676.000000,152264.000000
3回目,83576.000000,84860.000000,246324.000000,152560.000000
4回目,83396.000000,84568.000000,246680.000000,152548.000000
5回目,83684.000000,84804.000000,246620.000000,152044.000000
6回目,83244.000000,84420.000000,246720.000000,152264.000000
7回目,83680.000000,84324.000000,246688.000000,151844.000000
8回目,83768.000000,84784.000000,246672.000000,152300.000000
9回目,83516.000000,84416.000000,246704.000000,152544.000000
10回目,83760.000000,84212.000000,246428.000000,152296.000000
11回目,83464.000000,84404.000000,246540.000000,152508.000000
12回目,83452.000000,84968.000000,246596.000000,152312.000000
13回目,84020.000000,84732.000000,246628.000000,152280.000000
14回目,83532.000000,84536.000000,246572.000000,152308.000000
15回目,83140.000000,84464.000000,246860.000000,151872.000000
16回目,83416.000000,84656.000000,246716.000000,151840.000000
17回目,83016.000000,84660.000000,246476.000000,152396.000000
18回目,83364.000000,84684.000000,246896.000000,152564.000000
19回目,83024.000000,84544.000000,246956.000000,151848.000000
20回目,83688.000000,84492.000000,246632.000000,152212.000000
21回目,83780.000000,84636.000000,246176.000000,152392.000000
22回目,83384.000000,84376.000000,246748.000000,151900.000000
23回目,83420.000000,84292.000000,246940.000000,152604.000000
24回目,83496.000000,84876.000000,246556.000000,151848.000000
25回目,83580.000000,84824.000000,246556.000000,152376.000000
26回目,83104.000000,84428.000000,246044.000000,152396.000000
27回目,83508.000000,84432.000000,246824.000000,152424.000000
28回目,83476.000000,84400.000000,246600.000000,152516.000000
29回目,82988.000000,84676.000000,246660.000000,152100.000000
30回目,83840.000000,84972.000000,246196.000000,152396.000000
31回目,83020.000000,84764.000000,246660.000000,152264.000000
32回目,83756.000000,84428.000000,246604.000000,152568.000000
33回目,83676.000000,84708.000000,246984.000000,152516.000000
34回目,83672.000000,84708.000000,246828.000000,152396.000000
35回目,83508.000000,84536.000000,246832.000000,152528.000000
36回目,83508.000000,84672.000000,246312.000000,151876.000000
37回目,83512.000000,84520.000000,246840.000000,152036.000000
38回目,83420.000000,84612.000000,246440.000000,152416.000000
39回目,83624.000000,84776.000000,246700.000000,152204.000000
40回目,83660.000000,84844.000000,246548.000000,152528.000000
41回目,83312.000000,84928.000000,246728.000000,152592.000000
42回目,83096.000000,84824.000000,246788.000000,152544.000000
43回目,83268.000000,84352.000000,246568.000000,151876.000000
44回目,83380.000000,84668.000000,246744.000000,152180.000000
45回目,83536.000000,84328.000000,246828.000000,152524.000000
46回目,83648.000000,84672.000000,246824.000000,152188.000000
47回目,83552.000000,84688.000000,246432.000000,152528.000000
48回目,83380.000000,84872.000000,246492.000000,152368.000000
49回目,83700.000000,84776.000000,246488.000000,152544.000000
50回目,83656.000000,84324.000000,246800.000000,152336.000000
51回目,83768.000000,84740.000000,246848.000000,152176.000000
52回目,83824.000000,84408.000000,246928.000000,152572.000000
53回目,83856.000000,84868.000000,246812.000000,152552.000000
54回目,83600.000000,84840.000000,246292.000000,152512.000000
55回目,83824.000000,84784.000000,246600.000000,152360.000000
56回目,83496.000000,84968.000000,246648.000000,152108.000000
57回目,83248.000000,84816.000000,246528.000000,152140.000000
58回目,83608.000000,84412.000000,246748.000000,152252.000000
59回目,83424.000000,84860.000000,246836.000000,152532.000000
60回目,83660.000000,84432.000000,246448.000000,152516.000000
61回目,83556.000000,84888.000000,246712.000000,152260.000000
62回目,83424.000000,84864.000000,246680.000000,152284.000000
63回目,83768.000000,84532.000000,246272.000000,152528.000000
64回目,83580.000000,84592.000000,246844.000000,152528.000000
65回目,83444.000000,84292.000000,246488.000000,152376.000000
66回目,83544.000000,84348.000000,246452.000000,152412.000000
67回目,83632.000000,84808.000000,246848.000000,152100.000000
68回目,83500.000000,84268.000000,246544.000000,152428.000000
69回目,83712.000000,84440.000000,246576.000000,152532.000000
70回目,83396.000000,84436.000000,246632.000000,152360.000000
71回目,83424.000000,84692.000000,246832.000000,152372.000000
72回目,83304.000000,84340.000000,246820.000000,152548.000000
73回目,83304.000000,84556.000000,246496.000000,152568.000000
74回目,83456.000000,84392.000000,246364.000000,152612.000000
75回目,83456.000000,84908.000000,246376.000000,152156.000000
76回目,83992.000000,84504.000000,246368.000000,152564.000000
77回目,83496.000000,84544.000000,246524.000000,152516.000000
78回目,83972.000000,84532.000000,246144.000000,152588.000000
79回目,83628.000000,84568.000000,246880.000000,152384.000000
80回目,83952.000000,84448.000000,246412.000000,152392.000000
81回目,83564.000000,84784.000000,247096.000000,152196.000000
82回目,83136.000000,84504.000000,246752.000000,151920.000000
83回目,83488.000000,84648.000000,246784.000000,152168.000000
84回目,83680.000000,84680.000000,246464.000000,152568.000000
85回目,83860.000000,84560.000000,246472.000000,152272.000000
86回目,83772.000000,84520.000000,246672.000000,152344.000000
87回目,83480.000000,84888.000000,246976.000000,152304.000000
88回目,83680.000000,84864.000000,246144.000000,152180.000000
89回目,83580.000000,84336.000000,246628.000000,152292.000000
90回目,83612.000000,84464.000000,246548.000000,152184.000000
91回目,83764.000000,84504.000000,246840.000000,152344.000000
92回目,83868.000000,84880.000000,246408.000000,152252.000000
93回目,83628.000000,84788.000000,246756.000000,152200.000000
94回目,83308.000000,84312.000000,246552.000000,151868.000000
95回目,83108.000000,84444.000000,246516.000000,152168.000000
96回目,83864.000000,84548.000000,246648.000000,152364.000000
97回目,83276.000000,84684.000000,246852.000000,152524.000000
98回目,83000.000000,84372.000000,246324.000000,152528.000000
99回目,83384.000000,84744.000000,246384.000000,152400.000000
100回目,83164.000000,84640.000000,246408.000000,152168.000000
101回目,83608.000000,84588.000000,246724.000000,152548.000000
102回目,83484.000000,84584.000000,246912.000000,152420.000000
103回目,83016.000000,84800.000000,246732.000000,152368.000000
104回目,83980.000000,84572.000000,246752.000000,152432.000000
105回目,83400.000000,84884.000000,246344.000000,152524.000000
106回目,83512.000000,84688.000000,246916.000000,152256.000000
107回目,83624.000000,84640.000000,246772.000000,152632.000000
108回目,83772.000000,84748.000000,246452.000000,152192.000000
