SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,95.679400,585.145000,393.580000,177.615000
2回目,96.439600,579.720000,393.535000,178.954000
3回目,94.444900,585.163000,395.949000,178.973000
4回目,96.796600,574.197000,394.089000,180.128000
5回目,97.230900,569.463000,392.753000,179.411000
6回目,94.902500,575.618000,393.260000,176.046000
7回目,96.314500,587.733000,393.191000,179.726000
8回目,96.387100,583.934000,394.900000,178.558000
9回目,94.951900,581.702000,392.595000,179.066000
10回目,95.487600,574.343000,391.915000,181.273000
11回目,95.347000,581.650000,390.102000,179.320000
12回目,95.146900,579.984000,390.586000,177.494000
13回目,93.698700,580.064000,391.042000,177.228000
14回目,96.675300,580.793000,394.803000,179.323000
15回目,94.186000,574.461000,392.968000,179.470000
16回目,94.918900,577.114000,392.930000,175.787000
17回目,95.003100,586.071000,392.481000,179.247000
18回目,94.826200,579.777000,394.342000,180.206000
19回目,95.095000,576.684000,391.237000,177.061000
20回目,95.227300,580.092000,395.178000,178.918000
21回目,94.999000,570.622000,390.955000,179.917000
22回目,95.420300,572.728000,395.342000,179.556000
23回目,94.551800,583.318000,391.063000,181.621000
24回目,96.707300,582.604000,392.924000,176.444000
25回目,94.808000,578.839000,392.732000,178.665000
26回目,93.766800,582.779000,390.568000,179.348000
27回目,95.228400,577.635000,391.861000,179.315000
28回目,95.309600,575.465000,392.095000,175.559000
29回目,95.420400,576.034000,394.136000,179.755000
30回目,93.892000,584.319000,392.869000,179.081000
31回目,95.662400,573.780000,391.584000,178.645000
32回目,95.582300,576.886000,392.393000,180.785000
33回目,95.141900,581.084000,393.464000,179.310000
34回目,95.115600,580.457000,394.905000,180.591000
35回目,96.176300,577.416000,392.256000,178.156000
36回目,96.413800,575.940000,392.507000,178.744000
37回目,96.124800,600.088000,392.522000,180.132000
38回目,95.423700,575.727000,392.118000,177.148000
39回目,95.516200,579.147000,395.442000,179.219000
40回目,95.972100,583.420000,390.859000,176.536000
41回目,93.954600,576.560000,394.655000,179.293000
42回目,93.538500,579.802000,393.006000,178.104000
43回目,95.529400,567.053000,393.657000,180.626000
44回目,95.093900,578.586000,393.584000,181.253000
45回目,95.786800,583.975000,394.959000,176.390000
46回目,94.920500,578.634000,395.141000,177.202000
47回目,94.362400,570.036000,390.764000,180.148000
48回目,95.576800,580.574000,393.901000,180.052000
49回目,95.909200,605.611000,395.122000,178.989000
50回目,96.089700,576.217000,394.716000,180.867000
51回目,95.298900,577.368000,394.381000,179.936000
52回目,94.503700,582.001000,394.776000,179.263000
53回目,95.731000,577.502000,393.724000,180.844000
54回目,94.398500,573.370000,392.977000,180.653000
55回目,95.720200,579.708000,392.374000,178.843000
56回目,95.686800,580.971000,391.499000,179.809000
57回目,94.329800,587.167000,394.422000,181.255000
58回目,95.649900,573.030000,395.310000,177.661000
59回目,95.323300,579.204000,392.830000,179.201000
60回目,95.698100,576.311000,394.052000,178.960000
