Loss,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,26.530600,20.408200,22.449000,23.469400
2回目,25.510200,26.804100,25.510200,21.428600
3回目,29.591800,21.428600,22.680400,23.469400
4回目,26.530600,20.408200,27.551000,21.428600
5回目,26.530600,21.428600,22.680400,21.428600
6回目,29.591800,27.551000,27.551000,21.428600
7回目,26.530600,23.469400,26.530600,22.449000
8回目,27.835100,21.428600,21.428600,21.428600
9回目,26.530600,19.387800,22.449000,22.449000
10回目,27.551000,24.489800,21.428600,23.469400
11回目,25.510200,27.551000,24.489800,22.449000
12回目,25.510200,24.489800,24.489800,22.449000
13回目,26.530600,22.449000,21.428600,24.489800
14回目,26.530600,23.469400,22.449000,23.469400
15回目,29.591800,20.408200,25.773200,23.469400
16回目,29.591800,22.449000,22.449000,22.449000
17回目,27.551000,20.408200,20.408200,18.556700
18回目,29.591800,22.449000,23.469400,22.449000
19回目,26.530600,22.449000,21.428600,24.489800
20回目,25.510200,21.428600,20.408200,23.469400
21回目,26.530600,22.449000,25.510200,22.449000
22回目,29.591800,20.408200,21.428600,24.489800
23回目,25.510200,21.428600,20.408200,24.489800
24回目,25.510200,23.469400,21.428600,25.510200
25回目,27.835100,19.387800,24.489800,21.428600
26回目,25.510200,26.804100,22.449000,23.469400
27回目,27.835100,20.408200,23.469400,21.428600
28回目,29.591800,20.408200,24.489800,21.428600
29回目,25.510200,21.428600,28.571400,21.428600
30回目,29.591800,23.469400,25.510200,22.449000
31回目,25.510200,22.449000,21.428600,23.469400
32回目,25.510200,22.449000,28.571400,25.510200
33回目,26.530600,20.408200,24.489800,23.469400
34回目,27.551000,23.469400,25.510200,25.510200
35回目,25.510200,21.428600,22.449000,21.428600
36回目,29.591800,20.408200,23.469400,22.449000
37回目,29.591800,24.489800,24.489800,21.428600
38回目,26.530600,23.469400,25.510200,22.449000
39回目,29.591800,21.428600,23.469400,23.469400
40回目,26.530600,20.408200,21.428600,24.489800
41回目,26.530600,21.428600,28.571400,22.449000
42回目,25.510200,21.428600,25.510200,24.489800
43回目,29.591800,25.510200,22.680400,21.428600
44回目,25.510200,16.326500,23.469400,24.489800
45回目,27.835100,22.680400,23.469400,21.428600
46回目,28.571400,21.428600,23.469400,24.489800
47回目,26.530600,20.408200,25.510200,18.556700
48回目,25.510200,20.408200,25.510200,21.428600
49回目,29.591800,20.408200,28.571400,25.510200
50回目,25.510200,20.408200,21.428600,25.510200
51回目,27.835100,24.489800,24.489800,24.489800
52回目,26.530600,20.408200,21.428600,24.489800
53回目,28.571400,22.449000,25.510200,24.489800
54回目,28.571400,20.408200,24.489800,21.428600
55回目,27.551000,24.489800,28.571400,21.428600
56回目,29.591800,26.804100,20.408200,24.489800
57回目,25.510200,20.408200,26.530600,21.428600
58回目,26.530600,26.804100,28.571400,21.428600
59回目,29.591800,22.680400,22.449000,23.469400
60回目,26.530600,21.428600,24.489800,23.469400
61回目,27.835100,24.489800,21.428600,21.428600
62回目,25.510200,20.408200,28.571400,23.469400
63回目,29.591800,21.428600,24.489800,22.449000
64回目,29.591800,23.469400,19.387800,23.469400
65回目,27.835100,23.469400,24.489800,25.510200
66回目,26.530600,27.551000,25.510200,21.428600
67回目,27.551000,21.428600,25.510200,22.449000
68回目,27.835100,21.428600,28.866000,24.489800
69回目,25.510200,25.510200,22.449000,21.428600
70回目,26.530600,24.489800,24.489800,23.469400
71回目,28.571400,22.680400,21.428600,22.449000
