SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,4.717810,26.936400,20.074900,8.711970
2回目,4.763830,26.080300,20.085500,8.648490
3回目,4.683010,26.713200,19.770600,8.640750
4回目,4.799550,26.964800,19.897800,8.516790
5回目,4.702240,26.786600,20.067300,8.667200
6回目,4.680090,26.856300,20.115100,8.705480
7回目,4.570490,26.723700,20.141100,8.619490
8回目,4.666390,26.700900,19.714400,8.759060
9回目,4.781000,26.542000,19.767300,8.917210
10回目,4.593640,26.539400,20.107800,8.547700
11回目,4.620260,27.044300,20.081700,8.886470
12回目,4.670450,26.943100,20.047100,8.694290
13回目,4.687650,26.578300,20.020400,8.760360
14回目,4.695170,26.773000,20.101000,8.724360
15回目,4.689070,26.278500,19.800400,8.667350
16回目,4.706820,26.309600,19.877000,8.702400
17回目,4.668780,26.705700,20.092200,8.703070
18回目,4.625010,27.503000,20.139100,8.893490
19回目,4.682620,26.720400,19.984200,8.937870
20回目,4.677490,26.783800,20.057800,8.544760
21回目,4.708200,26.539700,19.740200,8.789420
22回目,4.635480,26.513500,19.812100,8.525770
23回目,4.745620,26.230300,19.838500,8.733290
24回目,4.718080,26.802500,20.130400,8.743900
25回目,4.678130,26.794400,19.822600,8.743110
26回目,4.761650,26.909200,20.076400,8.682950
27回目,4.677080,26.983900,19.732700,8.678370
28回目,4.591300,26.561500,20.114900,8.572780
29回目,4.581830,26.777100,19.958200,8.622200
30回目,4.718470,26.612700,20.056700,8.722350
31回目,4.728040,26.862300,20.118300,8.780910
32回目,4.731450,26.602400,19.830700,8.748080
33回目,4.731170,26.732100,20.026100,8.718990
34回目,4.695960,27.516200,19.870600,8.615960
35回目,4.804910,26.497000,20.171300,8.706260
36回目,4.626030,27.459700,20.077300,8.627690
37回目,4.722590,26.324000,19.844200,8.695710
38回目,4.788350,26.440600,20.130700,8.872330
39回目,4.724360,26.646700,20.164700,8.694480
40回目,4.868670,26.105800,19.808700,8.650080
41回目,4.822470,26.652100,20.154000,8.661810
42回目,4.630860,27.014900,19.973900,8.680320
43回目,4.632770,26.699200,19.777700,8.665470
44回目,4.602890,26.498700,20.225500,8.860330
45回目,4.744960,26.616200,20.010700,8.657980
46回目,4.824130,26.769500,20.161200,8.554590
47回目,4.687880,26.682200,19.986900,8.595450
48回目,4.727590,26.459200,20.060400,8.688550
49回目,4.716530,26.443700,20.158900,8.744420
50回目,4.782550,26.662600,20.519700,8.620950
51回目,4.665220,26.672700,20.193300,8.623950
52回目,4.651050,26.514300,20.109200,8.476640
53回目,4.667250,26.505400,19.722600,8.691760
54回目,4.714050,27.239200,20.196400,8.740680
55回目,4.697840,26.832200,20.057300,8.622120
56回目,4.701770,26.777600,19.996800,8.640880
57回目,4.630040,26.778200,20.138300,8.801900
58回目,4.718330,26.895100,20.011300,8.606710
59回目,4.673130,26.839300,20.023200,8.710500
60回目,4.746870,27.801400,19.734500,8.621490
61回目,4.707310,26.655700,20.163900,8.649590
62回目,4.558620,26.621500,19.802400,8.736800
63回目,4.664460,26.646400,20.137300,8.522060
64回目,4.616630,26.662500,20.232000,8.539960
65回目,4.732900,26.742700,20.110000,8.646780
66回目,4.821610,26.187000,20.054000,8.643420
67回目,4.688600,26.115600,20.350700,8.684210
68回目,4.742790,26.652100,20.120800,8.800350
69回目,4.687840,26.686800,20.149400,8.598740
70回目,4.787480,26.664200,20.099900,8.554090
71回目,4.702890,26.609300,20.146000,8.715330
72回目,4.792030,27.122900,20.223600,8.794620
73回目,4.632860,26.550400,20.014600,8.688840
74回目,4.673090,26.747700,20.022400,8.676900
75回目,4.775210,26.729600,19.992800,8.559960
76回目,4.782660,26.884600,20.111000,8.720480
77回目,4.744110,26.619500,20.048800,8.633570
78回目,4.749040,26.603100,20.002800,8.713250
79回目,4.769830,26.764200,20.142400,8.728590
80回目,4.704750,26.834200,20.176100,8.657560
81回目,4.628320,26.252800,20.237300,8.632290
82回目,4.712910,26.434600,20.157300,8.712630
83回目,4.760790,26.713900,20.101500,8.761100
84回目,4.771200,27.503800,20.150100,8.514910
85回目,4.689420,26.176800,20.081600,8.735230
86回目,4.549510,26.595400,20.028200,8.638580
87回目,4.614710,26.941100,20.059800,8.875880
88回目,4.830470,26.759800,20.077900,8.627510
89回目,4.636850,26.720600,20.113200,8.620680
90回目,4.636480,26.729100,20.047600,8.618700
91回目,4.704900,26.727200,19.868000,8.726320
92回目,4.775100,26.432200,19.910400,8.732260
93回目,4.728930,27.747900,20.152100,8.590490
94回目,4.574960,27.002400,20.130900,8.640180
95回目,4.753250,26.752900,20.159500,8.689510
96回目,4.616150,26.720000,20.050500,8.555780
97回目,4.630320,26.469400,20.159700,8.625020
98回目,4.789310,26.650300,19.709100,8.863360
99回目,4.604300,26.712600,19.892900,8.798970
100回目,4.654010,26.847800,19.779900,8.864260
101回目,4.732630,26.664500,20.308600,8.702170
102回目,4.791850,26.630100,20.212900,8.608380
103回目,4.737410,26.702200,19.927500,8.720970
104回目,4.707740,26.331700,20.321400,8.890770
105回目,4.691580,26.698600,20.130300,8.652580
106回目,4.711880,26.628000,19.824300,8.626910
107回目,4.755050,26.796800,20.119800,8.694540
108回目,4.534480,26.455900,20.071700,8.774750
109回目,4.606020,26.838400,19.904400,8.702390
110回目,4.564230,26.902700,19.946800,8.497730
111回目,4.741450,26.670700,19.736200,8.622260
112回目,4.541480,27.027400,19.798300,8.649190
113回目,4.698620,26.692600,19.718600,8.551400
114回目,4.749220,26.813800,19.908900,8.650410
115回目,4.623450,26.911300,19.828000,8.828060
116回目,4.788390,26.762700,20.103600,8.648820
117回目,4.775230,26.854600,20.035900,8.710550
118回目,4.640290,26.658900,19.969300,8.677610
119回目,4.694080,26.879800,19.842400,8.666860
120回目,4.670660,26.723100,20.006600,8.774380
121回目,4.736110,26.768100,19.887100,8.553590
122回目,4.663490,26.769400,20.020200,8.626370
123回目,4.794230,26.348800,20.055100,8.891020
124回目,4.729020,26.570600,19.966400,8.664390
125回目,4.645450,27.647500,19.845100,8.498150
126回目,4.637170,26.347800,20.229500,8.830020
127回目,4.659140,26.875800,20.106700,8.753390
128回目,4.622180,26.389600,20.188300,8.758920
129回目,4.674800,26.670600,19.971200,8.659750
130回目,4.646220,26.709600,19.745000,8.795760
131回目,4.670240,27.870400,20.187900,8.736360
132回目,4.717730,26.755900,20.122900,8.762440
133回目,4.818660,26.806600,20.142400,8.578950
134回目,4.749620,26.633100,20.223100,8.662000
135回目,4.705600,26.252600,19.780800,8.799630
136回目,4.671740,26.295200,19.831200,8.707450
137回目,4.666560,26.665200,19.819800,8.684740
138回目,4.712030,26.219500,20.135400,8.876450
139回目,4.665560,26.380200,20.076900,8.745640
140回目,4.704010,26.680400,19.723700,8.663640
141回目,4.743610,26.759300,19.983900,8.825470
142回目,4.616490,26.615000,20.169900,8.796760
143回目,4.769130,27.767100,19.793400,8.619610
144回目,4.749800,26.578700,20.251500,8.816670
145回目,4.747720,26.948500,20.122500,8.712530
146回目,4.685790,26.851100,20.105400,8.728630
147回目,4.698400,26.533300,20.150600,8.780400
148回目,4.710630,26.205100,19.794400,8.544360
149回目,4.696640,26.952600,20.125500,8.546950
150回目,4.641110,27.773900,19.671400,8.674030
151回目,4.804490,26.561600,20.101500,8.852860
152回目,4.799520,26.617600,20.088600,8.881690
153回目,4.727300,26.790500,19.730600,8.669330
154回目,4.735680,26.686000,20.128700,8.756640
155回目,4.618250,26.490900,20.097800,8.664450
156回目,4.780130,26.536700,20.018900,8.621120
157回目,4.736710,26.671000,20.078900,8.745700
158回目,4.673910,26.640500,20.183300,8.603910
159回目,4.782500,26.794300,20.100100,8.689770
160回目,4.717280,26.666500,20.079800,8.756720
161回目,4.610110,26.574300,20.008700,8.723770
162回目,4.672980,26.763100,20.088100,8.633240
163回目,4.717840,26.379800,19.783900,8.737300
164回目,4.748170,26.288600,20.088400,8.728580
165回目,4.602610,26.443700,20.036800,8.780480
166回目,4.801240,26.145100,20.090800,8.585710
167回目,4.738600,26.944700,19.792900,8.600170
168回目,4.621640,26.663700,20.205900,8.621190
169回目,4.697400,26.477400,20.012600,8.676980
170回目,4.729990,26.493300,19.943200,8.621440
171回目,4.704080,26.449300,20.150300,8.581710
172回目,4.610640,26.324100,19.974900,8.692460
173回目,4.724920,26.735600,20.058500,8.879380
174回目,4.648860,26.203000,19.930300,8.828800
175回目,4.726760,26.809000,19.828000,8.691040
176回目,4.723900,26.460700,20.142300,8.701530
177回目,4.649460,26.559900,20.058400,8.757980
178回目,4.506220,26.535500,19.780000,8.863230
179回目,4.648730,26.454000,19.942700,8.717040
180回目,4.711180,26.321200,19.819400,8.758630
181回目,4.559270,26.919700,19.829600,8.710450
182回目,4.658150,26.789700,20.096500,8.787130
183回目,4.706910,27.241000,20.066500,8.704030
184回目,4.764840,26.647400,20.156300,8.714560
185回目,4.762730,26.744700,20.018400,8.937310
186回目,4.656000,26.278800,20.124000,8.743010
187回目,4.802230,26.760500,20.157200,8.693280
188回目,4.709780,26.597300,20.145900,8.796270
189回目,4.679010,26.710800,20.196900,8.722230
190回目,4.769830,26.636000,20.046300,8.614270
191回目,4.705660,26.803700,20.124600,8.704790
192回目,4.699620,26.777200,19.785600,8.532050
193回目,4.819720,26.096900,19.769900,8.713380
194回目,4.539170,26.506800,20.079600,8.710840
195回目,4.684810,26.197100,20.089100,8.646820
196回目,4.581080,26.662200,20.102600,8.657210
197回目,4.754560,26.059400,19.976900,8.866950
198回目,4.653690,26.341300,19.960400,8.705540
199回目,4.639750,26.784900,20.128500,8.716100
200回目,4.706810,26.584200,19.981100,8.890450
201回目,4.839770,26.865600,20.115000,8.706260
202回目,4.630640,26.641700,20.012700,8.683980
203回目,4.668470,26.931500,19.646100,8.581790
204回目,4.783080,25.932800,20.190300,8.814860
205回目,4.680650,26.275500,19.907200,8.623900
206回目,4.708600,26.478600,19.989000,8.709200
207回目,4.693760,26.860400,20.129900,8.655950
208回目,4.606850,26.341600,20.112200,8.740820
209回目,4.675180,26.547300,20.064400,8.762260
210回目,4.628620,26.967500,20.092400,8.711360
211回目,4.771370,26.699200,19.746900,8.521160
212回目,4.720200,26.650100,20.105900,8.714100
213回目,4.729920,26.276700,20.180000,8.677180
214回目,4.689260,26.546200,20.130200,8.741780
215回目,4.663840,26.102300,20.046300,8.671920
216回目,4.701260,26.820200,20.161100,8.908190
217回目,4.671420,26.699300,19.809400,8.683040
218回目,4.761810,26.486000,19.900200,8.671950
219回目,4.747560,26.471700,19.739900,8.694560
220回目,4.606520,26.618500,19.849200,8.568870
221回目,4.729210,26.661400,20.015600,8.916040
222回目,4.697000,26.605900,20.108700,8.999180
223回目,4.706940,26.562500,20.122700,8.811070
224回目,4.602100,26.372700,19.939500,8.731380
225回目,4.640810,26.983800,20.037600,8.714540
226回目,4.654190,26.599900,19.997600,8.718560
227回目,4.796520,26.806900,20.153400,8.741620
228回目,4.767110,27.068900,20.039000,8.562190
229回目,4.672110,26.729200,20.226500,8.602190
230回目,4.716290,26.667500,19.859400,8.606970
231回目,4.689210,26.586600,20.132900,8.714680
232回目,4.781950,26.594900,20.098200,8.833730
233回目,4.683960,26.427300,19.813300,8.713730
234回目,4.609860,26.145500,20.304000,8.515960
235回目,4.743660,26.684300,19.703100,8.486450
236回目,4.700380,26.397800,20.066900,8.516300
237回目,4.786920,26.384500,20.076900,8.579590
238回目,4.693270,26.548600,19.890900,8.790590
239回目,4.720220,26.991600,19.960300,8.737730
240回目,4.651520,26.618500,20.167100,8.669430
241回目,4.716290,27.229200,20.064200,8.720150
242回目,4.731530,26.526300,20.173600,8.734420
243回目,4.765140,26.657000,20.032100,8.707140
244回目,4.713140,26.627800,19.857900,8.657950
245回目,4.748420,26.821700,19.952300,8.790510
246回目,4.779590,27.231300,20.148900,8.648410
247回目,4.611390,26.682700,20.152400,8.905630
248回目,4.800690,26.003700,19.941900,8.775250
249回目,4.642790,26.141800,19.822000,8.784970
250回目,4.638680,26.845800,20.186300,8.762940
