HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,1.484850,1.719510,1.684210,1.662340
2回目,1.557140,1.719510,1.732560,1.725000
3回目,1.484850,1.734940,1.683540,1.691360
4回目,1.515150,1.726190,1.740740,1.707320
5回目,1.435480,1.714290,1.688310,1.725000
6回目,1.484850,1.747130,1.688310,1.732560
7回目,1.500000,1.752940,1.727270,1.725000
8回目,1.379310,1.734940,1.683540,1.662340
9回目,1.484850,1.752940,1.725000,1.734940
10回目,1.460320,1.719510,1.683540,1.725000
11回目,1.500000,1.714290,1.675680,1.707320
12回目,1.379310,1.734940,1.716050,1.737500
13回目,1.423730,1.728400,1.712500,1.725000
14回目,1.423730,1.728400,1.688310,1.725000
15回目,1.515150,1.714290,1.684210,1.726190
16回目,1.362070,1.747130,1.732560,1.725000
17回目,1.619720,1.752940,1.679490,1.734940
18回目,1.460320,1.741180,1.696200,1.691360
19回目,1.500000,1.734940,1.710840,1.734180
20回目,1.605630,1.726190,1.700000,1.734940
21回目,1.379310,1.708860,1.688310,1.726190
22回目,1.460320,1.734940,1.693330,1.726190
23回目,1.362070,1.725000,1.725000,1.726190
24回目,1.619720,1.728400,1.698800,1.732560
25回目,1.619720,1.726190,1.712500,1.662340
26回目,1.435480,1.719510,1.684210,1.734940
27回目,1.557140,1.696200,1.688310,1.701300
28回目,1.557140,1.752940,1.683540,1.726190
29回目,1.460320,1.726190,1.732560,1.726190
30回目,1.515150,1.696200,1.712500,1.662340
31回目,1.460320,1.708860,1.679490,1.691360
32回目,1.423730,1.752940,1.688310,1.737500
33回目,1.515150,1.728400,1.700000,1.707320
34回目,1.435480,1.696200,1.755810,1.734940
35回目,1.379310,1.734940,1.705130,1.737500
36回目,1.515150,1.734940,1.700000,1.732560
37回目,1.605630,1.716050,1.725000,1.734940
38回目,1.484850,1.747130,1.721520,1.725000
39回目,1.557140,1.725000,1.721520,1.707320
40回目,1.460320,1.716050,1.692310,1.734940
41回目,1.500000,1.728400,1.712500,1.737500
42回目,1.605630,1.719510,1.708860,1.725000
43回目,1.500000,1.725000,1.707870,1.707320
44回目,1.460320,1.741180,1.716050,1.726190
45回目,1.557140,1.714290,1.684210,1.732560
46回目,1.557140,1.719510,1.701300,1.707320
47回目,1.423730,1.734940,1.662160,1.737500
48回目,1.605630,1.725000,1.683540,1.701300
49回目,1.515150,1.719510,1.712500,1.662340
50回目,1.619720,1.728400,1.714290,1.662340
51回目,1.484850,1.696200,1.698800,1.707320
52回目,1.484850,1.696200,1.687500,1.662340
53回目,1.500000,1.728400,1.729410,1.662340
54回目,1.619720,1.725000,1.744190,1.662340
55回目,1.460320,1.747130,1.683540,1.701300
56回目,1.557140,1.719510,1.675320,1.707320
