Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,5.940010,7.304370,7.060610,6.929360
2回目,6.434360,7.304370,7.660210,7.352820
3回目,5.940010,7.393450,7.261560,7.290010
4回目,6.066360,7.482080,7.365740,7.304360
5回目,5.699020,7.638230,7.077620,7.125770
6回目,5.940010,7.749290,6.930010,7.660670
7回目,5.700630,7.571600,7.077750,7.125770
8回目,5.331380,7.629150,7.036060,6.929360
9回目,5.940010,7.571600,7.125790,7.628890
10回目,5.790870,7.304370,7.036060,7.352820
11回目,5.700630,6.858570,6.591360,7.304360
12回目,5.331380,7.470460,7.215280,7.125790
13回目,5.366120,7.215290,7.126200,7.352820
14回目,5.366120,7.215290,7.153560,7.125770
15回目,6.066360,6.858570,7.060610,7.720740
16回目,5.275160,7.749290,7.660210,7.352820
17回目,6.526250,7.571600,6.947640,7.628890
18回目,5.790870,7.571150,7.261430,7.290010
19回目,5.700630,7.629150,7.470450,7.261550
20回目,6.596540,7.482080,7.432560,7.628890
21回目,5.331380,7.037140,7.077620,7.720740
22回目,5.790870,7.393450,6.680820,7.720740
23回目,5.275160,7.200440,7.126210,7.720740
24回目,6.526250,7.215290,7.393000,7.660670
25回目,6.526250,7.482080,7.126200,6.929360
26回目,5.699020,7.304370,6.985680,7.628890
27回目,6.434360,7.260810,6.930010,6.858980
28回目,6.434360,7.571600,7.036060,7.720740
29回目,5.790870,7.482080,7.660210,7.720740
30回目,6.066360,7.260810,7.126200,6.929360
31回目,5.790870,7.037140,6.947640,7.290010
32回目,5.366120,7.571600,7.077260,7.125790
33回目,6.066360,7.215290,7.432560,7.304360
34回目,5.699020,7.260810,7.821650,7.628890
35回目,5.331380,7.393450,6.948050,7.125790
36回目,6.066360,7.629150,7.432560,7.660670
37回目,6.596540,7.215290,7.125780,7.628890
38回目,5.940010,7.749290,7.261550,7.352820
39回目,6.434360,7.200440,7.261550,7.304360
40回目,5.790870,7.215290,7.019360,7.628890
41回目,5.700630,7.215290,7.275890,7.125790
42回目,6.596540,7.304370,7.037130,7.125770
43回目,5.700630,7.200440,7.927820,7.304360
44回目,5.790870,7.571150,7.215280,7.720740
45回目,6.434360,7.638230,7.060610,7.660670
46回目,6.434360,7.304370,6.858980,7.304360
47回目,5.366120,7.393000,6.659940,7.125790
48回目,6.596540,7.200440,7.036040,6.858980
49回目,6.066360,7.304370,7.275840,6.929360
50回目,6.526250,7.215290,7.003370,6.929360
51回目,5.940010,7.260810,7.393440,7.304360
52回目,5.940010,7.260810,7.432710,6.929360
53回目,5.700630,7.215290,7.571590,6.929360
54回目,6.526250,7.200440,7.660230,6.929360
55回目,5.790870,7.749290,7.036060,6.858980
56回目,6.434360,7.618460,6.857940,7.304360
57回目,5.940010,7.304370,7.275890,6.858980
58回目,5.790870,6.858570,7.036060,7.125770
59回目,5.699020,7.618460,7.126210,7.261550
60回目,5.331380,7.200440,7.077620,7.125770
61回目,5.275160,7.571600,7.261630,7.290010
62回目,6.066360,7.470460,7.215290,7.720740
63回目,6.596540,7.304370,7.482520,7.660670
64回目,5.700630,7.260810,7.077880,7.304360
65回目,6.066360,6.858570,7.445490,7.720740
66回目,5.700630,7.215290,6.769900,6.858980
67回目,6.596540,7.200440,6.857940,7.304360
68回目,5.366120,7.200440,7.037130,7.125790
69回目,6.434360,7.200440,7.061080,7.628890
70回目,5.366120,7.200440,7.660210,7.628890
71回目,5.699020,7.482080,7.077260,7.304360
72回目,6.596540,7.260810,6.680760,7.290010
73回目,5.700630,7.200440,7.037130,7.261550
74回目,6.066360,7.215290,7.720230,6.929360
75回目,6.066360,7.260810,7.110430,7.628890
76回目,5.699020,7.393450,6.947000,7.660670
77回目,5.275160,7.200440,7.094180,7.261550
78回目,6.596540,7.037140,7.660210,7.290010
79回目,5.940010,7.618460,7.660210,7.125770
80回目,5.366120,7.629150,7.432180,7.660670
81回目,5.275160,7.037140,7.036040,7.125770
82回目,5.699020,7.749290,7.393000,7.261550
83回目,5.275160,7.215290,7.036060,7.660670
84回目,5.275160,7.215290,7.639740,7.290010
85回目,5.331380,7.215290,7.060610,7.261550
86回目,5.700630,7.260810,7.060610,7.720740
87回目,6.596540,7.749290,7.126200,7.720740
88回目,5.790870,6.858570,7.153980,7.304360
89回目,5.275160,7.037140,7.261550,7.352820
90回目,5.790870,7.215290,7.036700,7.628890
91回目,5.699020,7.629150,7.303940,7.125770
92回目,5.700630,7.304370,7.125790,6.929360
93回目,5.366120,7.482080,7.393440,7.628890
94回目,5.699020,7.470460,7.445570,7.125790
95回目,6.596540,7.482080,6.947640,6.858980
96回目,5.790870,7.482080,7.077580,7.290010
97回目,5.275160,7.304370,7.660210,7.125770
98回目,6.526250,7.482080,7.261550,7.261550
99回目,5.790870,7.304370,7.711440,7.352820
100回目,5.790870,7.629150,6.947640,7.628890
101回目,6.526250,7.571150,7.169250,6.929360
102回目,5.699020,7.629150,6.947660,7.628890
103回目,5.699020,7.215290,7.393440,7.304360
104回目,5.699020,7.482080,7.432560,7.720740
105回目,6.066360,7.482080,6.947640,7.125790
106回目,6.526250,7.749290,7.036040,7.660670
107回目,6.596540,7.215290,6.591360,7.290010
108回目,6.526250,7.571150,7.275840,7.660670
109回目,5.700630,7.215290,7.367190,7.352820
110回目,5.940010,6.858570,7.304370,7.720740
111回目,6.434360,7.304370,7.303910,7.290010
112回目,5.940010,7.749290,7.036060,7.720740
113回目,5.790870,7.638230,7.036060,7.352820
114回目,5.790870,7.260810,7.019360,7.125770
115回目,5.275160,6.858570,7.275840,6.858980
116回目,5.366120,7.304370,7.660210,6.929360
117回目,6.434360,7.393000,6.985960,7.125790
118回目,5.366120,7.470460,8.016980,7.304360
