Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,19.029700,6.277770,5.962010,17.723400
2回目,16.628100,10.097900,6.235330,6.425530
3回目,6.762120,2.260390,2.665910,17.723400
4回目,16.628100,6.053750,10.045900,6.257510
5回目,16.628100,2.140760,6.205790,6.442620
6回目,16.628100,2.042400,2.571310,6.442620
7回目,2.248740,13.882600,2.442100,17.723400
8回目,6.854490,25.369700,6.330900,6.442620
9回目,6.854490,2.042400,6.275450,6.443030
10回目,6.941630,2.404700,6.275280,6.442620
11回目,16.628100,6.137010,2.411310,6.425530
12回目,19.029700,6.137010,6.346020,6.257510
13回目,10.857900,2.042400,2.347210,6.313740
14回目,19.715300,6.137010,6.297910,6.425530
15回目,16.628100,2.042400,6.305170,6.425530
16回目,10.857900,6.342580,6.331330,6.421510
17回目,6.634190,6.279130,6.236730,6.313740
18回目,6.941630,2.404700,2.258410,6.442620
19回目,6.881860,2.404700,2.519310,6.257510
20回目,19.715300,2.350030,2.275410,8.291440
21回目,6.854490,25.195900,6.401750,6.342920
22回目,19.715300,6.137010,6.313600,2.313100
23回目,6.881860,6.277770,2.546950,6.313740
24回目,6.881860,6.346000,2.194570,6.257510
25回目,6.881860,6.277770,2.373830,17.723400
26回目,2.248740,2.350030,6.344570,6.313740
27回目,6.634190,2.404700,2.379670,6.257510
28回目,10.857900,6.053750,6.220250,6.443030
29回目,10.857900,2.263110,10.566700,2.313100
30回目,6.762120,10.097900,2.205760,6.342920
31回目,6.941630,2.136220,2.210490,17.723400
32回目,16.628100,10.097900,2.208600,6.421510
33回目,2.383710,6.350250,10.259300,6.443030
34回目,19.029700,6.277770,22.507700,2.237830
35回目,10.857900,2.404700,2.258000,6.257510
36回目,6.941630,2.404700,6.409760,6.421510
37回目,6.941630,6.137010,2.850310,6.425530
38回目,6.634190,2.042400,2.456450,6.425530
39回目,16.628100,2.136220,2.386530,6.443030
40回目,6.854490,2.204690,10.368600,6.443030
41回目,6.854490,6.137010,2.402740,17.723400
42回目,6.881860,6.137010,6.368580,6.342920
43回目,6.941630,6.350250,2.290150,2.237830
44回目,6.941630,25.369700,2.539980,8.291440
45回目,16.628100,2.204690,6.290840,6.313740
46回目,10.857900,10.097900,6.110800,6.443030
47回目,6.634190,10.097900,10.332800,6.421510
48回目,19.029700,6.053750,2.239450,17.723400
49回目,19.029700,10.097900,2.223490,6.257510
50回目,6.762120,25.195900,10.275800,6.313740
51回目,6.634190,6.137010,6.284040,2.237830
52回目,6.881860,2.204690,2.332490,2.237830
53回目,2.383710,10.097900,10.497300,6.443030
54回目,2.248740,6.137010,2.312360,2.237830
55回目,19.715300,2.204690,10.418800,8.291440
56回目,6.762120,6.346000,6.184950,6.443030
57回目,6.881860,10.097900,2.255970,6.342920
58回目,19.029700,2.204690,14.042400,6.442620
59回目,6.762120,6.277770,10.082400,6.257510
60回目,10.857900,2.404700,10.220600,6.425530
61回目,16.628100,2.204690,10.373300,17.723400
62回目,19.029700,2.404700,2.281220,6.443030
63回目,6.854490,25.369700,6.570700,6.425530
64回目,6.854490,6.350250,6.346280,6.342920
65回目,6.881860,2.260390,2.658950,6.313740
66回目,10.857900,2.404700,6.536550,6.421510
67回目,19.715300,25.369700,2.400270,6.442620
68回目,2.248740,2.204690,2.340280,6.421510
69回目,2.383710,2.042400,2.171990,6.257510
70回目,10.857900,2.042400,2.187830,17.723400
71回目,19.029700,2.313860,6.259800,2.237830
72回目,6.762120,2.263110,2.339960,2.313100
73回目,19.715300,2.404700,10.297900,8.291440
74回目,6.941630,6.371260,2.315000,6.313740
75回目,6.881860,2.404700,6.164060,2.313100
76回目,6.881860,6.277770,6.541010,6.443030
77回目,6.762120,2.404700,6.257660,2.237830
78回目,19.715300,2.263110,6.216880,6.425530
79回目,2.383710,6.277770,2.194330,6.421510
80回目,6.762120,2.140760,10.292300,8.291440
81回目,19.715300,25.195900,6.167150,6.425530
82回目,2.383710,6.277770,2.513800,6.313740
83回目,6.881860,10.097900,2.419500,6.257510
84回目,2.248740,6.279130,2.106790,6.442620
85回目,2.248740,2.136220,6.679760,6.313740
86回目,6.941630,2.136220,2.691490,6.342920
87回目,16.628100,2.204690,6.662550,17.723400
88回目,6.634190,6.346000,6.156620,6.442620
89回目,16.628100,10.097900,2.291470,17.723400
90回目,6.634190,2.404700,6.389610,8.291440
91回目,19.029700,6.350250,10.073300,17.723400
92回目,2.383710,2.042400,10.032200,2.313100
