Loss,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,15.436200,12.751700,9.060400,10.402700
2回目,24.496600,12.416100,12.751700,13.758400
3回目,22.483200,12.457900,11.073800,10.402700
4回目,24.496600,11.409400,11.745000,12.751700
5回目,24.496600,12.416100,13.087200,11.784500
6回目,24.496600,12.416100,10.738300,11.784500
7回目,21.812100,11.409400,12.416100,10.402700
8回目,21.476500,11.409400,13.758400,11.784500
9回目,21.476500,12.416100,15.771800,13.758400
10回目,20.469800,12.080500,12.751700,11.784500
11回目,24.496600,9.731540,14.429500,13.758400
12回目,15.436200,9.731540,12.080500,12.751700
13回目,18.791900,12.416100,14.094000,13.087200
14回目,20.134200,9.731540,10.067100,13.758400
15回目,24.496600,12.416100,15.100700,13.758400
16回目,18.791900,12.416100,12.080500,14.765100
17回目,22.483200,11.111100,13.422800,13.087200
18回目,20.469800,12.080500,12.080500,11.784500
19回目,23.489900,12.080500,13.422800,12.751700
20回目,20.134200,12.751700,11.745000,12.416100
21回目,21.476500,9.731540,13.087200,11.409400
22回目,20.134200,9.731540,15.100700,15.436200
23回目,23.489900,12.751700,14.094000,13.087200
24回目,23.489900,14.429500,11.784500,12.751700
25回目,23.489900,12.751700,10.101000,10.402700
26回目,21.812100,12.751700,11.409400,13.087200
27回目,22.483200,12.080500,11.784500,12.751700
28回目,18.791900,11.409400,13.422800,13.758400
29回目,18.791900,11.409400,16.443000,15.436200
30回目,22.483200,12.416100,15.436200,11.409400
31回目,20.469800,8.053690,13.422800,10.402700
32回目,24.496600,12.416100,15.771800,14.765100
33回目,21.212100,11.745000,12.416100,13.758400
34回目,15.436200,12.751700,13.758400,15.100700
35回目,18.791900,12.080500,13.087200,12.751700
36回目,20.469800,12.080500,11.409400,14.765100
37回目,20.469800,9.731540,13.087200,13.758400
38回目,22.483200,12.416100,14.765100,13.758400
39回目,24.496600,8.053690,13.087200,13.758400
40回目,21.476500,12.416100,12.751700,13.758400
41回目,21.476500,9.731540,11.409400,10.402700
42回目,23.489900,9.731540,13.758400,11.409400
43回目,20.469800,11.745000,10.402700,15.100700
44回目,20.469800,11.409400,11.745000,12.416100
45回目,24.496600,12.416100,14.478100,13.087200
46回目,18.791900,12.416100,12.751700,13.758400
47回目,22.483200,12.416100,14.094000,14.765100
48回目,15.436200,11.409400,16.107400,10.402700
49回目,15.436200,12.416100,13.087200,12.751700
50回目,22.483200,9.731540,13.087200,13.087200
51回目,22.483200,9.731540,14.429500,15.100700
52回目,23.489900,12.416100,13.758400,15.100700
53回目,21.212100,12.416100,13.087200,13.758400
54回目,21.812100,9.731540,12.416100,15.100700
55回目,20.134200,12.416100,13.758400,12.416100
56回目,22.483200,14.429500,11.073800,13.758400
57回目,23.489900,12.416100,15.436200,11.409400
58回目,15.436200,12.416100,12.751700,11.784500
59回目,22.483200,12.751700,14.094000,12.751700
60回目,18.791900,12.080500,10.738300,13.758400
61回目,24.496600,12.416100,14.094000,10.402700
62回目,15.436200,12.080500,15.436200,13.758400
63回目,21.476500,11.409400,13.422800,13.758400
64回目,21.476500,11.745000,12.080500,11.409400
65回目,23.489900,12.457900,11.745000,13.087200
66回目,18.791900,12.080500,9.731540,14.765100
67回目,20.134200,11.409400,11.409400,11.784500
68回目,21.812100,12.416100,12.080500,14.765100
69回目,21.212100,12.416100,13.422800,12.751700
70回目,18.791900,12.416100,15.100700,10.402700
71回目,15.436200,12.080500,13.758400,15.100700
72回目,22.483200,11.409400,13.804700,15.436200
73回目,20.134200,12.080500,11.745000,12.416100
74回目,20.469800,14.429500,14.765100,13.087200
75回目,23.489900,12.080500,14.429500,15.436200
76回目,23.489900,12.751700,12.416100,13.758400
77回目,22.483200,12.080500,13.087200,15.100700
78回目,20.134200,11.409400,14.429500,13.758400
79回目,21.212100,12.751700,15.771800,14.765100
80回目,22.483200,12.416100,12.416100,12.416100
81回目,20.134200,9.731540,12.080500,13.758400
82回目,21.212100,12.751700,12.080500,13.087200
83回目,23.489900,12.416100,9.395970,12.751700
84回目,21.812100,11.111100,15.436200,11.784500
85回目,21.812100,8.053690,13.758400,13.087200
86回目,20.469800,8.053690,11.409400,11.409400
87回目,24.496600,12.416100,15.436200,10.402700
88回目,22.483200,14.429500,13.758400,11.784500
89回目,24.496600,12.416100,8.053690,10.402700
90回目,22.483200,12.080500,13.087200,12.416100
91回目,15.436200,11.745000,12.416100,10.402700
92回目,21.212100,12.416100,10.402700,15.436200
93回目,20.469800,12.416100,12.416100,12.751700
94回目,22.483200,12.416100,12.416100,13.758400
95回目,21.212100,12.416100,14.094000,12.416100
96回目,22.483200,11.111100,12.080500,15.100700
97回目,20.134200,14.429500,15.771800,13.758400
98回目,21.212100,11.409400,9.060400,15.436200
99回目,20.134200,12.080500,12.121200,12.751700
100回目,21.812100,12.751700,12.080500,15.436200
101回目,20.469800,12.416100,11.745000,11.784500
102回目,21.476500,12.080500,11.073800,12.751700
103回目,21.812100,9.731540,10.738300,10.402700
104回目,20.469800,12.416100,15.436200,12.416100
105回目,22.483200,9.731540,15.771800,11.784500
106回目,24.496600,9.731540,12.416100,12.751700
107回目,24.496600,11.111100,13.422800,11.409400
108回目,21.476500,11.409400,12.416100,11.409400
109回目,20.134200,12.080500,13.422800,13.758400
110回目,20.134200,12.416100,12.751700,14.765100
111回目,22.483200,11.409400,6.711410,13.758400
112回目,15.436200,12.416100,8.389260,13.758400
113回目,15.436200,12.416100,9.060400,14.765100
114回目,18.791900,12.416100,12.080500,11.784500
115回目,21.812100,8.053690,10.738300,13.087200
116回目,23.489900,12.751700,11.409400,15.436200
117回目,22.483200,11.409400,13.131300,11.784500
118回目,20.134200,12.416100,11.409400,13.758400
119回目,21.812100,12.416100,10.774400,12.751700
120回目,21.812100,11.111100,9.731540,13.758400
121回目,15.436200,11.745000,12.416100,13.758400
122回目,21.476500,12.080500,13.422800,13.758400
123回目,24.496600,11.073800,10.402700,11.784500
124回目,24.496600,11.073800,14.094000,15.436200
125回目,22.483200,12.416100,14.094000,13.758400
126回目,23.489900,9.731540,12.416100,12.416100
127回目,21.476500,11.409400,12.080500,11.784500
128回目,20.469800,12.416100,12.080500,14.765100
129回目,21.212100,12.416100,8.724830,13.087200
130回目,22.483200,12.416100,11.073800,13.087200
131回目,21.476500,12.416100,13.468000,14.765100
132回目,22.483200,8.053690,11.073800,15.100700
133回目,21.812100,12.416100,12.751700,12.416100
134回目,15.436200,9.731540,10.774400,13.087200
135回目,21.212100,14.429500,12.751700,13.758400
136回目,22.483200,12.416100,15.100700,12.751700
137回目,15.436200,11.409400,15.100700,13.087200
138回目,22.483200,12.751700,16.443000,10.402700
139回目,20.134200,14.429500,13.758400,10.402700
140回目,22.483200,12.416100,15.771800,15.436200
141回目,15.436200,9.731540,15.100700,13.758400
142回目,20.469800,11.409400,12.751700,15.100700
143回目,21.212100,9.731540,11.073800,15.100700
144回目,20.469800,11.409400,12.416100,13.758400
145回目,20.469800,9.731540,14.094000,13.758400
146回目,15.436200,8.053690,10.402700,11.409400
147回目,24.496600,11.409400,10.067100,11.409400
148回目,20.469800,12.751700,12.416100,13.758400
149回目,22.483200,12.416100,14.429500,10.402700
150回目,21.212100,12.751700,11.745000,14.765100
151回目,21.812100,11.111100,14.094000,13.087200
152回目,22.483200,11.745000,12.416100,10.402700
153回目,24.496600,11.111100,16.107400,11.784500
154回目,18.791900,12.416100,12.751700,10.402700
155回目,21.212100,11.409400,15.100700,13.758400
156回目,18.791900,12.416100,15.100700,11.784500
157回目,22.483200,12.751700,13.422800,11.784500
158回目,21.476500,11.073800,14.094000,11.784500
159回目,21.212100,9.731540,12.751700,11.409400
160回目,20.134200,12.751700,11.745000,15.100700
161回目,22.483200,12.457900,17.114100,13.758400
162回目,21.476500,12.751700,10.402700,14.765100
163回目,22.483200,12.416100,12.080500,14.765100
164回目,21.212100,12.751700,11.073800,12.751700
165回目,20.469800,14.429500,10.402700,11.784500
166回目,24.496600,12.080500,10.774400,11.409400
167回目,20.134200,12.080500,11.409400,15.100700
168回目,21.212100,12.416100,14.765100,13.087200
169回目,23.489900,12.416100,13.468000,11.409400
170回目,23.489900,12.416100,15.100700,11.784500
171回目,22.483200,12.416100,14.094000,12.751700
172回目,21.476500,12.080500,10.402700,15.100700
173回目,23.489900,12.416100,10.437700,15.436200
174回目,21.476500,8.053690,12.416100,11.784500
175回目,18.791900,8.053690,11.073800,13.758400
176回目,22.483200,11.073800,9.731540,15.436200
177回目,15.436200,12.416100,15.436200,12.416100
178回目,20.134200,9.731540,16.107400,12.751700
179回目,20.134200,12.416100,14.765100,12.751700
180回目,23.489900,12.416100,13.422800,13.758400
181回目,23.489900,11.073800,15.100700,13.758400
182回目,18.791900,11.745000,12.416100,13.087200
183回目,21.212100,14.429500,15.771800,13.758400
184回目,22.483200,12.416100,13.087200,11.409400
185回目,23.489900,9.731540,16.107400,13.758400
186回目,21.212100,9.731540,12.794600,13.758400
187回目,22.483200,9.731540,10.402700,12.751700
188回目,22.483200,12.416100,10.067100,11.784500
189回目,23.489900,11.745000,11.073800,12.751700
190回目,21.212100,12.416100,13.758400,11.784500
191回目,15.436200,12.751700,11.745000,11.409400
192回目,20.134200,12.751700,10.402700,15.100700
193回目,24.496600,12.080500,10.402700,12.416100
194回目,21.212100,11.409400,14.765100,13.758400
195回目,18.791900,9.731540,12.751700,15.436200
196回目,24.496600,12.416100,11.409400,11.784500
197回目,23.489900,12.457900,8.053690,11.784500
198回目,18.791900,12.416100,9.395970,11.409400
199回目,22.483200,11.409400,11.745000,11.409400
200回目,15.436200,11.409400,12.416100,15.100700
201回目,20.469800,12.416100,13.422800,13.087200
202回目,24.496600,12.416100,12.080500,12.751700
203回目,20.134200,12.416100,13.087200,12.416100
204回目,24.496600,11.745000,8.724830,13.758400
205回目,15.436200,9.731540,13.087200,13.758400
206回目,23.489900,11.745000,11.745000,14.765100
207回目,20.469800,11.745000,12.751700,11.409400
208回目,22.483200,11.409400,12.080500,15.436200
209回目,15.436200,9.731540,13.422800,12.416100
210回目,23.489900,8.053690,14.765100,12.751700
211回目,22.483200,12.416100,11.073800,14.765100
212回目,21.812100,12.416100,12.794600,13.758400
213回目,20.134200,11.409400,15.100700,14.765100
214回目,21.476500,12.080500,11.409400,12.751700
215回目,21.812100,9.731540,12.416100,13.758400
216回目,21.212100,8.053690,10.738300,10.402700
217回目,24.496600,12.751700,10.402700,11.784500
218回目,22.483200,12.751700,15.771800,13.758400
219回目,15.436200,8.053690,14.765100,13.087200
220回目,22.483200,11.409400,12.416100,13.758400
221回目,22.483200,9.731540,10.738300,15.436200
222回目,22.483200,11.409400,14.094000,11.784500
223回目,24.496600,9.731540,15.436200,14.765100
224回目,22.483200,11.409400,11.745000,10.402700
225回目,21.476500,12.751700,14.765100,13.758400
226回目,20.469800,12.080500,12.751700,10.402700
227回目,18.791900,12.751700,13.422800,10.402700
228回目,23.489900,11.409400,11.409400,12.751700
229回目,22.483200,9.731540,11.073800,15.436200
230回目,21.812100,12.416100,16.778500,11.784500
231回目,18.791900,12.751700,13.758400,13.087200
232回目,15.436200,11.409400,13.087200,12.416100
233回目,23.489900,14.429500,10.067100,11.409400
234回目,21.212100,12.416100,11.745000,15.436200
235回目,20.134200,9.731540,11.111100,11.784500
236回目,21.812100,12.751700,10.738300,15.100700
237回目,21.212100,12.416100,10.738300,14.765100
238回目,21.212100,12.416100,11.409400,15.100700
239回目,20.134200,8.053690,13.087200,11.784500
240回目,18.791900,11.409400,11.073800,11.409400
241回目,18.791900,12.416100,12.080500,10.402700
242回目,22.483200,11.409400,16.107400,10.402700
243回目,15.436200,12.080500,12.751700,13.758400
244回目,22.483200,12.416100,13.422800,15.436200
245回目,21.476500,11.409400,13.422800,11.409400
246回目,15.436200,9.731540,11.745000,11.784500
247回目,21.212100,14.429500,14.094000,13.758400
248回目,22.483200,9.731540,14.429500,15.436200
249回目,21.476500,11.111100,12.080500,14.765100
250回目,21.476500,11.745000,14.429500,13.758400
