Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,7.490240,7.472930,7.709600,7.535040
2回目,6.772800,7.535050,7.502120,7.318030
3回目,6.937170,7.472930,7.622330,7.535040
4回目,6.772800,7.564140,7.476860,7.322260
5回目,6.772800,7.418630,7.331390,7.533630
6回目,6.772800,7.406210,7.604890,7.533630
7回目,6.707020,7.505950,7.476860,7.535040
8回目,6.905930,7.535050,7.381100,7.533630
9回目,6.905930,7.406210,7.260480,7.215020
10回目,6.648540,7.541950,7.522730,7.533630
11回目,6.772800,7.806310,7.234650,7.318030
12回目,7.490240,7.806310,7.508010,7.322260
13回目,6.864870,7.406210,7.384850,7.360490
14回目,6.782700,7.806310,7.770510,7.318030
15回目,6.772800,7.406210,7.284030,7.318030
16回目,6.864870,7.505950,7.564240,7.181020
17回目,6.813040,7.531310,7.338390,7.360490
18回目,6.648540,7.541950,7.360470,7.533630
19回目,6.744480,7.541950,7.302300,7.322260
20回目,6.782700,7.389580,7.535050,7.360490
21回目,6.905930,7.622320,7.293230,7.920170
22回目,6.782700,7.806310,7.302300,7.098650
23回目,6.744480,7.472930,7.229870,7.360490
24回目,6.744480,7.331400,7.443740,7.322260
25回目,6.744480,7.472930,7.578930,7.535040
26回目,6.707020,7.389580,7.505960,7.360490
27回目,6.813040,7.541950,7.414550,7.322260
28回目,6.864870,7.564140,7.331400,7.215020
29回目,6.864870,7.535050,7.127740,7.098650
30回目,6.937170,7.535050,7.098650,7.920170
31回目,6.648540,7.796880,7.389580,7.535040
32回目,6.772800,7.535050,7.040470,7.181020
33回目,6.905930,7.578930,7.389580,7.215020
34回目,7.490240,7.472930,7.273210,7.311250
35回目,6.864870,7.541950,7.372500,7.322260
36回目,6.648540,7.541950,7.490460,7.181020
37回目,6.648540,7.806310,7.331390,7.318030
38回目,6.813040,7.406210,7.234650,7.318030
39回目,6.772800,7.796880,7.302300,7.215020
40回目,6.905930,7.326970,7.360470,7.215020
41回目,6.905930,7.806310,7.564140,7.535040
42回目,6.744480,7.806310,7.326980,7.920170
43回目,6.648540,7.578930,7.535040,7.311250
44回目,6.648540,7.535050,7.476860,7.360490
45回目,6.772800,7.326970,7.254540,7.360490
46回目,6.864870,7.535050,7.545700,7.215020
47回目,6.813040,7.535050,7.560140,7.181020
48回目,7.490240,7.564140,7.011370,7.535040
49回目,7.490240,7.535050,7.360490,7.322260
