Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,2.061430,2.056070,5.873870,2.197660
2回目,10.061700,5.782670,2.194790,2.130520
3回目,2.061430,9.599750,9.590420,2.019410
4回目,1.899780,2.171800,1.966140,6.080470
5回目,10.296900,13.471700,9.781850,6.080470
6回目,10.061700,2.005920,2.323260,5.905930
7回目,10.296900,2.012110,9.592610,6.080470
8回目,10.346400,6.007170,1.970310,5.905930
9回目,10.061700,9.599750,5.883600,6.010900
10回目,14.528100,9.599750,2.265020,2.197660
11回目,10.296900,5.782670,2.071150,5.905930
12回目,10.296900,6.007170,1.949880,6.010900
13回目,14.528100,5.918640,9.741820,6.010900
14回目,1.927790,2.195100,1.978610,2.170580
15回目,10.061700,9.599750,13.693900,2.197660
16回目,2.061430,6.007170,2.034310,2.019410
17回目,1.899780,2.208080,5.889910,2.139180
18回目,1.892720,9.599750,9.752150,2.170580
19回目,10.296900,9.898510,2.356520,25.047200
20回目,1.899780,2.193650,2.137780,5.905930
21回目,1.899780,2.195100,9.415670,5.905930
22回目,10.659300,2.208080,9.860840,2.159270
23回目,14.528100,2.012110,5.869180,2.019410
24回目,10.256300,2.193650,17.269800,2.139180
25回目,10.659300,20.349100,5.919920,6.010900
26回目,10.659300,6.007170,10.080900,2.197660
27回目,10.061700,2.005920,5.999160,2.130520
28回目,10.256300,20.349100,1.990640,2.130520
29回目,10.061700,2.005920,6.200600,2.139180
30回目,1.899780,5.918640,6.015630,2.197660
31回目,1.892720,2.048040,2.119450,6.010900
32回目,1.927790,20.349100,5.981250,6.080470
33回目,10.061700,13.323300,5.946460,25.047200
34回目,2.061430,13.323300,2.359400,2.170580
35回目,1.927790,2.078280,5.851510,25.047200
36回目,10.346400,13.471700,6.027730,2.170580
37回目,10.296900,5.914070,2.109380,25.047200
38回目,1.892720,20.349100,6.076150,6.010900
39回目,6.277500,2.078280,2.024080,6.080470
40回目,14.528100,2.193650,2.305740,2.130520
41回目,10.061700,6.007170,2.157430,2.130520
42回目,10.659300,5.914070,2.102780,2.139180
43回目,6.277500,2.005920,2.050740,5.905930
44回目,1.892720,20.349100,2.268730,5.905930
45回目,6.277500,2.193650,2.192860,2.170580
46回目,10.296900,2.048040,9.747870,2.019410
47回目,10.061700,2.096730,5.981100,2.159270
48回目,10.659300,5.782670,6.036710,25.047200
49回目,6.277500,20.349100,6.047080,5.808180
50回目,10.256300,2.193650,2.311580,5.808180
51回目,6.277500,6.007170,6.010830,2.159270
52回目,10.659300,13.471700,5.919670,6.080470
53回目,10.659300,2.012110,5.771020,2.139180
54回目,10.659300,9.898510,5.732420,2.159270
55回目,6.277500,2.096730,5.893850,2.197660
56回目,10.296900,9.898510,5.983570,6.080470
57回目,1.899780,9.898510,5.910370,2.139180
58回目,2.061430,2.193650,5.892870,6.010900
59回目,1.927790,2.012110,5.851810,2.139180
60回目,14.528100,13.471700,1.970870,6.010900
