Loss,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,15.100700,9.395970,10.402700,12.416100
2回目,14.141400,7.046980,10.402700,9.060400
3回目,15.100700,9.060400,11.111100,11.745000
4回目,18.456400,9.731540,12.416100,12.416100
5回目,14.094000,11.073800,11.745000,12.416100
6回目,14.141400,8.724830,10.738300,11.409400
7回目,14.094000,8.724830,11.409400,12.416100
8回目,16.443000,10.067100,12.751700,11.409400
9回目,14.141400,9.060400,10.774400,12.416100
10回目,16.778500,9.060400,11.073800,12.416100
11回目,14.094000,7.046980,13.087200,11.409400
12回目,14.094000,10.067100,12.751700,12.416100
13回目,16.778500,9.060400,10.067100,12.416100
14回目,16.443000,8.053690,13.758400,11.073800
15回目,14.141400,9.060400,11.111100,12.416100
16回目,15.100700,10.067100,10.067100,11.745000
17回目,18.456400,8.417510,10.402700,9.060400
18回目,19.798700,9.060400,9.090910,11.073800
19回目,14.094000,9.731540,10.402700,10.774400
20回目,18.456400,6.711410,8.724830,11.409400
21回目,18.456400,8.053690,7.382550,11.409400
22回目,17.785200,8.417510,9.731540,10.402700
23回目,16.778500,8.724830,9.731540,11.745000
24回目,16.107400,6.711410,10.402700,9.060400
25回目,17.785200,6.711410,12.416100,12.416100
26回目,17.785200,10.067100,12.751700,12.416100
27回目,14.141400,8.724830,9.060400,9.060400
28回目,16.107400,6.711410,11.073800,9.060400
29回目,14.141400,8.724830,12.080500,9.060400
30回目,18.456400,9.060400,10.402700,12.416100
31回目,19.798700,10.067100,11.745000,12.416100
32回目,16.443000,6.711410,10.402700,12.416100
33回目,14.141400,9.060400,12.751700,10.774400
34回目,15.100700,9.060400,13.422800,11.073800
35回目,16.443000,10.067100,10.437700,10.774400
36回目,16.443000,11.073800,10.738300,11.073800
37回目,14.094000,9.395970,10.402700,10.774400
38回目,19.798700,6.711410,12.080500,12.416100
39回目,17.114100,10.067100,9.395970,12.416100
40回目,16.778500,6.711410,9.731540,9.060400
41回目,14.141400,10.067100,12.080500,9.060400
42回目,17.785200,9.395970,11.409400,9.060400
43回目,17.114100,8.724830,11.745000,11.409400
44回目,19.798700,6.711410,10.067100,11.409400
45回目,17.114100,6.711410,12.080500,11.073800
46回目,14.094000,10.067100,11.409400,11.745000
47回目,14.141400,12.416100,10.402700,10.402700
48回目,17.785200,7.046980,11.073800,10.774400
49回目,17.114100,6.711410,11.784500,8.053690
50回目,16.107400,6.711410,11.409400,8.053690
51回目,17.114100,10.067100,11.073800,10.402700
52回目,17.785200,11.073800,10.067100,12.416100
53回目,17.785200,8.724830,7.718120,9.060400
54回目,17.785200,9.731540,10.067100,10.402700
55回目,17.114100,12.416100,8.053690,12.416100
56回目,14.094000,9.731540,9.731540,12.416100
57回目,18.456400,9.731540,10.738300,9.060400
58回目,15.100700,6.711410,9.395970,12.416100
59回目,16.443000,8.724830,10.774400,9.060400
60回目,16.778500,11.073800,11.745000,12.416100
61回目,17.785200,6.711410,12.416100,9.060400
62回目,16.443000,8.417510,10.402700,10.402700
63回目,16.443000,10.067100,13.087200,12.416100
64回目,16.778500,8.053690,11.745000,11.073800
65回目,16.778500,12.416100,12.416100,12.416100
66回目,17.785200,7.046980,12.794600,12.416100
67回目,17.785200,8.417510,13.758400,11.745000
68回目,16.107400,10.067100,10.402700,11.409400
