PDR,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,81.543600,88.926200,88.926200,86.241600
2回目,83.165000,91.610700,87.248300,88.590600
3回目,81.543600,90.268500,88.215500,86.241600
4回目,79.530200,88.926200,86.912800,86.912800
5回目,82.550300,88.255000,86.241600,86.912800
6回目,83.165000,89.932900,86.912800,86.912800
7回目,82.550300,90.939600,87.583900,86.912800
8回目,81.879200,89.261700,85.906000,86.912800
9回目,83.165000,90.268500,87.542100,86.241600
10回目,80.536900,90.268500,87.919500,86.241600
11回目,82.550300,91.610700,86.241600,86.912800
12回目,82.550300,89.261700,84.563800,86.241600
13回目,80.536900,89.597300,89.261700,86.241600
14回目,80.536900,90.939600,83.892600,88.255000
15回目,83.165000,90.268500,86.868700,86.241600
16回目,81.543600,89.261700,88.255000,86.241600
17回目,79.530200,90.235700,89.261700,90.268500
18回目,77.516800,90.268500,88.552200,88.255000
19回目,82.550300,88.255000,88.926200,88.215500
20回目,79.530200,92.281900,89.932900,86.912800
21回目,79.530200,90.939600,90.939600,86.912800
22回目,78.859100,90.235700,87.919500,88.926200
23回目,80.536900,90.939600,88.255000,86.241600
24回目,80.872500,92.281900,88.926200,90.268500
25回目,78.859100,93.288600,85.906000,86.241600
26回目,78.859100,89.261700,86.241600,86.241600
27回目,83.165000,89.932900,90.939600,88.590600
28回目,80.872500,93.288600,87.248300,88.590600
29回目,83.165000,89.932900,85.906000,90.268500
30回目,79.530200,89.597300,88.255000,86.241600
31回目,77.516800,88.590600,87.919500,86.241600
32回目,80.536900,93.288600,87.919500,86.912800
33回目,83.165000,89.932900,86.577200,88.215500
34回目,81.543600,89.932900,85.570500,88.255000
35回目,80.536900,89.261700,87.878800,88.215500
36回目,81.879200,88.255000,86.912800,88.255000
37回目,82.550300,89.597300,87.919500,88.215500
38回目,77.516800,93.288600,86.241600,86.241600
39回目,79.530200,89.261700,88.590600,86.912800
40回目,80.536900,92.281900,88.590600,88.590600
41回目,83.165000,89.261700,87.583900,88.590600
42回目,78.859100,89.597300,86.912800,90.268500
43回目,79.530200,89.932900,86.912800,86.912800
44回目,77.516800,93.288600,89.261700,86.912800
45回目,79.530200,92.281900,87.583900,88.255000
46回目,82.550300,88.590600,87.583900,86.241600
47回目,83.165000,86.577200,88.926200,88.926200
48回目,78.859100,91.610700,87.919500,88.215500
49回目,79.530200,93.288600,86.195300,88.926200
50回目,80.872500,92.281900,86.912800,88.926200
51回目,79.530200,89.261700,88.255000,88.926200
52回目,78.859100,88.255000,89.261700,86.912800
53回目,78.859100,90.939600,90.604000,90.268500
54回目,78.859100,88.255000,88.590600,88.926200
55回目,79.530200,86.577200,91.275200,86.241600
56回目,82.550300,88.255000,89.261700,86.912800
57回目,79.530200,88.255000,88.926200,90.268500
58回目,81.543600,92.281900,88.926200,86.241600
59回目,80.536900,90.939600,88.888900,90.268500
60回目,80.536900,88.255000,87.248300,86.241600
61回目,78.859100,92.281900,85.570500,88.590600
62回目,80.536900,90.235700,87.248300,88.926200
63回目,81.879200,89.261700,86.577200,86.241600
64回目,80.536900,90.939600,86.241600,88.255000
65回目,80.536900,86.577200,86.241600,86.912800
66回目,78.859100,91.610700,87.205400,86.241600
67回目,78.859100,90.235700,85.234900,86.241600
68回目,80.872500,88.590600,88.926200,86.912800
69回目,79.530200,89.261700,86.241600,90.268500
70回目,80.872500,88.255000,90.939600,88.590600
71回目,83.165000,88.255000,85.906000,88.215500
72回目,83.165000,87.248300,88.926200,86.241600
73回目,80.536900,92.281900,84.175100,88.215500
74回目,77.516800,91.610700,85.906000,86.912800
75回目,79.530200,89.597300,88.926200,86.241600
76回目,77.516800,88.926200,86.912800,86.241600
77回目,82.550300,92.281900,87.919500,88.590600
78回目,80.536900,88.255000,87.919500,86.912800
79回目,80.872500,89.932900,87.583900,88.926200
80回目,79.530200,88.926200,87.919500,88.590600
81回目,81.543600,90.939600,86.532000,88.926200
82回目,77.516800,92.281900,87.583900,88.590600
83回目,79.530200,88.255000,88.255000,88.926200
84回目,80.872500,89.261700,87.583900,86.241600
85回目,80.872500,91.610700,90.939600,86.912800
86回目,79.530200,91.610700,86.912800,86.241600
87回目,79.530200,89.932900,86.241600,86.241600
88回目,77.516800,88.255000,87.248300,88.590600
89回目,81.543600,89.932900,88.255000,86.912800
90回目,77.516800,93.288600,89.597300,86.241600
91回目,77.516800,92.281900,86.868700,86.912800
92回目,79.530200,89.932900,88.255000,88.926200
93回目,82.550300,88.255000,91.610700,88.590600
94回目,79.530200,88.255000,86.241600,88.926200
95回目,77.516800,93.288600,87.583900,86.912800
96回目,80.536900,88.590600,88.926200,88.255000
97回目,79.530200,86.577200,87.919500,86.241600
98回目,80.536900,91.610700,88.590600,88.590600
99回目,82.550300,90.939600,88.215500,86.912800
100回目,80.536900,90.235700,87.583900,86.241600
101回目,77.516800,93.288600,87.583900,88.215500
102回目,81.879200,88.255000,86.241600,88.255000
103回目,79.530200,92.281900,88.255000,88.215500
104回目,79.530200,86.577200,86.577200,86.241600
105回目,78.859100,89.261700,88.926200,88.255000
106回目,80.536900,91.610700,86.532000,88.926200
107回目,82.550300,86.532000,87.919500,88.926200
108回目,80.872500,89.932900,89.932900,88.926200
109回目,79.530200,90.268500,87.583900,86.912800
110回目,80.536900,93.288600,86.912800,86.241600
111回目,80.872500,90.939600,88.255000,90.268500
112回目,79.530200,89.597300,89.261700,88.926200
113回目,80.872500,90.939600,89.261700,90.268500
114回目,80.872500,89.597300,87.583900,86.241600
115回目,83.165000,89.597300,89.261700,88.215500
116回目,79.530200,86.532000,85.906000,86.241600
117回目,77.516800,89.261700,87.919500,88.255000
118回目,83.165000,92.281900,87.919500,86.912800
119回目,79.530200,89.261700,87.248300,88.926200
120回目,81.543600,90.939600,85.906000,86.912800
121回目,81.543600,89.261700,85.906000,90.268500
122回目,83.165000,90.235700,88.926200,86.912800
123回目,79.530200,90.939600,89.932900,88.926200
124回目,82.550300,89.261700,88.255000,86.912800
125回目,77.516800,89.597300,88.255000,88.255000
126回目,81.879200,89.597300,86.912800,86.241600
127回目,83.165000,88.255000,86.195300,88.926200
128回目,79.530200,89.597300,88.255000,86.912800
129回目,77.516800,89.261700,88.255000,86.912800
130回目,80.872500,93.288600,87.583900,86.241600
131回目,78.859100,90.939600,87.583900,86.912800
132回目,80.536900,90.939600,86.577200,88.926200
133回目,77.516800,90.939600,84.563800,86.241600
134回目,77.516800,89.597300,91.946300,86.241600
135回目,80.536900,89.261700,83.892600,88.255000
136回目,80.536900,88.926200,88.255000,86.241600
137回目,77.516800,89.932900,86.577200,88.926200
138回目,83.165000,91.610700,88.255000,86.241600
139回目,79.530200,88.255000,89.261700,88.215500
140回目,80.536900,90.235700,86.195300,88.215500
141回目,79.530200,92.281900,88.255000,88.590600
142回目,83.165000,91.610700,89.597300,88.255000
143回目,79.530200,90.268500,88.926200,88.255000
144回目,81.543600,88.926200,88.255000,86.912800
145回目,81.879200,90.235700,87.248300,88.255000
146回目,82.550300,89.597300,87.205400,88.255000
147回目,81.879200,92.281900,87.919500,88.926200
148回目,81.543600,89.597300,86.577200,88.255000
149回目,79.530200,89.261700,89.597300,86.912800
150回目,81.879200,89.261700,86.577200,88.590600
151回目,77.516800,91.610700,88.926200,86.912800
152回目,80.536900,89.261700,88.255000,88.215500
153回目,80.872500,90.939600,86.241600,86.241600
154回目,81.543600,89.932900,88.590600,88.926200
155回目,79.530200,88.255000,88.255000,86.241600
156回目,80.536900,88.255000,87.248300,86.241600
157回目,79.530200,89.932900,87.919500,86.241600
158回目,81.543600,88.255000,86.195300,88.926200
159回目,80.872500,89.932900,89.261700,86.241600
160回目,80.872500,92.281900,88.926200,88.926200
161回目,83.165000,90.939600,87.583900,88.215500
162回目,77.516800,87.248300,88.590600,86.241600
163回目,80.872500,89.261700,89.261700,88.926200
164回目,80.536900,89.261700,90.268500,86.241600
165回目,80.536900,90.939600,86.577200,88.215500
166回目,81.543600,92.281900,89.932900,86.241600
167回目,80.536900,88.255000,86.239400,90.268500
168回目,80.536900,90.235700,89.597300,88.926200
169回目,80.872500,88.590600,91.275200,88.215500
170回目,79.530200,89.261700,86.912800,88.926200
171回目,81.879200,90.268500,85.234900,88.926200
172回目,79.530200,91.610700,88.888900,88.590600
173回目,83.165000,90.268500,87.248300,86.241600
174回目,80.536900,90.939600,87.248300,88.926200
175回目,77.516800,89.261700,83.557000,88.590600
176回目,80.872500,90.235700,85.906000,86.912800
177回目,79.530200,90.268500,85.906000,88.926200
178回目,79.530200,91.610700,89.261700,88.590600
179回目,77.516800,92.281900,89.597300,86.241600
180回目,83.165000,90.939600,88.255000,86.912800
181回目,77.516800,92.281900,86.577200,88.926200
182回目,78.859100,90.939600,88.590600,90.268500
183回目,77.516800,91.610700,86.577200,86.912800
184回目,83.165000,90.939600,89.932900,88.215500
185回目,81.543600,90.235700,89.261700,90.268500
186回目,82.550300,90.939600,88.590600,88.926200
187回目,80.536900,89.261700,87.919500,90.268500
188回目,80.536900,88.255000,89.932900,88.590600
189回目,79.530200,89.261700,88.255000,88.926200
190回目,78.859100,89.932900,83.838400,88.255000
191回目,81.879200,86.532000,88.255000,88.926200
192回目,81.879200,90.268500,86.912800,88.255000
193回目,78.859100,90.939600,91.275200,88.215500
194回目,82.550300,90.939600,87.248300,88.215500
195回目,77.516800,90.939600,85.906000,86.912800
196回目,79.530200,88.926200,86.241600,86.241600
197回目,79.530200,89.932900,88.926200,88.926200
198回目,80.536900,87.248300,88.590600,88.926200
199回目,77.516800,87.248300,84.848500,88.255000
200回目,81.543600,88.926200,86.912800,88.215500
201回目,82.550300,88.255000,86.529800,86.912800
202回目,79.530200,89.261700,88.926200,86.241600
203回目,79.530200,86.532000,92.281900,88.926200
204回目,80.872500,89.261700,84.563800,86.241600
205回目,81.543600,88.255000,87.583900,86.241600
206回目,80.536900,90.268500,87.248300,88.926200
207回目,80.536900,93.288600,86.195300,88.255000
208回目,82.550300,89.261700,89.597300,86.241600
209回目,80.536900,90.939600,88.590600,86.241600
210回目,82.550300,90.939600,89.562300,88.926200
211回目,81.879200,89.261700,88.255000,86.241600
212回目,81.543600,86.532000,88.590600,86.241600
213回目,79.530200,92.281900,84.563800,88.215500
214回目,80.536900,87.248300,86.577200,86.912800
215回目,80.536900,89.597300,87.248300,88.590600
216回目,80.536900,92.281900,88.926200,88.926200
217回目,79.530200,90.939600,87.248300,86.912800
218回目,83.165000,88.255000,87.542100,88.590600
219回目,82.550300,88.255000,89.261700,88.215500
220回目,81.543600,90.268500,89.932900,88.590600
221回目,79.530200,87.248300,87.583900,86.241600
222回目,83.165000,90.939600,87.542100,88.590600
223回目,80.536900,90.939600,87.583900,90.268500
224回目,77.516800,90.235700,86.195300,88.926200
225回目,82.550300,86.577200,84.563800,86.912800
226回目,80.536900,91.610700,88.255000,86.241600
227回目,80.872500,88.255000,89.261700,88.590600
228回目,83.165000,89.932900,86.241600,88.926200
229回目,80.536900,89.932900,88.255000,88.255000
