HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,1.861220,1.876450,1.874050,1.873080
2回目,1.862350,1.871700,1.877860,1.865900
3回目,1.850810,1.876920,1.875940,1.879840
4回目,1.843620,1.875000,1.870080,1.868730
5回目,1.865850,1.876920,1.872090,1.868420
6回目,1.869050,1.873560,1.870590,1.865380
7回目,1.858870,1.883020,1.867700,1.879840
8回目,1.843620,1.875000,1.865670,1.879840
9回目,1.843620,1.875970,1.869730,1.865380
10回目,1.869050,1.876450,1.871600,1.879840
11回目,1.862350,1.874050,1.875470,1.875000
12回目,1.865850,1.878330,1.868220,1.879840
13回目,1.862350,1.883020,1.874050,1.871210
14回目,1.862350,1.857140,1.875970,1.868420
15回目,1.858300,1.875970,1.853750,1.875490
16回目,1.861220,1.874050,1.871090,1.871210
17回目,1.866670,1.868730,1.868730,1.875490
18回目,1.865850,1.875970,1.859920,1.868220
19回目,1.850810,1.883020,1.866170,1.868420
20回目,1.850810,1.878790,1.866170,1.871210
21回目,1.858870,1.868730,1.856570,1.868220
22回目,1.858870,1.876450,1.871090,1.868420
23回目,1.850810,1.873560,1.853750,1.879840
24回目,1.850810,1.871700,1.856030,1.879840
25回目,1.861220,1.875970,1.855470,1.865380
26回目,1.858300,1.875970,1.878330,1.873080
27回目,1.861220,1.879250,1.875490,1.868730
28回目,1.865850,1.883020,1.876450,1.868420
29回目,1.861220,1.871700,1.872590,1.871210
30回目,1.858300,1.878790,1.869730,1.865380
31回目,1.843620,1.874050,1.854330,1.871210
32回目,1.861220,1.873560,1.866140,1.873080
33回目,1.865850,1.874050,1.868730,1.868730
34回目,1.858870,1.875970,1.881680,1.875000
35回目,1.866670,1.871700,1.871600,1.875000
36回目,1.868530,1.875000,1.870230,1.868220
37回目,1.843620,1.873610,1.870590,1.875000
38回目,1.861220,1.878330,1.870230,1.865900
39回目,1.865850,1.875000,1.866670,1.879840
40回目,1.861220,1.875970,1.879250,1.868730
41回目,1.858870,1.857140,1.870230,1.873080
42回目,1.865850,1.879250,1.874510,1.868220
43回目,1.858870,1.875000,1.872090,1.868420
44回目,1.861220,1.878330,1.862600,1.868730
45回目,1.869050,1.876450,1.853750,1.879840
46回目,1.858870,1.873560,1.871090,1.875000
47回目,1.869050,1.874050,1.875470,1.879840
48回目,1.866670,1.875000,1.880770,1.865380
49回目,1.869050,1.874050,1.869230,1.868220
50回目,1.869050,1.875000,1.871090,1.868420
51回目,1.862350,1.876450,1.859380,1.868220
52回目,1.865850,1.883020,1.873080,1.868730
53回目,1.858300,1.876450,1.854900,1.868730
54回目,1.858870,1.883020,1.861540,1.868220
55回目,1.868530,1.874520,1.871090,1.868220
56回目,1.858300,1.876450,1.867190,1.868420
57回目,1.868530,1.883020,1.874520,1.865380
58回目,1.862350,1.875970,1.872590,1.871210
59回目,1.862350,1.876450,1.857140,1.879840
60回目,1.862350,1.875000,1.871090,1.865380
61回目,1.868530,1.878330,1.870080,1.875490
62回目,1.861220,1.883020,1.855470,1.875490
63回目,1.843620,1.874050,1.871600,1.871210
64回目,1.869050,1.857140,1.872590,1.875000
65回目,1.862350,1.874520,1.853750,1.868420
66回目,1.868530,1.868730,1.860470,1.868220
67回目,1.850810,1.873560,1.867190,1.873080
68回目,1.869050,1.879250,1.870230,1.873080
69回目,1.861220,1.874020,1.861000,1.865380
70回目,1.868530,1.876920,1.873560,1.868220
71回目,1.861220,1.874050,1.872590,1.875490
72回目,1.843620,1.875970,1.854330,1.868420
73回目,1.868530,1.871700,1.872590,1.868730
74回目,1.868530,1.876920,1.871090,1.871210
75回目,1.843620,1.874050,1.872090,1.868420
76回目,1.850810,1.883020,1.872590,1.873080
77回目,1.868530,1.879250,1.868730,1.875000
78回目,1.868530,1.875000,1.870080,1.865380
79回目,1.862350,1.874050,1.858820,1.868730
80回目,1.861220,1.875000,1.868220,1.868730
81回目,1.858870,1.875970,1.872090,1.871210
82回目,1.865850,1.865080,1.874050,1.875490
83回目,1.862350,1.876450,1.865170,1.865900
84回目,1.866670,1.879250,1.856030,1.879840
85回目,1.868530,1.875970,1.854330,1.868730
86回目,1.869050,1.873560,1.854330,1.875490
87回目,1.858300,1.875970,1.870720,1.868220
