Memory,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,84700.000000,85800.000000,560608.000000,285148.000000
2回目,84436.000000,85692.000000,560760.000000,285264.000000
3回目,84364.000000,85552.000000,560620.000000,285376.000000
4回目,84620.000000,85408.000000,560640.000000,284996.000000
5回目,84340.000000,85732.000000,560244.000000,285340.000000
6回目,84656.000000,85844.000000,560816.000000,285352.000000
7回目,84688.000000,85568.000000,560876.000000,284884.000000
8回目,84476.000000,85672.000000,560800.000000,285340.000000
9回目,84736.000000,85284.000000,560692.000000,285168.000000
10回目,84340.000000,85600.000000,560404.000000,284976.000000
11回目,84440.000000,85880.000000,560984.000000,284812.000000
12回目,84648.000000,85600.000000,560852.000000,284996.000000
13回目,84536.000000,85868.000000,561088.000000,285336.000000
14回目,84688.000000,85720.000000,560388.000000,285448.000000
15回目,84680.000000,85316.000000,560856.000000,285340.000000
16回目,84428.000000,85856.000000,560464.000000,284684.000000
17回目,84748.000000,85464.000000,560836.000000,285336.000000
18回目,84528.000000,85280.000000,560908.000000,284992.000000
19回目,84576.000000,85288.000000,560512.000000,285332.000000
20回目,84060.000000,85608.000000,560616.000000,285336.000000
21回目,84564.000000,85508.000000,560332.000000,285400.000000
22回目,84164.000000,85292.000000,560680.000000,285268.000000
23回目,84432.000000,85568.000000,560952.000000,284680.000000
24回目,84320.000000,85672.000000,560668.000000,284948.000000
25回目,84656.000000,85200.000000,560748.000000,285228.000000
26回目,84792.000000,85260.000000,560696.000000,285232.000000
27回目,84436.000000,85744.000000,560708.000000,285112.000000
28回目,84400.000000,85560.000000,560808.000000,285268.000000
29回目,84784.000000,85604.000000,560964.000000,285148.000000
30回目,84452.000000,85428.000000,560840.000000,284996.000000
31回目,84472.000000,85652.000000,560712.000000,285332.000000
32回目,84532.000000,85540.000000,561036.000000,285200.000000
33回目,84064.000000,85548.000000,560532.000000,285296.000000
34回目,84840.000000,85312.000000,560240.000000,284980.000000
35回目,84176.000000,85556.000000,560804.000000,285168.000000
36回目,84488.000000,85172.000000,560732.000000,285376.000000
37回目,84556.000000,85576.000000,560676.000000,285076.000000
38回目,84736.000000,85368.000000,561176.000000,285220.000000
39回目,84512.000000,85588.000000,560712.000000,285188.000000
40回目,84564.000000,85488.000000,560780.000000,285272.000000
41回目,84448.000000,85188.000000,560532.000000,285156.000000
42回目,84396.000000,85676.000000,560976.000000,285204.000000
43回目,84428.000000,85056.000000,561016.000000,285168.000000
44回目,84716.000000,85556.000000,560876.000000,285196.000000
45回目,84396.000000,85524.000000,561076.000000,285232.000000
46回目,84472.000000,85252.000000,560500.000000,285340.000000
47回目,84308.000000,85472.000000,560780.000000,285140.000000
48回目,84604.000000,85352.000000,560944.000000,285160.000000
49回目,84484.000000,85420.000000,560628.000000,285160.000000
50回目,84732.000000,85416.000000,560588.000000,285244.000000
51回目,84696.000000,85568.000000,560680.000000,285616.000000
52回目,84624.000000,85668.000000,560536.000000,285240.000000
53回目,84532.000000,85308.000000,560676.000000,284652.000000
54回目,84360.000000,85228.000000,560580.000000,285496.000000
55回目,84768.000000,85308.000000,560884.000000,284908.000000
56回目,84784.000000,85648.000000,560856.000000,285108.000000
57回目,84700.000000,85632.000000,560792.000000,285052.000000
58回目,84684.000000,85564.000000,560580.000000,284932.000000
59回目,84604.000000,85844.000000,560992.000000,285064.000000
60回目,84692.000000,85284.000000,561336.000000,284992.000000
61回目,84608.000000,85636.000000,560408.000000,284648.000000
62回目,84488.000000,85808.000000,560376.000000,285340.000000
63回目,84740.000000,85448.000000,560752.000000,285256.000000
64回目,84768.000000,85676.000000,560732.000000,285336.000000
65回目,84648.000000,85700.000000,560668.000000,285108.000000
66回目,84688.000000,85504.000000,561004.000000,285388.000000
67回目,84436.000000,85412.000000,560732.000000,285076.000000
68回目,84628.000000,85384.000000,560576.000000,285264.000000
69回目,84788.000000,85704.000000,560900.000000,284992.000000
70回目,84784.000000,85344.000000,560508.000000,285336.000000
71回目,84928.000000,85132.000000,560884.000000,285072.000000
72回目,84344.000000,85184.000000,560664.000000,285160.000000
73回目,84476.000000,85376.000000,561048.000000,284984.000000
74回目,84480.000000,85540.000000,560312.000000,285204.000000
75回目,84752.000000,85748.000000,560984.000000,285588.000000
76回目,84548.000000,85332.000000,560688.000000,285316.000000
77回目,84204.000000,85404.000000,560808.000000,285284.000000
78回目,84568.000000,85228.000000,561132.000000,285112.000000
79回目,84444.000000,85708.000000,560544.000000,285040.000000
80回目,84672.000000,85552.000000,561020.000000,285380.000000
