Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,5223126.000000,13966379.000000,12299124.000000,12302647.000000
2回目,5258782.000000,13825273.000000,12300646.000000,12284897.000000
3回目,5226748.000000,13834275.000000,12286730.000000,12312823.000000
4回目,5231356.000000,13994086.000000,12329854.000000,12295703.000000
5回目,5263474.000000,13834275.000000,12304278.000000,12253477.000000
6回目,5235236.000000,13913766.000000,12336162.000000,12298905.000000
7回目,5225164.000000,13929625.000000,12302892.000000,12312823.000000
8回目,5231356.000000,13850671.000000,12315564.000000,12312823.000000
9回目,5231356.000000,13918488.000000,12292452.000000,12298905.000000
10回目,5235236.000000,13966379.000000,12310672.000000,12312823.000000
11回目,5258782.000000,14019618.000000,12295402.000000,12280057.000000
12回目,5263474.000000,14057865.000000,12343970.000000,12312823.000000
13回目,5258782.000000,13985176.000000,12304850.000000,12262175.000000
14回目,5258782.000000,13982727.000000,12311728.000000,12253477.000000
15回目,5257928.000000,14029590.000000,12333414.000000,12284045.000000
16回目,5236662.000000,13982778.000000,12333172.000000,12262175.000000
17回目,5225230.000000,13921084.000000,12302984.000000,12284045.000000
18回目,5263474.000000,13974039.000000,12344214.000000,12295547.000000
19回目,5226748.000000,13929625.000000,12314534.000000,12253477.000000
20回目,5226748.000000,13824613.000000,12314534.000000,12262175.000000
21回目,5225164.000000,13921084.000000,12333318.000000,12294557.000000
22回目,5225164.000000,13910828.000000,12331752.000000,12253477.000000
23回目,5226748.000000,13969317.000000,12333414.000000,12312823.000000
24回目,5226748.000000,13893192.000000,12290814.000000,12312823.000000
25回目,5236662.000000,13974039.000000,12303340.000000,12298905.000000
26回目,5257928.000000,14029590.000000,12287758.000000,12302647.000000
27回目,5223126.000000,13830317.000000,12317542.000000,12295703.000000
28回目,5263474.000000,13874074.000000,12316994.000000,12253477.000000
29回目,5223126.000000,13825273.000000,12299344.000000,12262175.000000
30回目,5257928.000000,13824613.000000,12267224.000000,12298905.000000
31回目,5231356.000000,13871676.000000,12330978.000000,12262175.000000
32回目,5223126.000000,13913766.000000,12337392.000000,12302647.000000
33回目,5263474.000000,13927227.000000,12292838.000000,12295703.000000
34回目,5225164.000000,13918488.000000,12322044.000000,12280057.000000
35回目,5225230.000000,13948743.000000,12386352.000000,12280057.000000
36回目,5226268.000000,13850671.000000,12310318.000000,12294557.000000
37回目,5231356.000000,13804531.000000,12349092.000000,12280057.000000
38回目,5223126.000000,13891212.000000,12327882.000000,12284897.000000
39回目,5263474.000000,13938535.000000,12279110.000000,12312823.000000
40回目,5223126.000000,13918488.000000,12305132.000000,12295703.000000
41回目,5225164.000000,13927176.000000,12326524.000000,12302647.000000
42回目,5263474.000000,13830317.000000,12316962.000000,12295547.000000
43回目,5225164.000000,13882984.000000,12315720.000000,12253477.000000
44回目,5223126.000000,13891212.000000,12327620.000000,12295703.000000
45回目,5235236.000000,13966379.000000,12337424.000000,12312823.000000
46回目,5225164.000000,13913766.000000,12329550.000000,12280057.000000
47回目,5235236.000000,13871676.000000,12292580.000000,12312823.000000
48回目,5225230.000000,13938535.000000,12303466.000000,12298905.000000
49回目,5235236.000000,13820417.000000,12331290.000000,12294557.000000
50回目,5235236.000000,13938535.000000,12318814.000000,12253477.000000
51回目,5258782.000000,13910828.000000,12307470.000000,12294557.000000
52回目,5263474.000000,13874074.000000,12317388.000000,12295703.000000
53回目,5257928.000000,13910828.000000,12341998.000000,12295703.000000
54回目,5225164.000000,13929625.000000,12322756.000000,12294557.000000
55回目,5226268.000000,13826843.000000,12320100.000000,12295547.000000
56回目,5257928.000000,13910828.000000,12331576.000000,12253477.000000
57回目,5226268.000000,13874074.000000,12285616.000000,12298905.000000
58回目,5258782.000000,13918488.000000,12308532.000000,12262175.000000
59回目,5258782.000000,13966379.000000,12341696.000000,12312823.000000
60回目,5258782.000000,13938535.000000,12310464.000000,12298905.000000
61回目,5226268.000000,13946763.000000,12307490.000000,12284045.000000
62回目,5223126.000000,13874074.000000,12294370.000000,12284045.000000
63回目,5231356.000000,13927227.000000,12310522.000000,12262175.000000
64回目,5235236.000000,13927176.000000,12303380.000000,12280057.000000
65回目,5258782.000000,13826843.000000,12320258.000000,12253477.000000
66回目,5226268.000000,14032186.000000,12301756.000000,12294557.000000
67回目,5226748.000000,13913766.000000,12311422.000000,12302647.000000
68回目,5235236.000000,13830317.000000,12269354.000000,12302647.000000
69回目,5223126.000000,13886795.000000,12330434.000000,12298905.000000
70回目,5226268.000000,13843343.000000,12303238.000000,12294557.000000
71回目,5236662.000000,13820417.000000,12297122.000000,12284045.000000
72回目,5231356.000000,13974039.000000,12338730.000000,12253477.000000
73回目,5226268.000000,13948743.000000,12299130.000000,12295703.000000
74回目,5226268.000000,13834275.000000,12328352.000000,12262175.000000
75回目,5231356.000000,13871676.000000,12303320.000000,12253477.000000
76回目,5226748.000000,13929625.000000,12308600.000000,12302647.000000
77回目,5226268.000000,13830317.000000,12345878.000000,12280057.000000
78回目,5226268.000000,13882984.000000,12391778.000000,12298905.000000
79回目,5258782.000000,13820417.000000,12327288.000000,12295703.000000
80回目,5236662.000000,13938535.000000,12324244.000000,12295703.000000
81回目,5225164.000000,13918488.000000,12315804.000000,12262175.000000
82回目,5263474.000000,13852923.000000,12285914.000000,12284045.000000
83回目,5258782.000000,13910828.000000,12301744.000000,12284897.000000
84回目,5225230.000000,13830317.000000,12309426.000000,12312823.000000
85回目,5226268.000000,13918488.000000,12326246.000000,12295703.000000
86回目,5235236.000000,13913766.000000,12347002.000000,12284045.000000
87回目,5257928.000000,13918488.000000,12278836.000000,12294557.000000
88回目,5258782.000000,13927176.000000,12329968.000000,12284897.000000
89回目,5226268.000000,13927227.000000,12279572.000000,12294557.000000
90回目,5225230.000000,14024868.000000,12326182.000000,12284045.000000
