PDR,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,82.214800,86.912800,87.919500,87.248300
2回目,82.885900,88.926200,87.919500,87.583900
3回目,83.221500,87.248300,89.261700,86.577200
4回目,81.543600,88.590600,85.234900,86.912800
5回目,82.550300,87.248300,86.577200,89.261700
6回目,84.563800,87.583900,85.570500,87.248300
7回目,83.501700,88.926200,86.241600,86.577200
8回目,81.543600,88.590600,89.932900,86.577200
9回目,81.543600,86.577200,87.583900,87.248300
10回目,84.563800,86.912800,86.241600,86.577200
11回目,82.885900,87.919500,88.926200,88.590600
12回目,82.550300,88.255000,86.577200,86.577200
13回目,82.885900,88.926200,88.215500,88.888900
14回目,82.885900,87.205400,86.577200,89.261700
15回目,82.885900,86.577200,84.899300,86.241600
16回目,82.214800,87.919500,85.906000,88.888900
17回目,85.570500,86.912800,87.205400,86.241600
18回目,82.550300,86.577200,86.241600,86.577200
19回目,83.221500,88.926200,90.268500,89.261700
20回目,83.221500,88.590600,90.268500,88.888900
21回目,83.501700,86.912800,84.228200,86.577200
22回目,83.501700,86.912800,85.906000,89.261700
23回目,83.221500,87.583900,84.899300,86.577200
24回目,83.221500,88.926200,86.241600,86.577200
25回目,82.214800,86.577200,85.906000,87.248300
26回目,82.885900,86.577200,88.255000,87.248300
27回目,82.214800,88.926200,86.241600,86.912800
28回目,82.550300,88.926200,86.910600,89.261700
29回目,82.214800,88.926200,86.912800,88.888900
30回目,82.885900,88.590600,87.878800,87.248300
31回目,81.543600,87.919500,85.234900,88.888900
32回目,82.214800,87.583900,85.234900,87.248300
33回目,82.550300,87.919500,86.912800,86.912800
34回目,83.501700,86.577200,87.919500,88.590600
35回目,85.570500,88.926200,86.241600,88.590600
36回目,84.228200,88.590600,87.919500,86.577200
37回目,81.543600,90.268500,85.570500,88.590600
38回目,82.214800,88.255000,87.919500,87.583900
39回目,82.550300,88.590600,90.604000,86.577200
40回目,82.214800,86.577200,88.926200,86.912800
41回目,83.501700,87.205400,87.919500,87.248300
42回目,82.550300,88.926200,85.570500,86.577200
43回目,83.501700,88.590600,86.577200,89.261700
44回目,82.214800,88.255000,87.919500,86.912800
45回目,84.563800,86.912800,84.899300,86.577200
46回目,83.501700,87.583900,85.906000,88.590600
47回目,84.563800,87.919500,88.926200,86.577200
48回目,85.570500,88.590600,87.248300,87.248300
49回目,84.563800,87.919500,87.248300,86.577200
50回目,84.563800,88.590600,85.906000,89.261700
51回目,82.885900,86.912800,85.906000,86.577200
52回目,82.550300,88.926200,87.248300,86.912800
53回目,82.885900,86.912800,85.570500,86.912800
54回目,83.501700,88.926200,87.248300,86.577200
55回目,84.228200,88.255000,85.906000,86.577200
56回目,82.885900,86.912800,86.195300,89.261700
57回目,84.228200,88.926200,88.552200,87.248300
58回目,82.885900,86.577200,86.912800,88.888900
59回目,82.885900,86.912800,84.563800,86.577200
60回目,82.885900,88.590600,85.906000,87.248300
61回目,84.228200,88.255000,85.234900,86.241600
62回目,82.214800,88.926200,85.906000,86.241600
63回目,81.543600,87.919500,86.241600,88.888900
64回目,84.563800,87.205400,86.912800,88.590600
65回目,82.885900,88.255000,84.899300,89.261700
66回目,84.228200,86.912800,86.577200,86.577200
67回目,83.221500,87.583900,85.906000,87.248300
68回目,84.563800,88.926200,88.215500,87.248300
69回目,82.214800,85.234900,86.912800,87.248300
70回目,84.228200,87.248300,87.583900,86.577200
71回目,82.214800,87.919500,86.912800,86.241600
72回目,81.543600,86.577200,85.234900,89.261700
73回目,84.228200,88.926200,86.912800,86.912800
74回目,84.228200,87.248300,85.906000,88.888900
75回目,81.543600,87.919500,86.577200,89.261700
76回目,83.221500,88.926200,86.912800,87.248300
77回目,84.228200,88.926200,86.912800,88.590600
78回目,84.228200,88.590600,85.234900,87.248300
79回目,82.885900,87.919500,85.570500,86.912800
80回目,82.214800,88.590600,86.577200,86.912800
81回目,83.501700,86.577200,86.577200,88.888900
82回目,82.550300,84.848500,87.919500,86.241600
83回目,82.885900,86.912800,89.597300,87.583900
84回目,85.570500,88.926200,86.241600,86.577200
85回目,84.228200,86.577200,85.234900,86.912800
86回目,84.563800,87.583900,85.234900,86.241600
87回目,82.885900,86.577200,88.255000,86.577200
88回目,82.885900,87.205400,87.919500,87.583900
89回目,84.228200,87.919500,88.255000,86.577200
90回目,85.570500,87.583900,85.234900,86.241600
91回目,81.543600,86.912800,84.899300,87.248300
92回目,82.885900,86.577200,88.255000,89.261700
93回目,83.501700,87.919500,86.241600,86.241600
94回目,83.501700,86.577200,91.610700,88.888900
95回目,82.550300,86.912800,84.228200,87.583900
96回目,83.501700,88.590600,86.912800,86.577200
97回目,83.221500,86.912800,86.241600,89.261700
98回目,82.214800,86.912800,87.583900,86.912800
99回目,83.221500,87.919500,90.268500,87.248300
100回目,82.550300,87.919500,90.268500,86.577200
101回目,82.885900,88.926200,86.241600,88.888900
102回目,82.885900,88.590600,85.234900,86.577200
103回目,83.501700,86.912800,86.241600,88.590600
104回目,82.214800,87.919500,87.919500,87.248300
105回目,83.221500,84.848500,86.912800,87.583900
106回目,83.501700,87.919500,85.906000,86.577200
107回目,82.885900,88.590600,85.906000,86.577200
108回目,84.563800,87.583900,86.241600,87.248300
109回目,84.563800,88.255000,87.919500,88.888900
