SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,346.197000,1904.250000,1322.950000,638.567000
2回目,347.310000,1907.240000,1330.740000,637.105000
3回目,350.167000,1897.460000,1323.900000,635.185000
4回目,343.911000,1896.800000,1320.650000,632.395000
5回目,345.383000,1906.200000,1323.630000,639.442000
6回目,346.153000,1943.980000,1324.660000,633.034000
7回目,348.590000,1915.980000,1325.080000,633.117000
8回目,346.707000,1915.500000,1334.600000,631.570000
9回目,342.765000,1948.510000,1329.420000,635.327000
10回目,345.463000,1917.990000,1319.600000,633.752000
11回目,346.847000,1912.020000,1322.340000,632.554000
12回目,352.159000,1913.110000,1327.240000,633.945000
13回目,352.712000,1897.830000,1321.040000,634.363000
14回目,344.312000,1897.360000,1325.160000,637.246000
15回目,353.212000,1899.200000,1327.820000,634.624000
16回目,344.471000,1914.050000,1324.140000,632.798000
17回目,343.293000,1898.850000,1323.870000,633.050000
18回目,345.991000,1910.500000,1323.730000,636.006000
19回目,346.119000,1902.350000,1323.540000,638.180000
20回目,343.378000,1902.420000,1328.780000,633.549000
21回目,342.969000,1902.690000,1327.300000,638.202000
22回目,341.740000,1906.550000,1328.600000,638.364000
23回目,344.030000,1893.030000,1322.540000,634.093000
24回目,341.992000,1903.670000,1322.900000,639.845000
25回目,350.050000,1910.890000,1324.210000,635.647000
26回目,349.967000,1916.620000,1326.540000,640.402000
27回目,341.805000,1913.130000,1322.710000,632.536000
28回目,347.710000,1910.160000,1325.100000,634.634000
29回目,345.219000,1915.770000,1324.970000,639.169000
30回目,348.560000,1913.550000,1322.610000,641.845000
31回目,341.693000,1904.100000,1325.570000,636.521000
32回目,347.052000,1895.660000,1324.580000,637.272000
33回目,341.552000,1905.320000,1322.150000,632.573000
34回目,341.521000,1913.030000,1323.770000,633.711000
35回目,346.247000,1914.380000,1326.670000,637.181000
36回目,347.091000,1916.660000,1323.370000,635.298000
37回目,345.939000,1931.390000,1326.630000,635.138000
38回目,347.856000,1901.710000,1334.020000,634.300000
39回目,345.688000,1897.090000,1323.710000,640.512000
40回目,344.263000,1899.100000,1324.480000,637.031000
41回目,341.192000,1884.870000,1321.600000,637.227000
42回目,345.183000,1919.290000,1328.070000,634.428000
43回目,345.097000,1896.060000,1325.330000,634.189000
44回目,345.517000,1911.240000,1329.810000,639.680000
45回目,343.307000,1903.830000,1319.060000,638.035000
46回目,344.224000,1912.160000,1333.640000,636.567000
47回目,343.432000,1911.620000,1328.860000,632.848000
48回目,345.134000,1920.980000,1324.050000,641.338000
49回目,342.024000,1916.210000,1322.580000,637.060000
50回目,343.322000,1908.810000,1326.640000,630.624000
51回目,346.081000,1900.530000,1323.630000,636.986000
52回目,348.290000,1912.390000,1330.230000,640.295000
53回目,347.852000,1899.130000,1322.930000,635.862000
54回目,345.752000,1887.900000,1332.080000,632.317000
55回目,344.044000,1911.010000,1327.970000,637.648000
56回目,344.131000,1916.490000,1328.160000,642.060000
57回目,349.087000,1915.510000,1330.220000,635.568000
58回目,347.132000,1895.290000,1326.610000,632.942000
59回目,343.451000,1894.440000,1331.630000,638.645000
60回目,344.267000,1912.060000,1316.410000,636.147000
61回目,345.983000,1897.530000,1322.140000,634.534000
62回目,342.791000,1898.390000,1323.210000,636.059000
63回目,342.853000,1912.180000,1325.410000,637.689000
64回目,349.084000,1890.520000,1322.510000,632.980000
65回目,343.427000,1903.160000,1325.920000,637.909000
66回目,345.937000,1907.580000,1325.780000,639.221000
67回目,341.869000,1907.580000,1327.530000,643.607000
68回目,344.147000,1905.120000,1321.020000,635.634000
69回目,347.943000,1899.950000,1322.770000,637.392000
