Memory,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,70880.000000,72004.000000,93572.000000,80384.000000
2回目,70944.000000,72064.000000,93756.000000,80232.000000
3回目,71100.000000,71840.000000,93668.000000,80416.000000
4回目,70784.000000,71724.000000,93556.000000,80700.000000
5回目,70944.000000,72192.000000,93876.000000,80784.000000
6回目,70752.000000,72000.000000,93968.000000,80620.000000
7回目,71032.000000,72200.000000,93872.000000,80532.000000
8回目,71300.000000,71700.000000,93540.000000,80868.000000
9回目,70884.000000,72064.000000,93856.000000,80420.000000
10回目,70912.000000,72380.000000,93832.000000,80696.000000
11回目,70764.000000,72200.000000,93832.000000,80676.000000
12回目,70764.000000,72040.000000,94092.000000,80912.000000
13回目,70912.000000,72108.000000,93900.000000,80616.000000
14回目,70904.000000,71992.000000,93552.000000,80712.000000
15回目,71060.000000,72060.000000,93408.000000,80864.000000
16回目,70772.000000,72204.000000,93980.000000,80796.000000
17回目,70996.000000,71980.000000,93632.000000,80760.000000
18回目,71104.000000,71992.000000,93488.000000,80532.000000
19回目,70608.000000,72088.000000,93940.000000,80800.000000
20回目,70560.000000,72368.000000,93396.000000,80668.000000
21回目,70796.000000,72124.000000,93608.000000,80544.000000
22回目,71280.000000,71808.000000,93968.000000,80728.000000
23回目,71204.000000,71872.000000,93256.000000,80860.000000
24回目,70580.000000,71728.000000,93764.000000,80920.000000
25回目,71204.000000,72088.000000,93916.000000,80460.000000
26回目,70752.000000,72048.000000,93872.000000,80796.000000
27回目,70768.000000,71804.000000,93532.000000,80212.000000
28回目,70944.000000,71840.000000,93704.000000,80888.000000
29回目,70916.000000,72020.000000,93444.000000,80648.000000
30回目,71088.000000,71708.000000,93576.000000,80664.000000
31回目,70788.000000,72248.000000,93868.000000,80832.000000
32回目,71092.000000,72004.000000,93772.000000,80516.000000
33回目,71028.000000,72112.000000,93900.000000,80860.000000
34回目,71032.000000,71976.000000,93900.000000,80436.000000
35回目,70568.000000,72192.000000,93636.000000,80680.000000
36回目,70768.000000,72380.000000,93864.000000,80552.000000
37回目,71064.000000,71876.000000,93908.000000,80728.000000
38回目,70872.000000,72248.000000,93988.000000,80724.000000
39回目,71304.000000,72344.000000,93864.000000,80912.000000
40回目,71104.000000,72224.000000,93900.000000,80764.000000
41回目,70756.000000,72004.000000,93252.000000,80832.000000
42回目,70604.000000,72252.000000,93800.000000,80416.000000
43回目,70608.000000,72348.000000,93600.000000,80512.000000
44回目,70908.000000,72112.000000,93640.000000,80876.000000
45回目,70948.000000,72092.000000,93856.000000,80860.000000
46回目,71080.000000,71692.000000,93892.000000,80196.000000
47回目,70996.000000,72196.000000,93920.000000,80772.000000
48回目,70800.000000,71696.000000,93564.000000,80832.000000
49回目,70576.000000,72060.000000,93596.000000,80624.000000
50回目,70816.000000,72108.000000,93688.000000,80540.000000
51回目,70908.000000,72248.000000,93560.000000,80792.000000
52回目,71104.000000,71840.000000,93916.000000,80744.000000
53回目,70748.000000,71736.000000,93720.000000,80408.000000
54回目,71044.000000,71812.000000,93576.000000,80544.000000
55回目,70616.000000,71724.000000,93508.000000,80580.000000
56回目,70804.000000,71724.000000,93676.000000,80928.000000
57回目,71300.000000,72228.000000,93960.000000,80908.000000
58回目,71076.000000,72108.000000,93580.000000,80948.000000
59回目,71300.000000,72216.000000,93436.000000,80792.000000
60回目,70944.000000,72348.000000,93740.000000,80764.000000
61回目,71032.000000,72164.000000,93196.000000,80756.000000
62回目,71048.000000,72200.000000,93560.000000,80212.000000
63回目,71476.000000,71964.000000,93980.000000,80708.000000
64回目,71020.000000,71820.000000,93616.000000,80704.000000
65回目,70936.000000,72216.000000,93944.000000,80540.000000
66回目,70884.000000,71832.000000,93404.000000,80576.000000
67回目,70744.000000,71724.000000,93812.000000,79960.000000
68回目,71260.000000,72088.000000,93876.000000,80872.000000
69回目,70944.000000,72088.000000,93884.000000,80284.000000
70回目,71024.000000,71952.000000,93544.000000,80616.000000
71回目,71220.000000,71840.000000,93568.000000,80652.000000
72回目,71048.000000,71708.000000,93436.000000,80208.000000
73回目,70788.000000,71724.000000,93652.000000,80768.000000
74回目,70612.000000,72200.000000,93880.000000,80756.000000
75回目,70604.000000,72056.000000,93804.000000,80512.000000
76回目,70772.000000,72108.000000,93868.000000,80388.000000
77回目,71000.000000,72060.000000,93444.000000,80940.000000
78回目,71000.000000,71748.000000,93700.000000,80792.000000
79回目,70740.000000,72344.000000,93980.000000,80540.000000
80回目,71060.000000,72072.000000,93776.000000,80756.000000
81回目,71216.000000,72236.000000,93924.000000,80908.000000
82回目,71076.000000,72052.000000,93940.000000,80708.000000
83回目,71072.000000,72116.000000,93964.000000,80832.000000
84回目,70768.000000,71988.000000,93808.000000,80704.000000
85回目,71208.000000,72060.000000,93364.000000,80584.000000
86回目,71072.000000,71724.000000,93928.000000,80724.000000
87回目,71076.000000,71748.000000,93840.000000,80536.000000
88回目,71192.000000,71988.000000,93608.000000,80680.000000
89回目,71084.000000,71876.000000,93692.000000,80792.000000
90回目,71072.000000,72104.000000,93756.000000,80832.000000
91回目,71016.000000,72056.000000,93504.000000,80756.000000
92回目,71172.000000,71812.000000,93604.000000,80796.000000
93回目,71004.000000,72216.000000,93592.000000,80424.000000
94回目,70612.000000,71848.000000,93672.000000,80676.000000
95回目,70896.000000,72060.000000,93416.000000,80900.000000
96回目,70948.000000,71724.000000,93756.000000,80904.000000
97回目,70884.000000,71904.000000,94124.000000,80500.000000
98回目,70812.000000,72332.000000,93984.000000,80648.000000
99回目,71036.000000,71836.000000,93460.000000,80464.000000
100回目,70960.000000,72016.000000,93792.000000,80576.000000
101回目,70892.000000,72100.000000,93736.000000,80944.000000
102回目,70964.000000,71752.000000,94180.000000,80696.000000
103回目,70580.000000,72092.000000,93716.000000,80812.000000
104回目,71072.000000,72332.000000,93964.000000,80460.000000
105回目,70552.000000,71880.000000,93736.000000,80524.000000
106回目,70552.000000,71992.000000,93872.000000,80904.000000
107回目,70796.000000,72060.000000,93612.000000,80460.000000
108回目,71048.000000,71764.000000,93612.000000,80812.000000
109回目,70804.000000,72004.000000,93856.000000,80864.000000
110回目,71072.000000,72012.000000,93832.000000,80380.000000
111回目,70776.000000,72108.000000,93416.000000,80668.000000
112回目,70796.000000,72012.000000,93752.000000,80836.000000
113回目,70796.000000,71876.000000,93784.000000,80724.000000
114回目,70876.000000,72252.000000,93904.000000,80892.000000
115回目,70756.000000,72100.000000,93300.000000,80760.000000
116回目,71192.000000,71844.000000,94004.000000,80892.000000
117回目,70588.000000,72248.000000,93916.000000,80188.000000
118回目,70768.000000,72196.000000,93644.000000,80340.000000
119回目,70912.000000,72060.000000,93704.000000,80796.000000
120回目,70548.000000,71844.000000,94008.000000,80592.000000
121回目,71192.000000,72340.000000,93972.000000,80664.000000
122回目,71296.000000,71696.000000,93980.000000,80012.000000
123回目,70888.000000,72116.000000,93652.000000,80700.000000
124回目,70968.000000,71844.000000,94132.000000,80828.000000
125回目,71304.000000,72064.000000,93868.000000,80384.000000
126回目,71648.000000,72004.000000,93620.000000,80860.000000
127回目,71208.000000,72064.000000,93816.000000,80848.000000
128回目,70980.000000,72360.000000,93804.000000,80800.000000
129回目,71112.000000,71988.000000,93532.000000,80500.000000
130回目,71060.000000,72248.000000,93944.000000,80720.000000
131回目,70612.000000,71816.000000,93540.000000,80440.000000
132回目,71104.000000,72092.000000,93536.000000,80584.000000
133回目,70772.000000,72184.000000,93712.000000,80812.000000
134回目,71084.000000,71960.000000,93816.000000,80792.000000
135回目,70580.000000,72092.000000,93496.000000,80416.000000
136回目,70800.000000,71844.000000,93980.000000,80800.000000
137回目,70752.000000,72048.000000,93668.000000,80720.000000
138回目,70876.000000,71952.000000,93984.000000,80696.000000
139回目,70756.000000,71960.000000,93864.000000,80764.000000
140回目,70832.000000,71948.000000,93664.000000,80820.000000
141回目,71076.000000,72256.000000,93804.000000,80504.000000
142回目,70888.000000,71772.000000,93564.000000,80784.000000
143回目,70880.000000,71712.000000,93796.000000,80852.000000
144回目,71032.000000,72112.000000,93576.000000,80192.000000
145回目,71304.000000,72236.000000,93884.000000,80668.000000
146回目,71020.000000,71832.000000,93872.000000,80792.000000
147回目,71308.000000,71972.000000,93848.000000,80912.000000
148回目,71456.000000,72368.000000,93612.000000,80840.000000
149回目,71024.000000,72216.000000,93884.000000,80756.000000
150回目,71204.000000,71840.000000,93908.000000,80464.000000
151回目,70996.000000,72348.000000,93592.000000,80696.000000
152回目,70788.000000,71960.000000,93564.000000,80544.000000
153回目,70800.000000,71960.000000,93568.000000,80916.000000
154回目,71056.000000,72020.000000,94008.000000,80580.000000
155回目,70924.000000,72092.000000,93568.000000,80600.000000
156回目,71304.000000,72268.000000,93788.000000,80888.000000
157回目,70748.000000,71816.000000,93836.000000,80696.000000
158回目,71076.000000,72344.000000,93596.000000,80884.000000
159回目,71052.000000,72004.000000,93580.000000,80556.000000
160回目,71048.000000,72060.000000,93700.000000,80564.000000
161回目,70580.000000,71872.000000,93372.000000,80536.000000
162回目,70612.000000,72108.000000,93880.000000,80732.000000
163回目,70944.000000,71808.000000,93604.000000,80752.000000
164回目,70888.000000,72224.000000,94092.000000,80864.000000
165回目,71292.000000,71840.000000,93604.000000,80832.000000
166回目,71372.000000,71864.000000,93844.000000,80332.000000
167回目,71300.000000,71828.000000,94004.000000,80728.000000
168回目,71292.000000,72080.000000,93476.000000,80696.000000
169回目,70552.000000,72088.000000,93476.000000,80580.000000
170回目,70796.000000,72016.000000,93640.000000,80572.000000
171回目,70840.000000,71924.000000,93572.000000,80388.000000
172回目,70608.000000,71880.000000,93664.000000,80432.000000
173回目,70880.000000,72104.000000,93652.000000,80216.000000
174回目,70608.000000,71752.000000,93956.000000,80852.000000
175回目,70920.000000,72016.000000,93836.000000,80840.000000
176回目,70912.000000,72340.000000,93720.000000,80528.000000
177回目,70856.000000,71812.000000,93876.000000,80208.000000
178回目,71040.000000,71832.000000,93932.000000,80552.000000
