SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,14.292900,70.246200,54.719400,24.476700
2回目,14.404800,70.709700,55.093600,24.233100
3回目,14.080600,69.814100,55.266500,24.593500
4回目,14.439500,70.281600,54.503900,24.075000
5回目,13.929100,70.235200,54.995400,24.645800
6回目,14.309600,71.053500,55.047700,24.326300
7回目,14.005500,69.433200,55.298200,24.333700
8回目,14.183500,70.243700,54.259500,24.606500
9回目,13.963900,70.003200,54.926500,24.384300
10回目,14.107400,72.616800,55.253900,24.322000
11回目,14.304900,69.535200,54.750100,24.034500
12回目,14.324000,69.892400,55.046800,24.625600
13回目,14.317300,70.230200,54.908900,24.577000
14回目,14.403000,70.206100,54.275200,24.213100
15回目,14.298000,69.023700,55.037400,24.699400
16回目,14.033200,70.106600,55.197500,23.780100
17回目,14.301900,69.690500,55.283600,24.405400
18回目,14.077600,69.596700,55.191100,24.324400
19回目,14.026900,69.852800,54.956500,24.258100
20回目,14.068800,70.755800,55.288700,24.517700
21回目,14.085100,70.432200,54.731400,24.285300
22回目,14.023600,69.736000,54.962800,24.270400
23回目,13.862700,69.589300,55.346000,24.302300
24回目,14.188600,69.500800,54.667600,24.324100
25回目,14.350900,69.856300,55.092500,24.481100
26回目,14.343900,69.787400,54.947700,24.342800
27回目,13.936700,69.830300,55.013900,24.415000
28回目,14.368700,70.458100,55.330400,24.316000
29回目,14.391200,70.187700,55.086700,24.045300
30回目,14.317600,70.224100,54.640000,24.530300
31回目,14.349100,70.041000,54.784100,24.496300
32回目,14.228700,69.143500,54.473000,24.218100
33回目,14.362700,70.450200,55.133300,24.752700
34回目,14.394600,70.417900,54.270200,24.329200
35回目,13.697600,69.644400,55.062400,24.428800
36回目,14.330000,68.998000,54.689100,24.705800
37回目,14.206400,68.922500,55.298300,24.328500
38回目,13.866100,71.060200,55.040400,24.686300
39回目,14.035100,70.099700,54.716500,24.051700
40回目,14.405600,69.438100,55.036200,24.432200
41回目,14.520700,72.963400,55.116700,24.367600
42回目,14.380000,68.968100,54.707900,24.576100
43回目,14.251400,70.490200,54.123200,24.434200
44回目,13.946800,70.410000,54.850100,24.485300
45回目,14.160800,69.619900,55.164800,24.267400
46回目,14.329100,68.984700,55.197600,24.363000
47回目,13.954500,69.253100,55.363100,24.316100
48回目,14.072500,69.918600,54.224600,24.581600
49回目,13.858900,69.437100,54.886900,24.459700
50回目,14.087100,68.946200,55.170300,25.443800
51回目,14.079800,69.819300,55.246600,25.372300
52回目,14.321100,69.527000,55.282700,25.062200
53回目,14.326400,70.152700,54.636700,24.731700
54回目,14.288400,69.717500,55.030100,24.639200
55回目,13.909300,72.090100,54.379800,24.501200
56回目,14.318200,69.657100,55.170000,24.214700
57回目,14.055600,69.810700,55.074200,24.223000
58回目,14.288800,69.978900,55.247700,23.975600
59回目,13.657400,70.048600,54.596400,24.583200
60回目,14.563200,72.815700,55.236600,24.646400
61回目,14.302900,69.341600,55.220900,24.751400
62回目,13.931300,70.150900,54.696400,24.635900
63回目,14.158700,69.520500,55.221800,24.806300
64回目,14.135000,69.697100,55.610700,24.535000
65回目,14.391600,70.896100,54.746000,24.420200
66回目,14.277700,70.105800,54.879700,24.190100
67回目,14.030800,70.155600,55.293900,24.359700
68回目,14.396600,69.200900,55.304400,24.236700
69回目,13.984900,69.478100,55.179300,24.287100
70回目,13.808000,70.815800,55.321300,24.662100
71回目,13.956300,69.560400,55.823500,24.372800
72回目,14.691000,69.671300,55.269400,24.219100
73回目,13.957200,69.041400,55.186000,24.262100
74回目,14.211500,70.113700,55.271700,24.562900
75回目,13.988600,70.717000,55.140800,24.559500
76回目,14.201400,68.652700,55.233900,24.208000
77回目,14.391300,69.471500,55.353500,24.536300
78回目,14.190500,69.889700,55.256300,24.261300
79回目,14.313600,69.362700,55.208100,24.415900
80回目,14.041400,71.253600,55.236000,24.190200
81回目,14.037400,72.723700,55.121800,24.133700
82回目,14.117700,70.182600,54.901200,24.664700
83回目,14.152000,70.379700,54.203800,24.449800
84回目,14.118000,70.495200,55.255800,24.512600
85回目,14.037200,70.727400,55.145700,24.302600
86回目,14.292400,70.521700,55.300400,24.593000
87回目,14.421400,69.091800,55.226400,24.135500
88回目,14.346300,69.546500,55.185100,24.450500
89回目,14.167000,70.041300,55.065200,24.206100
90回目,14.161400,70.520100,54.352300,24.595200
91回目,14.063400,70.696600,55.177500,24.240200
92回目,14.469300,69.953300,55.182800,24.530800
93回目,14.204700,68.882100,55.272100,24.445000
94回目,14.208400,70.354600,55.105300,24.632700
95回目,14.154300,69.356300,54.662600,24.556600
96回目,14.106300,69.947700,54.572900,24.362600
97回目,14.333100,69.136700,54.278500,24.218100
98回目,14.480900,70.259300,54.712200,24.144000
99回目,14.206700,70.860600,54.763400,24.559800
100回目,14.209500,69.743500,55.100000,24.513600
101回目,14.481600,71.970700,54.219900,24.656700
102回目,14.211500,69.957200,54.785100,24.515000
103回目,14.124300,70.423400,55.111400,24.356300
104回目,14.470100,69.879100,55.331500,24.327400
105回目,14.132100,70.272200,55.316700,24.249100
106回目,13.890100,70.254000,55.009700,24.752300
107回目,14.140400,69.755900,55.036900,24.011600
108回目,13.888000,69.896900,54.578800,24.467700
109回目,14.339700,69.784400,55.288900,24.262200
110回目,14.482100,69.987000,55.146900,24.608400
111回目,14.127300,70.337500,54.817100,24.042400
112回目,14.095400,69.066600,55.124200,24.090200
113回目,14.156900,69.399700,54.396700,24.267900
114回目,14.215500,70.170100,55.190100,24.295100
115回目,14.125100,70.413500,54.231600,24.310400
116回目,13.855100,70.463700,55.019100,24.229200
117回目,14.298300,70.195900,54.360300,24.507600
118回目,13.722400,69.675800,54.562700,23.972700
119回目,14.333900,69.829000,55.219400,24.358500
120回目,14.247000,70.174600,54.930800,24.577800
121回目,14.186800,72.331500,54.848100,24.903100
122回目,14.181600,70.564700,54.851400,24.486700
123回目,14.202300,69.810100,55.233500,24.301100
124回目,13.684900,69.719700,54.752000,23.816400
125回目,14.104200,68.640200,55.354000,24.399600
126回目,14.158800,69.940900,55.210000,24.278100
127回目,14.020300,69.539100,55.515000,24.130200
128回目,14.244800,69.827000,54.443700,24.387000
129回目,14.226300,69.580600,55.180600,24.613300
