HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,2.200850,2.263360,2.260540,2.284130
2回目,2.170510,2.278810,2.256700,2.259400
3回目,2.197370,2.279850,2.269960,2.279250
4回目,2.246860,2.291670,2.288970,2.261720
5回目,2.217020,2.283090,2.277990,2.259400
6回目,2.243900,2.278810,2.271700,2.279250
7回目,2.243900,2.291670,2.310760,2.265380
8回目,2.243900,2.278810,2.285710,2.287360
9回目,2.217020,2.291670,2.288460,2.265380
10回目,2.217020,2.281950,2.277150,2.290080
11回目,2.200850,2.284130,2.282440,2.279250
12回目,2.246860,2.280300,2.272060,2.271380
13回目,2.246860,2.291970,2.279250,2.283520
14回目,2.200850,2.281950,2.252870,2.279250
15回目,2.215520,2.291670,2.264370,2.284130
16回目,2.229440,2.268940,2.277150,2.279250
17回目,2.197370,2.291670,2.266160,2.284130
18回目,2.243800,2.281950,2.287880,2.284130
19回目,2.246860,2.263360,2.254830,2.265380
20回目,2.200850,2.283090,2.275860,2.293890
21回目,2.243900,2.270680,2.281370,2.279250
22回目,2.246860,2.291670,2.275470,2.259400
23回目,2.243800,2.263360,2.268660,2.265380
24回目,2.229440,2.277990,2.269960,2.293890
25回目,2.215520,2.277990,2.273080,2.261720
26回目,2.200850,2.288390,2.264370,2.271380
27回目,2.200850,2.291670,2.276920,2.272030
28回目,2.243800,2.268940,2.199170,2.287360
29回目,2.243900,2.263360,2.269960,2.259400
30回目,2.197370,2.280300,2.291190,2.259400
31回目,2.246860,2.275470,2.259540,2.283520
32回目,2.243900,2.277570,2.269960,2.265380
33回目,2.195650,2.277570,2.276520,2.283520
34回目,2.243900,2.288390,2.289060,2.279250
35回目,2.202640,2.288390,2.272060,2.261720
36回目,2.243900,2.280300,2.264370,2.272030
37回目,2.195650,2.275470,2.274130,2.259400
38回目,2.246860,2.284130,2.277570,2.271380
39回目,2.243900,2.279850,2.271650,2.261720
40回目,2.217020,2.289960,2.264930,2.272030
41回目,2.202640,2.275470,2.267440,2.287360
42回目,2.195650,2.281950,2.273080,2.290080
43回目,2.202640,2.283090,2.252920,2.283520
44回目,2.229440,2.268940,2.265380,2.293890
45回目,2.246860,2.288390,2.267180,2.261720
46回目,2.200850,2.275470,2.274810,2.287360
47回目,2.246860,2.278810,2.277570,2.284130
48回目,2.215520,2.278810,2.271320,2.287360
49回目,2.170510,2.276520,2.265680,2.271380
50回目,2.246860,2.283090,2.292130,2.259400
51回目,2.246860,2.275470,2.261540,2.293890
52回目,2.246860,2.291670,2.257940,2.293890
53回目,2.170510,2.275470,2.274810,2.265380
