Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,2815402.000000,6123448.000000,5528221.000000,5443008.000000
2回目,2760098.000000,6150856.000000,5476855.000000,5449292.000000
3回目,2671024.000000,6075838.000000,5530933.000000,5493368.000000
4回目,2738900.000000,6132762.000000,5513389.000000,5532040.000000
5回目,2843768.000000,6120472.000000,5529405.000000,5449292.000000
6回目,2694090.000000,6106452.000000,5512451.000000,5493368.000000
7回目,2694090.000000,6141116.000000,5549677.000000,5541380.000000
8回目,2694090.000000,6106452.000000,5536497.000000,5497290.000000
9回目,2843768.000000,6163318.000000,5538227.000000,5541380.000000
10回目,2843768.000000,6133094.000000,5468453.000000,5497354.000000
11回目,2815402.000000,6102012.000000,5516933.000000,5493368.000000
12回目,2738900.000000,6163072.000000,5467199.000000,5469000.000000
13回目,2738900.000000,6104296.000000,5457583.000000,5472448.000000
14回目,2815402.000000,6110892.000000,5542895.000000,5493368.000000
15回目,2693120.000000,6141116.000000,5537203.000000,5443008.000000
16回目,2769676.000000,6112018.000000,5532983.000000,5493368.000000
17回目,2671024.000000,6163318.000000,5476543.000000,5443008.000000
18回目,2818348.000000,6155296.000000,5513307.000000,5443008.000000
19回目,2738900.000000,6123448.000000,5488231.000000,5541380.000000
20回目,2815402.000000,6120472.000000,5495631.000000,5495460.000000
21回目,2694090.000000,6116994.000000,5517691.000000,5493368.000000
22回目,2738900.000000,6132762.000000,5515499.000000,5449292.000000
23回目,2818348.000000,6145650.000000,5489899.000000,5541380.000000
24回目,2769676.000000,6114718.000000,5509035.000000,5495460.000000
25回目,2693120.000000,6114718.000000,5532207.000000,5532040.000000
26回目,2815402.000000,6179570.000000,5487987.000000,5469000.000000
27回目,2815402.000000,6154964.000000,5525793.000000,5516036.000000
28回目,2818348.000000,6134220.000000,5478347.000000,5497290.000000
29回目,2694090.000000,6123448.000000,5489033.000000,5449292.000000
30回目,2671024.000000,6163072.000000,5547435.000000,5449292.000000
31回目,2738900.000000,6149976.000000,5542519.000000,5472448.000000
32回目,2694090.000000,6123090.000000,5526237.000000,5541380.000000
33回目,2826040.000000,6123090.000000,5478669.000000,5472448.000000
34回目,2694090.000000,6157368.000000,5558019.000000,5493368.000000
35回目,2756014.000000,6112964.000000,5486589.000000,5532040.000000
36回目,2694090.000000,6163072.000000,5522973.000000,5516036.000000
37回目,2826040.000000,6172178.000000,5526069.000000,5449292.000000
38回目,2738900.000000,6124214.000000,5518889.000000,5469000.000000
39回目,2694090.000000,6075838.000000,5535717.000000,5532040.000000
40回目,2843768.000000,6105188.000000,5518007.000000,5516036.000000
41回目,2756014.000000,6127774.000000,5523635.000000,5497290.000000
42回目,2826040.000000,6110892.000000,5513349.000000,5497354.000000
43回目,2756014.000000,6120472.000000,5509501.000000,5472448.000000
44回目,2769676.000000,6134220.000000,5507095.000000,5495460.000000
45回目,2738900.000000,6112964.000000,5511505.000000,5532040.000000
46回目,2815402.000000,6149976.000000,5502431.000000,5497290.000000
47回目,2738900.000000,6106452.000000,5523527.000000,5443008.000000
48回目,2693120.000000,6106452.000000,5524733.000000,5497290.000000
49回目,2760098.000000,6076860.000000,5486147.000000,5469000.000000
50回目,2738900.000000,6120472.000000,5479125.000000,5449292.000000
51回目,2738900.000000,6127774.000000,5521643.000000,5495460.000000
52回目,2738900.000000,6199368.000000,5559147.000000,5495460.000000
53回目,2760098.000000,6127774.000000,5558523.000000,5541380.000000
54回目,2693120.000000,6140870.000000,5467641.000000,5495460.000000
55回目,2760098.000000,6116994.000000,5471057.000000,5497290.000000
56回目,2738900.000000,6106452.000000,5486017.000000,5497354.000000
57回目,2694090.000000,6124214.000000,5512713.000000,5495460.000000
58回目,2843768.000000,6105188.000000,5690987.000000,5532040.000000
59回目,2671024.000000,6102012.000000,5509003.000000,5541380.000000
60回目,2671024.000000,6112964.000000,5484047.000000,5516036.000000
61回目,2769676.000000,6135166.000000,5468273.000000,5541380.000000
62回目,2826040.000000,6141116.000000,5536247.000000,5495460.000000
63回目,2815402.000000,6142674.000000,5509795.000000,5493368.000000
64回目,2769676.000000,6135166.000000,5484751.000000,5541380.000000
65回目,2843768.000000,6128654.000000,5515869.000000,5495460.000000
66回目,2693120.000000,6140870.000000,5526397.000000,5497354.000000
67回目,2760098.000000,6112018.000000,5516881.000000,5449292.000000
68回目,2760098.000000,6120472.000000,5499421.000000,5443008.000000
69回目,2694090.000000,6087426.000000,5493431.000000,5472448.000000
70回目,2818348.000000,6135166.000000,5498359.000000,5472448.000000
71回目,2694090.000000,6076860.000000,5526047.000000,5516036.000000
72回目,2694090.000000,6123448.000000,5515161.000000,5469000.000000
73回目,2769676.000000,6123448.000000,5506899.000000,5541380.000000
74回目,2760098.000000,6142674.000000,5511313.000000,5443008.000000
75回目,2693120.000000,6156422.000000,5505933.000000,5449292.000000
76回目,2738900.000000,6123090.000000,5506421.000000,5449292.000000
77回目,2818348.000000,6119068.000000,5446219.000000,5443008.000000
78回目,2843768.000000,6080648.000000,5561157.000000,5532040.000000
79回目,2815402.000000,6119068.000000,5450735.000000,5469000.000000
80回目,2694090.000000,6154964.000000,5470673.000000,5469000.000000
81回目,2738900.000000,6112964.000000,5481343.000000,5516036.000000
82回目,2694090.000000,6078354.000000,5540133.000000,5516036.000000
83回目,2769676.000000,6076860.000000,5545351.000000,5495460.000000
84回目,2769676.000000,6116994.000000,5510959.000000,5541380.000000
85回目,2671024.000000,6163318.000000,5492113.000000,5495460.000000
86回目,2818348.000000,6185274.000000,5529313.000000,5516036.000000
87回目,2756014.000000,6110892.000000,5527061.000000,5497354.000000
88回目,2769676.000000,6116994.000000,5614583.000000,5472448.000000
89回目,2738900.000000,6112964.000000,5535123.000000,5497290.000000
90回目,2756014.000000,6146416.000000,5520211.000000,5532040.000000
91回目,2818348.000000,6076860.000000,5551899.000000,5493368.000000
92回目,2693120.000000,6154964.000000,5530373.000000,5497354.000000
93回目,2818348.000000,6116994.000000,5501015.000000,5497354.000000
94回目,2815402.000000,6106452.000000,5477683.000000,5516036.000000
95回目,2738900.000000,6185520.000000,5539321.000000,5497290.000000
96回目,2760098.000000,6135166.000000,5501299.000000,5532040.000000
97回目,2843768.000000,6150856.000000,5499429.000000,5495460.000000
98回目,2815402.000000,6128654.000000,5514483.000000,5472448.000000
99回目,2769676.000000,6098270.000000,5458603.000000,5532040.000000
100回目,2756014.000000,6140870.000000,5544585.000000,5532040.000000
101回目,2694090.000000,6132762.000000,5501317.000000,5469000.000000
102回目,2826040.000000,6119068.000000,5504839.000000,5497354.000000
103回目,2694090.000000,6132762.000000,5493377.000000,5443008.000000
104回目,2671024.000000,6112018.000000,5509017.000000,5449292.000000
105回目,2756014.000000,6105188.000000,5488265.000000,5532040.000000
106回目,2826040.000000,6098270.000000,5555423.000000,5497354.000000
107回目,2818348.000000,6080648.000000,5481213.000000,5469000.000000
108回目,2671024.000000,6167852.000000,5524433.000000,5541380.000000
109回目,2693120.000000,6098270.000000,5496705.000000,5497290.000000
110回目,2756014.000000,6116994.000000,5498681.000000,5541380.000000
111回目,2843768.000000,6078354.000000,5524973.000000,5541380.000000
112回目,2769676.000000,6114718.000000,5462547.000000,5449292.000000
113回目,2738900.000000,6185274.000000,5520153.000000,5472448.000000
114回目,2818348.000000,6140870.000000,5493969.000000,5532040.000000
115回目,2693120.000000,6119068.000000,5592119.000000,5469000.000000
116回目,2826040.000000,6120472.000000,5516597.000000,5469000.000000
117回目,2815402.000000,6140870.000000,5532137.000000,5532040.000000
118回目,2815402.000000,6102012.000000,5459129.000000,5541380.000000
119回目,2826040.000000,6128654.000000,5548077.000000,5495460.000000
120回目,2818348.000000,6128654.000000,5502739.000000,5493368.000000
121回目,2818348.000000,6149976.000000,5524703.000000,5469000.000000
122回目,2693120.000000,6102012.000000,5527251.000000,5516036.000000
123回目,2769676.000000,6075838.000000,5532433.000000,5497354.000000
124回目,2815402.000000,6167852.000000,5494753.000000,5516036.000000
125回目,2818348.000000,6123090.000000,5459105.000000,5541380.000000
126回目,2738900.000000,6110892.000000,5531989.000000,5532040.000000
127回目,2738900.000000,6163072.000000,5534573.000000,5493368.000000
128回目,2769676.000000,6132762.000000,5464051.000000,5443008.000000
129回目,2843768.000000,6104296.000000,5502309.000000,5443008.000000
130回目,2738900.000000,6185520.000000,5468727.000000,5497354.000000
131回目,2818348.000000,6163072.000000,5493083.000000,5495460.000000
132回目,2760098.000000,6123448.000000,5526453.000000,5532040.000000
133回目,2769676.000000,6080648.000000,5494765.000000,5495460.000000
134回目,2818348.000000,6133094.000000,5527919.000000,5469000.000000
135回目,2738900.000000,6149976.000000,5552399.000000,5541380.000000
136回目,2738900.000000,6128654.000000,5505741.000000,5497290.000000
137回目,2815402.000000,6078354.000000,5510469.000000,5532040.000000
