Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,6.830680,7.622330,7.593210,7.937610
2回目,6.313150,7.825970,7.593230,7.738690
3回目,6.633170,7.796860,7.651420,7.709580
4回目,6.953190,7.706460,7.651370,7.472930
5回目,6.836820,7.913250,7.535040,7.738690
6回目,7.156730,7.825970,7.709540,7.709580
7回目,7.156730,7.680490,7.302300,7.564110
8回目,7.156730,7.825970,7.535000,7.593230
9回目,6.836820,7.680490,7.564140,7.564110
10回目,6.836820,7.738690,7.767790,7.622330
11回目,6.830680,7.884130,7.622280,7.709580
12回目,6.953190,7.680510,7.913190,7.825980
13回目,6.953190,7.971440,7.735650,7.593230
14回目,6.830680,7.738690,7.593230,7.709580
15回目,6.749520,7.680490,7.593230,7.937610
16回目,6.720420,7.680510,7.767770,7.709580
17回目,6.633170,7.680490,7.651350,7.937610
18回目,7.040470,7.738690,7.680510,7.937610
19回目,6.953190,7.622330,7.535050,7.564110
20回目,6.830680,7.913250,7.618890,7.622330
21回目,7.156730,7.738690,7.651390,7.709580
22回目,6.953190,7.706460,7.709580,7.738690
23回目,7.040470,7.622330,7.796880,7.564110
24回目,6.720420,7.535040,7.651420,7.622330
25回目,6.749520,7.535040,7.564140,7.472930
26回目,6.830680,7.767790,7.593240,7.825980
27回目,6.830680,7.706460,7.564140,7.593230
28回目,7.040470,7.680510,7.011370,7.593230
29回目,7.156730,7.622330,7.651420,7.738690
30回目,6.633170,7.680510,7.593210,7.738690
31回目,6.953190,7.709550,7.622320,7.593230
32回目,7.156730,7.651360,7.651420,7.564110
33回目,6.691360,7.651360,7.680510,7.593230
34回目,7.156730,7.767790,7.447770,7.709580
35回目,6.604070,7.767790,7.913250,7.472930
36回目,7.156730,7.680510,7.593230,7.593230
37回目,6.691360,7.709550,7.535040,7.738690
38回目,6.953190,7.884130,7.651320,7.825980
39回目,7.156730,7.796860,7.389560,7.472930
40回目,6.836820,7.825940,7.796830,7.593230
41回目,6.604070,7.709550,7.505950,7.593230
42回目,6.691360,7.738690,7.564140,7.622330
43回目,6.604070,7.913250,7.476840,7.593230
44回目,6.720420,7.680510,7.589670,7.622330
45回目,6.953190,7.767790,7.622310,7.472930
46回目,6.830680,7.709550,7.622320,7.593230
47回目,6.953190,7.825970,7.651390,7.937610
