Delay,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,2.149240,2.679510,7.089770,0.000000
2回目,2.535790,6.839820,2.281160,0.000000
3回目,10.780800,2.555720,11.738900,0.000000
4回目,28.301800,2.281060,2.385310,0.000000
5回目,19.335300,6.937660,11.834300,0.000000
6回目,19.335300,2.288720,25.209500,0.000000
7回目,10.576300,2.331200,9.945340,0.000000
8回目,10.576300,2.281060,11.927000,0.000000
9回目,19.842900,2.281060,7.030740,0.000000
10回目,10.911300,9.228660,2.330560,0.000000
11回目,19.842900,7.001790,7.719810,0.000000
12回目,10.780800,2.267910,7.014890,0.000000
13回目,10.961300,6.839820,2.229210,0.000000
14回目,11.127700,2.346930,21.343600,0.000000
15回目,10.961300,11.250700,2.356710,0.000000
16回目,10.576300,2.346930,21.168100,0.000000
17回目,10.858900,2.512860,2.374880,0.000000
18回目,10.911300,2.281060,16.077400,0.000000
19回目,19.842900,7.001790,7.626780,0.000000
20回目,2.149240,6.839820,2.211310,0.000000
21回目,10.576300,2.679540,7.205520,0.000000
22回目,2.149240,2.575100,2.244830,0.000000
23回目,10.576300,6.937660,11.665700,0.000000
24回目,2.535790,6.839820,6.998720,0.000000
25回目,2.149240,9.228660,6.873380,0.000000
26回目,10.780800,12.396500,7.175500,0.000000
27回目,19.335300,11.250700,6.785620,0.000000
28回目,10.780800,2.281060,6.866510,0.000000
29回目,10.858900,2.202940,2.227180,0.000000
30回目,2.149240,2.346930,6.828750,0.000000
31回目,10.780800,7.001790,11.614700,0.000000
32回目,2.149240,2.281060,2.599360,0.000000
33回目,10.911300,2.380440,9.871560,0.000000
34回目,2.149240,2.202940,6.973360,0.000000
35回目,10.576300,2.251480,6.998450,0.000000
36回目,2.535790,2.679510,25.434700,0.000000
37回目,10.576300,2.267950,9.801460,0.000000
38回目,10.780800,9.228660,2.229380,0.000000
39回目,19.335300,2.346930,13.584600,0.000000
40回目,10.780800,6.839820,9.852510,0.000000
41回目,19.335300,2.679540,6.931320,0.000000
42回目,2.149240,2.555720,11.898700,0.000000
43回目,10.961300,2.267950,9.160640,0.000000
44回目,19.842900,9.106080,7.234080,0.000000
45回目,19.335300,6.937660,2.466020,0.000000
46回目,10.961300,2.267950,2.180190,0.000000
47回目,10.576300,2.267950,6.863650,0.000000
48回目,10.961300,2.288720,2.562110,0.000000
49回目,10.780800,2.679510,2.192160,0.000000
50回目,28.301800,2.512860,7.010220,0.000000
51回目,11.127700,2.555720,2.209790,0.000000
52回目,28.301800,2.288720,2.096870,0.000000
53回目,10.961300,2.346930,7.548610,0.000000
54回目,11.127700,2.281060,21.411700,0.000000
55回目,10.858900,7.308070,21.070900,0.000000
56回目,11.127700,2.281060,20.992700,0.000000
57回目,10.961300,2.555720,6.975980,0.000000
58回目,10.911300,9.228660,7.440020,0.000000
59回目,19.335300,2.679510,6.871080,0.000000
60回目,10.576300,2.281060,6.973240,0.000000
61回目,10.576300,7.001790,2.317170,0.000000
62回目,2.535790,2.346930,7.186880,0.000000
63回目,10.780800,2.251480,2.215490,0.000000
