GenerateSignatureTime,NPGPSR,NDGPSR
1回目,373.947000,31.391100
2回目,369.963000,31.328400
3回目,371.288000,31.426800
4回目,369.357000,31.397800
5回目,368.568000,32.301700
6回目,367.768000,31.225100
7回目,371.917000,31.233900
8回目,370.492000,31.207300
9回目,369.629000,31.514000
10回目,370.133000,31.403900
11回目,367.304000,31.362400
12回目,369.681000,31.474100
13回目,371.438000,31.318800
14回目,371.130000,31.424200
15回目,366.704000,31.558400
16回目,371.830000,31.087800
17回目,371.952000,31.232500
18回目,371.477000,30.942500
19回目,367.187000,31.176800
20回目,369.506000,31.170900
21回目,371.508000,31.293800
22回目,373.196000,31.457000
23回目,366.494000,31.323400
24回目,372.169000,31.303100
25回目,375.719000,31.386800
26回目,375.108000,31.339700
27回目,372.034000,31.549100
28回目,368.406000,31.631900
29回目,371.561000,31.213600
30回目,366.547000,31.414300
31回目,372.258000,31.472600
32回目,369.699000,31.471200
33回目,370.586000,31.025200
34回目,373.172000,31.621900
35回目,371.428000,30.953400
36回目,373.880000,31.538200
37回目,369.329000,31.147800
38回目,365.955000,31.545800
39回目,374.499000,31.017300
40回目,373.262000,31.100300
41回目,367.996000,31.458000
42回目,369.974000,31.548100
43回目,367.835000,31.200200
44回目,371.951000,31.201600
45回目,370.562000,31.227300
46回目,367.583000,31.277500
47回目,371.196000,31.519200
48回目,366.088000,31.370900
49回目,367.805000,31.252800
50回目,371.361000,31.315600
51回目,376.090000,31.437400
52回目,374.754000,31.099600
53回目,373.058000,31.390300
54回目,370.532000,31.449000
55回目,366.857000,31.314700
56回目,374.888000,31.254600
57回目,369.792000,31.405300
58回目,372.066000,31.288800
59回目,376.261000,31.483100
60回目,372.407000,31.574900
61回目,370.408000,31.393400
62回目,374.080000,31.529000
63回目,367.563000,31.300200
64回目,371.587000,31.331700
65回目,375.776000,31.544400
66回目,374.911000,31.327800
67回目,375.163000,31.169200
68回目,369.020000,31.589000
69回目,373.403000,31.214000
70回目,372.799000,31.273200
71回目,375.784000,31.239700
72回目,368.304000,31.474100
73回目,368.440000,31.555100
74回目,367.730000,31.500000
75回目,368.629000,31.793500
76回目,370.275000,31.329000
77回目,371.317000,31.301000
78回目,371.679000,31.403600
79回目,369.239000,30.933400
80回目,371.844000,31.605000
81回目,376.102000,31.476800
82回目,371.060000,31.532900
83回目,369.862000,31.008600
84回目,370.970000,31.110200
85回目,367.780000,31.614700
86回目,367.966000,31.500100
87回目,371.618000,31.489800
88回目,374.405000,31.176400
89回目,367.549000,31.216900
90回目,369.345000,31.183700
91回目,370.148000,31.289900
92回目,369.979000,31.107900
93回目,370.612000,31.244400
94回目,368.113000,31.344300
95回目,368.536000,31.582700
96回目,371.304000,31.071700
97回目,370.294000,31.410000
98回目,373.660000,31.465300
99回目,369.363000,30.878600
100回目,371.632000,31.501700
101回目,374.230000,31.460300
102回目,371.396000,31.403000
103回目,369.026000,30.826000
104回目,369.597000,31.262100
105回目,368.333000,31.348600
106回目,370.803000,31.266900
107回目,370.185000,31.393500
108回目,369.835000,31.128900
109回目,370.515000,31.721800
110回目,368.034000,31.051900
111回目,374.575000,31.583200
112回目,378.363000,31.430100
113回目,371.583000,31.327200
114回目,371.177000,31.509800
115回目,371.186000,31.060300
116回目,370.679000,31.430600
117回目,375.153000,31.455300
118回目,368.599000,31.311700
119回目,370.627000,31.436700
120回目,371.386000,30.828800
121回目,371.473000,31.342700
122回目,370.751000,31.671000
123回目,370.568000,31.571000
124回目,371.114000,31.418600
125回目,372.729000,31.319000
126回目,371.362000,31.153300
127回目,375.920000,31.113500
128回目,367.360000,31.727900
129回目,367.536000,31.377900
130回目,370.193000,31.119100
131回目,369.624000,31.270300
132回目,369.407000,31.611100
133回目,372.719000,31.503900
134回目,371.199000,31.304200
135回目,374.741000,31.198900
136回目,371.561000,31.572400
137回目,367.267000,31.289300
138回目,369.506000,31.423100
139回目,369.594000,31.464300
140回目,374.508000,31.404300
141回目,372.441000,31.285800
142回目,368.984000,30.887600
143回目,371.264000,31.080700
144回目,377.058000,31.530300
145回目,375.909000,31.014600
146回目,375.986000,31.290300
