Loss,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,52.016100,11.290300,14.112900,0.000000
2回目,48.790300,9.677420,8.906880,0.000000
3回目,51.612900,19.838100,13.360300,0.000000
4回目,53.225800,10.080600,10.887100,0.000000
5回目,52.016100,12.500000,12.903200,0.000000
6回目,52.016100,12.903200,11.693500,0.000000
7回目,50.000000,14.112900,20.161300,0.000000
8回目,50.000000,10.080600,14.112900,0.000000
9回目,53.629000,10.080600,12.096800,0.000000
10回目,50.806500,11.290300,10.080600,0.000000
11回目,53.629000,10.483900,20.967700,0.000000
12回目,51.612900,10.483900,11.336000,0.000000
13回目,52.016100,9.677420,11.693500,0.000000
14回目,52.822600,10.887100,14.112900,0.000000
15回目,52.016100,8.467740,13.306500,0.000000
16回目,50.000000,10.887100,12.903200,0.000000
17回目,51.821900,12.903200,12.145700,0.000000
18回目,50.806500,10.080600,11.740900,0.000000
19回目,53.629000,10.483900,21.774200,0.000000
20回目,52.016100,9.677420,12.500000,0.000000
21回目,50.000000,11.290300,12.096800,0.000000
22回目,52.016100,9.677420,11.693500,0.000000
23回目,50.000000,12.500000,13.709700,0.000000
24回目,48.790300,9.677420,12.500000,0.000000
25回目,52.016100,11.290300,10.887100,0.000000
26回目,51.612900,19.354800,10.931200,0.000000
27回目,52.016100,8.467740,13.306500,0.000000
28回目,51.612900,10.080600,12.096800,0.000000
29回目,51.821900,12.096800,12.550600,0.000000
30回目,52.016100,10.887100,12.903200,0.000000
31回目,51.612900,10.483900,11.336000,0.000000
32回目,52.016100,10.080600,10.121500,0.000000
33回目,50.806500,9.274190,20.564500,0.000000
34回目,52.016100,12.096800,12.500000,0.000000
35回目,50.000000,13.709700,11.693500,0.000000
36回目,48.790300,11.290300,11.693500,0.000000
37回目,50.000000,10.483900,20.161300,0.000000
38回目,51.612900,11.290300,11.693500,0.000000
39回目,52.016100,10.887100,10.887100,0.000000
40回目,51.612900,9.677420,20.161300,0.000000
41回目,52.016100,11.290300,11.693500,0.000000
42回目,52.016100,19.838100,12.903200,0.000000
43回目,52.016100,10.483900,9.274190,0.000000
44回目,53.629000,9.677420,13.306500,0.000000
45回目,52.016100,12.500000,14.112900,0.000000
46回目,52.016100,10.483900,12.903200,0.000000
47回目,50.000000,10.483900,13.709700,0.000000
48回目,52.016100,12.903200,10.483900,0.000000
49回目,51.612900,11.290300,13.765200,0.000000
50回目,53.225800,12.903200,10.121500,0.000000
51回目,52.822600,19.838100,14.112900,0.000000
52回目,53.225800,12.903200,23.790300,0.000000
53回目,52.016100,10.887100,20.967700,0.000000
54回目,52.822600,10.080600,14.112900,0.000000
55回目,51.821900,18.623500,12.500000,0.000000
56回目,52.822600,10.080600,12.096800,0.000000
57回目,52.016100,19.838100,11.290300,0.000000
58回目,50.806500,11.290300,22.983900,0.000000
59回目,52.016100,11.290300,10.887100,0.000000
60回目,50.000000,10.080600,14.112900,0.000000
61回目,50.000000,10.483900,14.112900,0.000000
62回目,48.790300,10.887100,14.112900,0.000000
63回目,51.612900,13.709700,12.955500,0.000000
64回目,50.000000,9.677420,14.112900,0.000000
65回目,53.225800,10.080600,11.693500,0.000000
66回目,52.822600,12.903200,11.693500,0.000000
67回目,53.225800,9.677420,13.709700,0.000000
68回目,50.000000,8.467740,13.306500,0.000000
69回目,52.016100,9.677420,20.242900,0.000000
70回目,50.000000,12.903200,20.161300,0.000000
71回目,51.612900,11.290300,13.306500,0.000000
72回目,48.790300,10.887100,12.903200,0.000000
73回目,53.629000,10.080600,12.096800,0.000000
74回目,52.822600,19.354800,13.709700,0.000000
75回目,52.016100,9.274190,12.500000,0.000000
76回目,53.225800,19.838100,11.693500,0.000000
77回目,50.000000,10.080600,12.955500,0.000000
78回目,53.629000,12.500000,12.096800,0.000000
79回目,53.225800,11.290300,11.740900,0.000000
80回目,52.822600,12.903200,13.306500,0.000000
81回目,52.822600,12.500000,10.483900,0.000000
82回目,48.790300,9.274190,11.290300,0.000000
83回目,53.629000,10.483900,11.693500,0.000000
84回目,52.016100,11.693500,8.467740,0.000000
85回目,48.790300,9.677420,12.500000,0.000000
86回目,48.790300,9.274190,12.096800,0.000000
87回目,53.225800,10.483900,10.080600,0.000000
88回目,51.612900,14.112900,12.903200,0.000000
89回目,51.821900,10.887100,12.903200,0.000000
90回目,50.806500,9.677420,12.500000,0.000000
91回目,52.822600,10.483900,14.919400,0.000000
92回目,48.790300,19.838100,14.112900,0.000000
93回目,51.612900,10.887100,11.693500,0.000000
94回目,51.821900,10.483900,12.500000,0.000000
95回目,52.016100,9.274190,19.758100,0.000000
96回目,52.016100,11.290300,12.500000,0.000000
97回目,51.821900,12.500000,11.693500,0.000000
98回目,51.821900,11.290300,12.096800,0.000000
99回目,50.806500,10.483900,14.516100,0.000000
100回目,50.000000,18.623500,14.574900,0.000000
101回目,48.790300,10.483900,12.903200,0.000000
102回目,50.806500,11.290300,18.145200,0.000000
103回目,53.225800,9.677420,9.677420,0.000000
104回目,53.225800,11.290300,20.564500,0.000000
105回目,50.000000,12.500000,14.112900,0.000000
106回目,52.016100,12.500000,10.887100,0.000000
107回目,53.629000,19.838100,10.483900,0.000000
108回目,52.016100,10.887100,13.306500,0.000000
109回目,50.806500,10.483900,12.096800,0.000000
110回目,52.016100,9.274190,14.516100,0.000000
111回目,52.016100,10.887100,10.483900,0.000000
112回目,53.629000,8.467740,12.096800,0.000000
113回目,52.822600,12.903200,20.161300,0.000000
114回目,50.806500,14.112900,13.709700,0.000000
115回目,53.225800,19.354800,11.693500,0.000000
116回目,51.821900,8.467740,18.951600,0.000000
117回目,52.016100,9.677420,15.725800,0.000000
118回目,52.822600,10.483900,18.951600,0.000000
119回目,53.225800,9.677420,15.322600,0.000000
120回目,52.822600,12.500000,12.500000,0.000000
121回目,52.822600,19.354800,10.887100,0.000000
122回目,52.016100,14.112900,12.096800,0.000000
123回目,48.790300,14.112900,9.677420,0.000000
124回目,48.790300,12.096800,11.693500,0.000000
125回目,52.016100,19.838100,12.903200,0.000000
126回目,50.806500,19.354800,10.887100,0.000000
127回目,53.225800,9.274190,12.903200,0.000000
128回目,48.790300,12.903200,11.693500,0.000000
129回目,53.225800,9.677420,12.096800,0.000000
130回目,51.612900,12.903200,12.903200,0.000000
131回目,53.225800,10.080600,12.903200,0.000000
132回目,52.016100,11.693500,10.526300,0.000000
133回目,52.016100,12.903200,11.290300,0.000000
134回目,52.016100,10.483900,11.290300,0.000000
135回目,52.016100,12.903200,12.903200,0.000000
136回目,52.016100,9.677420,13.306500,0.000000
137回目,51.612900,9.677420,12.903200,0.000000
138回目,51.612900,11.290300,11.693500,0.000000
139回目,50.000000,10.887100,12.096800,0.000000
140回目,53.225800,11.290300,13.360300,0.000000
141回目,52.016100,9.677420,11.693500,0.000000
142回目,51.821900,10.887100,11.336000,0.000000
143回目,50.806500,9.677420,13.709700,0.000000
144回目,52.822600,8.467740,10.483900,0.000000
145回目,50.000000,11.290300,13.306500,0.000000
146回目,53.225800,10.483900,11.693500,0.000000
147回目,48.790300,12.903200,14.919400,0.000000
148回目,52.016100,10.483900,14.112900,0.000000
149回目,50.000000,11.290300,14.112900,0.000000
150回目,52.822600,11.693500,12.096800,0.000000
151回目,50.806500,11.290300,14.516100,0.000000
152回目,52.016100,9.677420,14.112900,0.000000
153回目,50.000000,10.483900,22.983900,0.000000
154回目,53.629000,19.838100,12.096800,0.000000
155回目,53.225800,13.709700,12.500000,0.000000
156回目,50.806500,10.080600,13.306500,0.000000
157回目,52.016100,14.112900,13.709700,0.000000
158回目,51.612900,9.274190,10.483900,0.000000
159回目,50.806500,9.274190,12.500000,0.000000
160回目,50.806500,19.838100,13.306500,0.000000
161回目,50.806500,11.290300,9.716600,0.000000
162回目,52.016100,11.290300,14.170000,0.000000
163回目,48.790300,11.290300,13.306500,0.000000
164回目,52.016100,9.677420,13.306500,0.000000
165回目,52.016100,12.500000,11.693500,0.000000
166回目,53.629000,9.274190,10.483900,0.000000
167回目,51.612900,9.274190,9.677420,0.000000
168回目,52.822600,18.623500,12.500000,0.000000
169回目,51.821900,11.290300,11.693500,0.000000
170回目,48.790300,10.483900,11.693500,0.000000
171回目,53.629000,12.903200,12.096800,0.000000
172回目,53.225800,10.080600,20.161300,0.000000
