Memory,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,73952.000000,74556.000000,146744.000000,0.000000
2回目,73840.000000,74424.000000,146668.000000,0.000000
3回目,73292.000000,74940.000000,147232.000000,0.000000
4回目,74368.000000,74948.000000,146848.000000,0.000000
5回目,73960.000000,74444.000000,147088.000000,0.000000
6回目,74332.000000,74228.000000,147356.000000,0.000000
7回目,73296.000000,74620.000000,146976.000000,0.000000
8回目,73600.000000,74916.000000,146992.000000,0.000000
9回目,73836.000000,74940.000000,147000.000000,0.000000
10回目,74044.000000,74484.000000,146788.000000,0.000000
11回目,73668.000000,74548.000000,146992.000000,0.000000
12回目,73880.000000,75124.000000,146604.000000,0.000000
13回目,73436.000000,74808.000000,147056.000000,0.000000
14回目,73652.000000,74916.000000,146940.000000,0.000000
15回目,73804.000000,74920.000000,147300.000000,0.000000
16回目,73588.000000,74256.000000,146948.000000,0.000000
17回目,73612.000000,74316.000000,146720.000000,0.000000
18回目,73628.000000,74944.000000,146832.000000,0.000000
19回目,73672.000000,74864.000000,147432.000000,0.000000
20回目,73884.000000,74808.000000,146860.000000,0.000000
21回目,73884.000000,74292.000000,147360.000000,0.000000
22回目,73408.000000,74316.000000,147268.000000,0.000000
23回目,73628.000000,74280.000000,146796.000000,0.000000
24回目,73676.000000,74528.000000,146912.000000,0.000000
25回目,73292.000000,74224.000000,147296.000000,0.000000
26回目,73700.000000,74688.000000,147324.000000,0.000000
27回目,73960.000000,74468.000000,147164.000000,0.000000
28回目,73668.000000,74788.000000,146988.000000,0.000000
29回目,73964.000000,74516.000000,147156.000000,0.000000
30回目,73964.000000,74536.000000,147012.000000,0.000000
31回目,74100.000000,74228.000000,146540.000000,0.000000
32回目,73756.000000,74692.000000,146660.000000,0.000000
33回目,73868.000000,74252.000000,146764.000000,0.000000
34回目,73612.000000,74356.000000,147192.000000,0.000000
35回目,74064.000000,74292.000000,147456.000000,0.000000
36回目,73712.000000,74844.000000,146924.000000,0.000000
37回目,73960.000000,74444.000000,147280.000000,0.000000
38回目,73700.000000,74688.000000,147300.000000,0.000000
39回目,74032.000000,74684.000000,147220.000000,0.000000
40回目,73840.000000,74228.000000,147048.000000,0.000000
41回目,73504.000000,75108.000000,146836.000000,0.000000
42回目,73412.000000,74680.000000,146976.000000,0.000000
43回目,73692.000000,74660.000000,146836.000000,0.000000
44回目,73912.000000,74424.000000,147224.000000,0.000000
45回目,73964.000000,74700.000000,146896.000000,0.000000
46回目,73644.000000,74724.000000,147220.000000,0.000000
47回目,74044.000000,74436.000000,146696.000000,0.000000
48回目,73876.000000,74948.000000,147284.000000,0.000000
49回目,73656.000000,74940.000000,146676.000000,0.000000
50回目,74032.000000,74372.000000,146676.000000,0.000000
51回目,73676.000000,74304.000000,146788.000000,0.000000
52回目,73856.000000,74680.000000,146916.000000,0.000000
53回目,73728.000000,74304.000000,146996.000000,0.000000
54回目,73864.000000,74292.000000,147068.000000,0.000000
55回目,73700.000000,74532.000000,146980.000000,0.000000
56回目,73568.000000,74508.000000,146780.000000,0.000000
57回目,73784.000000,75104.000000,146720.000000,0.000000
58回目,74048.000000,74748.000000,146592.000000,0.000000
59回目,73924.000000,74592.000000,147316.000000,0.000000
60回目,73836.000000,74700.000000,147200.000000,0.000000
61回目,73620.000000,74748.000000,146796.000000,0.000000
62回目,73784.000000,74692.000000,146816.000000,0.000000
63回目,73692.000000,74336.000000,146972.000000,0.000000
64回目,73600.000000,74700.000000,146972.000000,0.000000
65回目,73996.000000,74900.000000,146932.000000,0.000000
66回目,73944.000000,74512.000000,146968.000000,0.000000
67回目,73976.000000,74352.000000,146580.000000,0.000000
68回目,73616.000000,74628.000000,147424.000000,0.000000
69回目,73880.000000,74288.000000,147372.000000,0.000000
70回目,73660.000000,75100.000000,147024.000000,0.000000
71回目,73868.000000,74512.000000,147012.000000,0.000000
72回目,73956.000000,75104.000000,147096.000000,0.000000
73回目,73616.000000,74796.000000,146580.000000,0.000000
74回目,73612.000000,74312.000000,146892.000000,0.000000
75回目,73716.000000,74420.000000,146556.000000,0.000000
76回目,73864.000000,74476.000000,146824.000000,0.000000
77回目,73840.000000,74840.000000,147192.000000,0.000000
78回目,73584.000000,74940.000000,146944.000000,0.000000
79回目,73968.000000,74576.000000,147008.000000,0.000000
80回目,73592.000000,74684.000000,146732.000000,0.000000
81回目,73492.000000,74432.000000,147340.000000,0.000000
82回目,73280.000000,74636.000000,147064.000000,0.000000
83回目,73824.000000,74304.000000,146544.000000,0.000000
84回目,73832.000000,74492.000000,146652.000000,0.000000
85回目,73824.000000,74660.000000,146776.000000,0.000000
86回目,73676.000000,74444.000000,146980.000000,0.000000
87回目,74200.000000,74808.000000,146948.000000,0.000000
88回目,73276.000000,74532.000000,146864.000000,0.000000
89回目,73292.000000,74752.000000,147032.000000,0.000000
90回目,73940.000000,74852.000000,146808.000000,0.000000
91回目,73732.000000,74440.000000,146716.000000,0.000000
92回目,73680.000000,74496.000000,147388.000000,0.000000
93回目,73764.000000,74960.000000,147252.000000,0.000000
94回目,73608.000000,74704.000000,146708.000000,0.000000
95回目,73576.000000,74440.000000,146316.000000,0.000000
96回目,73912.000000,74744.000000,147080.000000,0.000000
97回目,73616.000000,74676.000000,147080.000000,0.000000
98回目,73560.000000,74256.000000,147044.000000,0.000000
99回目,73708.000000,74808.000000,146968.000000,0.000000
100回目,73984.000000,74492.000000,146960.000000,0.000000
101回目,73964.000000,74700.000000,147340.000000,0.000000
102回目,73268.000000,74960.000000,147316.000000,0.000000
103回目,73524.000000,74544.000000,146944.000000,0.000000
104回目,73996.000000,74704.000000,146912.000000,0.000000
