Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,2064381.000000,5222318.000000,4680400.000000,0.000000
2回目,2075941.000000,5430835.000000,4659680.000000,0.000000
3回目,2067357.000000,5078474.000000,4922102.000000,0.000000
4回目,2095441.000000,5260030.000000,4551146.000000,0.000000
5回目,2117277.000000,5341072.000000,5032404.000000,0.000000
6回目,2117277.000000,5353803.000000,4861968.000000,0.000000
7回目,2100669.000000,5228956.000000,4801796.000000,0.000000
8回目,2100669.000000,5296226.000000,4904812.000000,0.000000
9回目,2094475.000000,5278808.000000,4842706.000000,0.000000
10回目,2102175.000000,5279804.000000,4924016.000000,0.000000
11回目,2094475.000000,5131916.000000,4761988.000000,0.000000
12回目,2067357.000000,5189146.000000,4828400.000000,0.000000
13回目,2087609.000000,5394659.000000,4941172.000000,0.000000
14回目,2085657.000000,5358246.000000,4894822.000000,0.000000
15回目,2087609.000000,5099171.000000,5061956.000000,0.000000
16回目,2100669.000000,5340121.000000,4885344.000000,0.000000
17回目,2031931.000000,5203894.000000,4845332.000000,0.000000
18回目,2102175.000000,5314622.000000,4804812.000000,0.000000
19回目,2094475.000000,5131608.000000,4772826.000000,0.000000
20回目,2064381.000000,5394497.000000,4933592.000000,0.000000
21回目,2100669.000000,5241115.000000,4696872.000000,0.000000
22回目,2064381.000000,5314510.000000,4946798.000000,0.000000
23回目,2100669.000000,5322353.000000,4748484.000000,0.000000
24回目,2075941.000000,5394160.000000,4851042.000000,0.000000
25回目,2064381.000000,5298345.000000,4833338.000000,0.000000
26回目,2067357.000000,5105465.000000,4847144.000000,0.000000
27回目,2117277.000000,5100029.000000,4826182.000000,0.000000
28回目,2067357.000000,5296716.000000,4933744.000000,0.000000
29回目,2031931.000000,5254269.000000,4899288.000000,0.000000
30回目,2064381.000000,5358300.000000,4994574.000000,0.000000
31回目,2067357.000000,5131201.000000,4851300.000000,0.000000
32回目,2064381.000000,5279068.000000,4855334.000000,0.000000
33回目,2102175.000000,5249628.000000,4779380.000000,0.000000
34回目,2064381.000000,5254888.000000,4873430.000000,0.000000
35回目,2100669.000000,5391020.000000,4713356.000000,0.000000
36回目,2075941.000000,5222853.000000,4863390.000000,0.000000
37回目,2100669.000000,5225484.000000,4781198.000000,0.000000
38回目,2067357.000000,5279992.000000,4941172.000000,0.000000
39回目,2117277.000000,5340103.000000,4851300.000000,0.000000
40回目,2067357.000000,5394423.000000,4786378.000000,0.000000
41回目,2117277.000000,5240952.000000,4999698.000000,0.000000
42回目,2064381.000000,5077562.000000,4754672.000000,0.000000
43回目,2087609.000000,5207732.000000,4854712.000000,0.000000
44回目,2094475.000000,5246860.000000,4736688.000000,0.000000
45回目,2117277.000000,5340658.000000,4803872.000000,0.000000
46回目,2087609.000000,5207598.000000,4703054.000000,0.000000
47回目,2100669.000000,5225308.000000,5018994.000000,0.000000
48回目,2087609.000000,5353484.000000,4932174.000000,0.000000
49回目,2067357.000000,5222710.000000,4915074.000000,0.000000
50回目,2095441.000000,5204199.000000,4844940.000000,0.000000
51回目,2085657.000000,5077690.000000,4820044.000000,0.000000
52回目,2095441.000000,5353749.000000,4729878.000000,0.000000
53回目,2087609.000000,5322279.000000,4836746.000000,0.000000
54回目,2085657.000000,5278370.000000,4879460.000000,0.000000
55回目,2031931.000000,5032103.000000,4880740.000000,0.000000
56回目,2085657.000000,5278596.000000,4876006.000000,0.000000
57回目,2087609.000000,5096238.000000,5009696.000000,0.000000
58回目,2102175.000000,5280105.000000,4840584.000000,0.000000
59回目,2117277.000000,5223154.000000,4916298.000000,0.000000
60回目,2100669.000000,5261068.000000,4801072.000000,0.000000
61回目,2100669.000000,5149774.000000,4829224.000000,0.000000
62回目,2075941.000000,5322343.000000,4835668.000000,0.000000
63回目,2067357.000000,5390450.000000,4896952.000000,0.000000
64回目,2100669.000000,5394109.000000,4788504.000000,0.000000
65回目,2095441.000000,5278548.000000,4941424.000000,0.000000
66回目,2085657.000000,5335594.000000,4972476.000000,0.000000
67回目,2095441.000000,5412507.000000,4891296.000000,0.000000
68回目,2100669.000000,5099832.000000,4706462.000000,0.000000
69回目,2064381.000000,5394761.000000,4785970.000000,0.000000
70回目,2100669.000000,5354148.000000,4781198.000000,0.000000
71回目,2067357.000000,5222343.000000,4866826.000000,0.000000
72回目,2075941.000000,5322484.000000,4816276.000000,0.000000
73回目,2094475.000000,5260411.000000,5022036.000000,0.000000
74回目,2085657.000000,5105789.000000,4736946.000000,0.000000
75回目,2064381.000000,5250541.000000,4850432.000000,0.000000
76回目,2095441.000000,5113815.000000,4919706.000000,0.000000
77回目,2100669.000000,5279179.000000,4925172.000000,0.000000
78回目,2094475.000000,5354188.000000,4849954.000000,0.000000
79回目,2095441.000000,5298089.000000,4841354.000000,0.000000
80回目,2085657.000000,5204229.000000,4780120.000000,0.000000
81回目,2085657.000000,5340889.000000,4959482.000000,0.000000
82回目,2075941.000000,5250868.000000,4709270.000000,0.000000
83回目,2094475.000000,5131358.000000,4989760.000000,0.000000
84回目,2064381.000000,5316642.000000,4829478.000000,0.000000
85回目,2075941.000000,5314596.000000,4740710.000000,0.000000
86回目,2075941.000000,5268146.000000,4733980.000000,0.000000
87回目,2095441.000000,5167252.000000,4857710.000000,0.000000
88回目,2067357.000000,5228903.000000,4880680.000000,0.000000
89回目,2031931.000000,5340143.000000,4945410.000000,0.000000
90回目,2102175.000000,5246225.000000,4938758.000000,0.000000
91回目,2085657.000000,5189998.000000,4861910.000000,0.000000
92回目,2075941.000000,5096006.000000,5015990.000000,0.000000
93回目,2067357.000000,5340215.000000,4934208.000000,0.000000
94回目,2031931.000000,5149611.000000,4867562.000000,0.000000
95回目,2064381.000000,5250442.000000,4772530.000000,0.000000
96回目,2064381.000000,5222711.000000,4694920.000000,0.000000
97回目,2031931.000000,5353319.000000,4909046.000000,0.000000
98回目,2031931.000000,5298207.000000,4825398.000000,0.000000
99回目,2102175.000000,5132056.000000,4858832.000000,0.000000
100回目,2100669.000000,5031292.000000,4870772.000000,0.000000
101回目,2075941.000000,5189108.000000,4995092.000000,0.000000
102回目,2102175.000000,5223179.000000,4763094.000000,0.000000
103回目,2095441.000000,5394076.000000,4845056.000000,0.000000
