SimTime,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,41.538800,230.938000,175.389000,0.000000
2回目,40.888200,224.844000,175.239000,0.000000
3回目,40.745100,230.646000,176.051000,0.000000
4回目,40.381400,229.165000,175.215000,0.000000
5回目,41.008200,231.516000,176.797000,0.000000
6回目,41.914400,227.817000,174.173000,0.000000
7回目,41.116300,228.251000,178.139000,0.000000
8回目,41.694900,229.203000,175.729000,0.000000
9回目,40.950300,229.776000,174.960000,0.000000
10回目,40.851000,227.767000,175.349000,0.000000
11回目,41.214500,228.634000,174.169000,0.000000
12回目,41.563300,229.179000,174.608000,0.000000
13回目,41.644700,231.051000,176.147000,0.000000
14回目,40.971600,231.085000,176.399000,0.000000
15回目,41.938100,231.154000,174.107000,0.000000
16回目,41.920000,230.662000,176.564000,0.000000
17回目,40.947300,228.189000,176.331000,0.000000
18回目,41.061500,228.308000,176.297000,0.000000
19回目,41.014200,226.907000,173.591000,0.000000
20回目,41.089800,229.613000,175.105000,0.000000
21回目,40.691300,231.701000,176.048000,0.000000
22回目,41.050800,227.226000,175.961000,0.000000
23回目,41.299100,229.130000,173.617000,0.000000
24回目,41.392100,228.177000,174.417000,0.000000
25回目,40.957900,231.012000,176.297000,0.000000
26回目,42.510500,229.730000,176.078000,0.000000
27回目,41.346500,229.875000,175.594000,0.000000
28回目,41.927400,228.120000,177.247000,0.000000
29回目,41.401200,230.959000,175.636000,0.000000
30回目,40.938500,230.902000,174.545000,0.000000
31回目,41.210900,228.839000,174.395000,0.000000
32回目,41.373200,231.303000,176.744000,0.000000
33回目,41.272100,230.629000,175.574000,0.000000
34回目,41.078600,234.992000,174.485000,0.000000
35回目,41.295800,231.820000,176.777000,0.000000
36回目,42.120300,227.858000,175.014000,0.000000
37回目,41.531300,226.787000,175.121000,0.000000
38回目,41.487900,231.405000,173.981000,0.000000
39回目,41.611200,229.867000,175.797000,0.000000
40回目,41.401400,233.486000,175.127000,0.000000
41回目,41.332300,229.863000,175.070000,0.000000
42回目,41.460000,228.511000,176.969000,0.000000
43回目,41.379700,226.822000,175.294000,0.000000
44回目,41.364000,228.491000,176.130000,0.000000
45回目,41.272300,230.954000,176.550000,0.000000
46回目,41.447300,228.419000,174.391000,0.000000
47回目,41.017600,230.258000,175.933000,0.000000
48回目,40.871400,230.979000,173.709000,0.000000
49回目,41.066000,229.891000,174.328000,0.000000
50回目,41.255700,229.613000,176.461000,0.000000
51回目,42.052800,228.072000,176.759000,0.000000
52回目,41.223900,228.348000,175.249000,0.000000
53回目,40.981600,232.872000,175.248000,0.000000
54回目,41.258200,230.807000,175.874000,0.000000
55回目,41.451500,230.082000,175.491000,0.000000
56回目,40.753900,228.581000,176.015000,0.000000
57回目,41.488700,229.062000,175.643000,0.000000
58回目,41.229100,230.347000,178.323000,0.000000
59回目,41.547000,227.848000,176.692000,0.000000
60回目,41.302000,231.035000,175.070000,0.000000
61回目,41.108600,232.637000,175.670000,0.000000
62回目,40.997900,232.433000,175.939000,0.000000
63回目,40.953900,230.975000,176.087000,0.000000
64回目,41.324700,232.205000,177.595000,0.000000
65回目,40.892600,227.469000,176.988000,0.000000
66回目,40.593900,230.847000,177.276000,0.000000
67回目,41.429700,230.166000,176.887000,0.000000
68回目,41.474600,229.987000,174.451000,0.000000
69回目,41.081900,230.302000,175.400000,0.000000
70回目,41.386800,229.138000,174.881000,0.000000
71回目,40.912800,227.712000,176.144000,0.000000
72回目,41.006800,230.027000,175.310000,0.000000
73回目,41.432300,228.180000,176.572000,0.000000
74回目,41.794200,229.756000,175.555000,0.000000
75回目,41.173800,230.881000,176.107000,0.000000
76回目,40.858500,227.968000,176.136000,0.000000
77回目,40.738700,229.534000,177.494000,0.000000
78回目,40.290000,227.737000,176.471000,0.000000
79回目,40.452800,227.720000,174.958000,0.000000
80回目,40.973600,230.552000,177.708000,0.000000
81回目,40.692000,227.509000,176.479000,0.000000
82回目,41.223300,228.559000,175.407000,0.000000
