Throughput,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,4.162880,7.695300,7.451130,0.000000
2回目,4.442730,7.835740,7.902980,0.000000
3回目,4.162770,6.954320,7.516500,0.000000
4回目,4.057930,7.800700,7.730710,0.000000
5回目,4.162870,7.590880,7.555810,0.000000
6回目,4.162870,7.555830,7.660590,0.000000
7回目,4.320290,7.451190,6.926190,0.000000
8回目,4.320290,7.800700,7.416210,0.000000
9回目,4.022800,7.800700,7.625780,0.000000
10回目,4.267810,7.695830,7.801020,0.000000
11回目,4.022800,7.765510,6.856480,0.000000
12回目,4.162770,7.765730,7.692210,0.000000
13回目,4.162610,7.835740,7.661090,0.000000
14回目,4.092770,7.731050,7.451190,0.000000
15回目,4.162610,7.940600,7.521160,0.000000
16回目,4.320290,7.731050,7.555600,0.000000
17回目,4.179660,7.555620,7.621980,0.000000
18回目,4.267810,7.800700,7.657080,0.000000
19回目,4.022800,7.765510,6.786320,0.000000
20回目,4.162880,7.835740,7.591090,0.000000
21回目,4.320290,7.695300,7.626070,0.000000
22回目,4.162880,7.835740,7.660770,0.000000
23回目,4.320290,7.590880,7.481480,0.000000
24回目,4.442730,7.835740,7.590880,0.000000
25回目,4.162880,7.695830,7.730810,0.000000
26回目,4.162770,6.996080,7.726940,0.000000
27回目,4.162870,7.940600,7.520680,0.000000
28回目,4.162770,7.800700,7.626110,0.000000
29回目,4.179660,7.625800,7.586850,0.000000
30回目,4.162880,7.731050,7.555850,0.000000
31回目,4.162770,7.765510,7.692200,0.000000
32回目,4.162880,7.800700,7.797600,0.000000
33回目,4.267810,7.870740,6.891210,0.000000
34回目,4.162880,7.625800,7.586830,0.000000
35回目,4.320290,7.486170,7.660980,0.000000
36回目,4.442730,7.695300,7.661080,0.000000
37回目,4.320290,7.765730,6.926180,0.000000
38回目,4.162770,7.695830,7.661090,0.000000
39回目,4.162870,7.731050,7.730800,0.000000
40回目,4.162770,7.835740,6.926190,0.000000
41回目,4.162870,7.695300,7.660780,0.000000
42回目,4.162880,6.954320,7.551730,0.000000
43回目,4.162610,7.765730,7.870710,0.000000
44回目,4.022800,7.835500,7.520890,0.000000
45回目,4.162870,7.590880,7.450940,0.000000
46回目,4.162610,7.765730,7.555870,0.000000
47回目,4.320290,7.765730,7.485880,0.000000
48回目,4.162610,7.555830,7.766030,0.000000
49回目,4.162770,7.695300,7.481480,0.000000
50回目,4.057930,7.555620,7.797600,0.000000
51回目,4.092770,6.954320,7.450650,0.000000
52回目,4.057930,7.555830,6.611180,0.000000
53回目,4.162610,7.731050,6.856280,0.000000
54回目,4.092770,7.800700,7.450720,0.000000
55回目,4.179660,7.059960,7.590640,0.000000
56回目,4.092770,7.800700,7.626100,0.000000
57回目,4.162610,6.954320,7.695740,0.000000
58回目,4.267810,7.695830,6.681590,0.000000
59回目,4.162870,7.695300,7.731050,0.000000
60回目,4.320290,7.800700,7.450960,0.000000
61回目,4.320290,7.765510,7.450720,0.000000
62回目,4.442730,7.731050,7.450720,0.000000
63回目,4.162770,7.486170,7.551700,0.000000
64回目,4.320290,7.835740,7.450940,0.000000
65回目,4.057930,7.800700,7.661080,0.000000
66回目,4.092770,7.555830,7.657100,0.000000
67回目,4.057930,7.835740,7.485940,0.000000
68回目,4.320290,7.940600,7.520920,0.000000
69回目,4.162880,7.835740,6.919490,0.000000
70回目,4.320290,7.555830,6.926180,0.000000
71回目,4.162770,7.695300,7.520860,0.000000
72回目,4.442730,7.731050,7.555490,0.000000
73回目,4.022800,7.800700,7.626100,0.000000
74回目,4.092770,6.996080,7.485920,0.000000
75回目,4.162880,7.870740,7.586810,0.000000
76回目,4.057930,6.954320,7.660820,0.000000
77回目,4.320290,7.800700,7.551730,0.000000
78回目,4.022800,7.586860,7.626110,0.000000
79回目,4.057930,7.695830,7.657100,0.000000
80回目,4.092770,7.555620,7.521100,0.000000
81回目,4.092770,7.590880,7.765630,0.000000
82回目,4.442730,7.870740,7.695800,0.000000
83回目,4.022800,7.765510,7.660720,0.000000
84回目,4.162880,7.661090,7.940700,0.000000
85回目,4.442730,7.835740,7.591080,0.000000
86回目,4.442730,7.870740,7.625860,0.000000
87回目,4.057930,7.765510,7.800680,0.000000
88回目,4.162770,7.451190,7.555660,0.000000
89回目,4.179660,7.731050,7.555630,0.000000
90回目,4.267810,7.835500,7.590820,0.000000
91回目,4.092770,7.765730,7.380700,0.000000
92回目,4.442730,6.954320,7.450870,0.000000
93回目,4.162770,7.731050,7.660690,0.000000
94回目,4.179660,7.765510,7.590880,0.000000
95回目,4.162880,7.870740,6.926140,0.000000
96回目,4.162880,7.695300,7.590620,0.000000
97回目,4.179660,7.586860,7.660540,0.000000
98回目,4.179660,7.695830,7.590810,0.000000
99回目,4.267810,7.765510,7.415980,0.000000
100回目,4.320290,7.059960,7.411240,0.000000
101回目,4.442730,7.765730,7.555850,0.000000
102回目,4.267810,7.695300,7.100880,0.000000
103回目,4.057930,7.835740,7.835970,0.000000
104回目,4.057930,7.695300,6.891480,0.000000
105回目,4.320290,7.590880,7.451190,0.000000
106回目,4.162880,7.590880,7.730810,0.000000
107回目,4.022800,6.954320,7.765720,0.000000
108回目,4.162610,7.731050,7.520840,0.000000
109回目,4.267810,7.765730,7.625860,0.000000
110回目,4.162610,7.870740,7.415980,0.000000
111回目,4.162870,7.731050,7.766030,0.000000
112回目,4.022800,7.940600,7.626100,0.000000
113回目,4.092770,7.555830,6.926180,0.000000
114回目,4.267810,7.451190,7.485880,0.000000
115回目,4.057930,6.996080,7.660730,0.000000
116回目,4.179660,7.940600,7.031410,0.000000
117回目,4.162610,7.835740,7.305860,0.000000
118回目,4.092770,7.765730,7.031380,0.000000
119回目,4.057930,7.835500,7.345650,0.000000
120回目,4.092770,7.590880,7.590880,0.000000
121回目,4.092770,6.996080,7.730810,0.000000
122回目,4.162610,7.451190,7.626110,0.000000
123回目,4.442730,7.451190,7.835960,0.000000
124回目,4.442730,7.625800,7.661090,0.000000
125回目,4.162870,6.954320,7.555900,0.000000
126回目,4.267810,6.996080,7.730790,0.000000
127回目,4.057930,7.870740,7.556140,0.000000
128回目,4.442730,7.555620,7.660850,0.000000
129回目,4.057930,7.835740,7.625850,0.000000
130回目,4.162770,7.555830,7.556120,0.000000
131回目,4.057930,7.800700,7.556140,0.000000
132回目,4.162610,7.661090,7.762480,0.000000
133回目,4.162870,7.555830,7.695830,0.000000
134回目,4.162870,7.765510,7.695830,0.000000
135回目,4.162610,7.555830,7.556140,0.000000
136回目,4.162610,7.835740,7.520890,0.000000
137回目,4.162770,7.835740,7.556140,0.000000
138回目,4.162770,7.695830,7.660850,0.000000
139回目,4.320290,7.731050,7.625870,0.000000
140回目,4.057930,7.695300,7.516610,0.000000
141回目,4.162870,7.835740,7.660790,0.000000
142回目,4.179660,7.731050,7.692230,0.000000
143回目,4.267810,7.835740,7.486180,0.000000
144回目,4.092770,7.940600,7.766030,0.000000
145回目,4.320290,7.695830,7.520910,0.000000
146回目,4.057930,7.765510,7.660770,0.000000
147回目,4.442730,7.555830,7.380990,0.000000
148回目,4.162880,7.765730,7.450870,0.000000
149回目,4.320290,7.695300,7.450720,0.000000
150回目,4.092770,7.661090,7.625860,0.000000
151回目,4.267810,7.695830,7.415910,0.000000
152回目,4.162870,7.835740,7.450930,0.000000
153回目,4.320290,7.765730,6.681380,0.000000
154回目,4.022800,6.954320,7.625860,0.000000
155回目,4.057930,7.486170,7.591080,0.000000
156回目,4.267810,7.800700,7.520630,0.000000
157回目,4.162880,7.451190,7.485700,0.000000
158回目,4.162770,7.870740,7.762470,0.000000
159回目,4.267810,7.870740,7.590650,0.000000
160回目,4.267810,6.954320,7.520820,0.000000
161回目,4.267810,7.695300,7.832730,0.000000
162回目,4.162870,7.695830,7.446360,0.000000
163回目,4.442730,7.695300,7.520910,0.000000
164回目,4.162880,7.835740,7.521160,0.000000
165回目,4.162610,7.586860,7.660800,0.000000
166回目,4.022800,7.870740,7.766030,0.000000
167回目,4.162770,7.870740,7.832690,0.000000
168回目,4.092770,7.059960,7.591120,0.000000
169回目,4.179660,7.695300,7.661030,0.000000
170回目,4.442730,7.765730,7.660780,0.000000
171回目,4.022800,7.555620,7.626080,0.000000
172回目,4.057930,7.800700,6.926160,0.000000
173回目,4.162610,7.555830,7.380560,0.000000
174回目,4.162870,7.695300,7.485670,0.000000
175回目,4.022800,7.555830,7.695580,0.000000
176回目,4.092770,7.835740,7.516610,0.000000
177回目,4.442730,7.870740,7.730790,0.000000
178回目,4.162610,7.555830,7.520920,0.000000
179回目,4.267810,7.765510,7.520680,0.000000
180回目,4.057930,7.765510,7.311260,0.000000
181回目,4.057930,6.996080,7.520540,0.000000
182回目,4.092770,7.555620,7.485870,0.000000
183回目,4.057930,7.800700,7.766000,0.000000
184回目,4.092770,7.555830,6.716400,0.000000
185回目,4.092770,7.800700,7.555900,0.000000
186回目,4.162610,7.835740,7.695830,0.000000
187回目,4.320290,6.954320,7.660790,0.000000
188回目,4.162610,7.940600,7.555880,0.000000
189回目,4.057930,6.954320,7.797600,0.000000
190回目,4.162880,7.731050,7.381230,0.000000
191回目,4.057930,7.590880,7.660850,0.000000
192回目,4.092770,7.625800,6.681160,0.000000
193回目,4.162770,7.590880,7.551660,0.000000
194回目,4.057930,7.870740,7.696070,0.000000
195回目,4.442730,7.695830,6.926180,0.000000
196回目,4.162880,7.486170,7.346230,0.000000
197回目,4.179660,7.940600,7.586830,0.000000
198回目,4.267810,7.555830,7.661090,0.000000
199回目,4.162870,6.996080,7.521160,0.000000
200回目,4.320290,7.765730,6.821080,0.000000
201回目,4.162770,7.590880,7.625860,0.000000
202回目,4.162880,7.555830,7.625860,0.000000
203回目,4.162770,7.800700,7.555780,0.000000
204回目,4.022800,7.555830,7.415690,0.000000
205回目,4.442730,7.765730,6.821520,0.000000
206回目,4.267810,7.586860,7.556120,0.000000
207回目,4.162870,7.590880,7.446360,0.000000
208回目,4.179660,7.835740,6.611310,0.000000
209回目,4.179660,7.695300,7.556140,0.000000
210回目,4.162880,6.996080,7.660730,0.000000
211回目,4.320290,7.555830,7.730750,0.000000
212回目,4.022800,7.695300,7.451190,0.000000
213回目,4.057930,7.590880,7.451190,0.000000
214回目,4.179660,7.695300,7.555860,0.000000
215回目,4.162880,7.731050,7.555630,0.000000
216回目,4.267810,7.835740,7.661070,0.000000
217回目,4.179660,7.731050,7.485690,0.000000
218回目,4.267810,7.940600,6.856200,0.000000
219回目,4.179660,7.486170,7.591120,0.000000
220回目,4.162870,7.590880,7.446340,0.000000
221回目,4.162770,7.555830,7.695610,0.000000
222回目,4.092770,7.800700,7.520860,0.000000
223回目,4.320290,7.555830,7.591120,0.000000
224回目,4.162770,7.731050,7.450890,0.000000
225回目,4.162610,7.451190,6.996120,0.000000
226回目,4.057930,7.695830,7.485940,0.000000
227回目,4.162870,7.835740,7.485880,0.000000
228回目,4.057930,7.695830,7.696070,0.000000
229回目,4.179660,7.765510,7.660850,0.000000
230回目,4.442730,7.486170,7.415890,0.000000
231回目,4.162870,7.695830,7.555900,0.000000
232回目,4.022800,7.835740,7.660710,0.000000
233回目,4.179660,7.586860,6.779000,0.000000
234回目,4.022800,7.486170,7.555910,0.000000
235回目,4.022800,7.695830,7.730810,0.000000
236回目,4.162610,7.555830,7.832710,0.000000
237回目,4.179660,7.695300,7.521100,0.000000
238回目,4.162880,7.695300,7.591120,0.000000
239回目,4.320290,7.451190,7.621950,0.000000
240回目,4.320290,7.695830,7.730540,0.000000
241回目,4.179660,7.451190,7.695830,0.000000
242回目,4.057930,6.996080,7.555900,0.000000
243回目,4.320290,7.765730,7.766040,0.000000
244回目,4.162870,7.731050,7.521130,0.000000
245回目,4.162880,7.555620,7.555900,0.000000
246回目,4.057930,7.870740,7.661070,0.000000
247回目,4.022800,7.590880,7.730750,0.000000
248回目,4.162880,7.695300,7.555840,0.000000
249回目,4.267810,7.731050,6.716140,0.000000
250回目,4.179660,7.765510,7.450900,0.000000
