VerifySignatureTime,NPGPSR,NDGPSR
1回目,335.712000,96.980900
2回目,336.863000,96.693000
3回目,337.542000,97.351800
4回目,336.181000,97.540700
5回目,339.732000,96.829600
6回目,333.879000,96.674300
7回目,343.163000,96.555300
8回目,336.405000,97.298200
9回目,335.433000,98.056600
10回目,335.238000,97.207900
11回目,333.994000,96.693600
12回目,334.506000,97.251300
13回目,337.398000,97.946100
14回目,336.537000,96.447500
15回目,333.162000,96.337400
16回目,337.497000,96.608900
17回目,337.458000,96.690800
18回目,337.033000,96.841000
19回目,334.301000,96.659700
20回目,335.793000,97.978400
21回目,337.815000,97.086800
22回目,334.810000,97.958700
23回目,332.902000,96.991400
24回目,333.178000,96.785800
25回目,337.484000,99.040500
26回目,336.837000,96.971200
27回目,337.188000,97.560100
28回目,339.751000,97.815400
29回目,336.457000,97.379800
30回目,333.065000,96.583700
31回目,334.075000,96.751400
32回目,340.334000,97.589000
33回目,337.637000,96.173400
34回目,333.817000,97.497800
35回目,342.150000,96.019700
36回目,335.513000,97.352100
37回目,335.684000,96.188000
38回目,332.385000,96.887200
39回目,335.873000,96.692700
40回目,334.810000,96.672200
41回目,334.277000,97.138100
42回目,341.392000,96.228400
43回目,336.719000,97.427800
44回目,337.954000,97.659900
45回目,336.844000,96.536500
46回目,334.852000,96.359000
47回目,336.136000,97.299700
48回目,332.084000,96.756800
49回目,333.397000,96.491800
50回目,336.849000,96.856500
51回目,337.582000,97.293300
52回目,335.890000,96.527400
53回目,334.812000,96.982500
54回目,337.073000,96.657500
55回目,338.030000,96.716300
56回目,336.679000,96.374900
57回目,335.937000,96.999900
58回目,342.662000,97.150500
59回目,337.604000,97.114200
60回目,334.719000,97.586000
61回目,336.053000,97.301500
62回目,336.404000,98.142200
63回目,338.868000,95.587600
64回目,342.191000,97.994400
65回目,336.835000,97.775500
66回目,336.330000,97.192300
67回目,336.765000,97.831700
68回目,335.411000,96.782500
69回目,334.838000,96.999500
70回目,334.440000,96.753200
71回目,336.995000,96.596900
72回目,337.539000,97.011900
73回目,340.117000,97.704100
74回目,339.435000,97.183100
75回目,339.444000,97.527300
76回目,337.559000,97.645100
77回目,342.192000,97.113600
78回目,337.435000,96.585600
79回目,334.917000,95.661900
80回目,342.217000,98.061400
81回目,337.005000,98.227400
82回目,336.920000,97.205400
