HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,2.217690,2.466670,2.589740,95.335700
2回目,2.205300,2.487500,2.476790,95.335700
3回目,2.217690,2.540080,2.446350,95.335700
4回目,2.239730,2.431720,2.433480,95.335700
5回目,2.195800,2.450640,2.470340,95.335700
6回目,2.167880,2.472340,2.476990,95.335700
7回目,2.239730,2.489540,2.487390,95.335700
8回目,2.217110,2.470830,2.424890,95.335700
9回目,2.217690,2.472340,2.474790,95.335700
10回目,2.200000,2.489540,2.483470,95.335700
11回目,2.173910,2.461860,2.474790,95.335700
12回目,2.167880,2.472340,2.485480,95.335700
13回目,2.205300,2.540080,2.459570,95.335700
14回目,2.173910,2.475410,2.468880,95.335700
15回目,2.219180,2.464730,2.452990,95.335700
16回目,2.077520,2.450640,2.450220,95.335700
17回目,2.219180,2.464730,2.477180,95.335700
18回目,2.217690,2.489540,2.455700,95.335700
19回目,2.200000,2.464730,2.468620,95.335700
20回目,2.219180,2.487500,2.162160,95.335700
21回目,2.217690,2.439460,2.451060,95.335700
22回目,2.200000,2.487390,2.463830,95.335700
23回目,2.205300,2.508260,2.460580,95.335700
24回目,2.195800,2.475410,2.459230,95.335700
25回目,2.206900,2.684440,2.465520,95.335700
26回目,2.205300,2.487390,2.466100,95.335700
27回目,2.077520,2.466670,2.485360,95.335700
28回目,2.173910,2.431720,2.478260,95.335700
29回目,2.200000,2.481010,2.457630,95.335700
30回目,2.200000,2.466670,2.409910,95.335700
31回目,2.173910,2.472340,2.459090,95.335700
32回目,2.219180,2.461860,2.476600,95.335700
33回目,2.239730,2.487390,2.470590,95.335700
34回目,2.217110,2.487390,2.423580,95.335700
35回目,2.219180,2.487500,2.476990,95.335700
36回目,2.200000,2.472340,2.448560,95.335700
37回目,2.206900,2.706610,2.473030,95.335700
38回目,2.167880,2.451880,2.070920,95.335700
39回目,2.239730,2.495830,2.489540,95.335700
40回目,2.217690,2.450640,2.472570,95.335700
41回目,2.200000,2.540080,2.455320,95.335700
42回目,2.205300,2.470830,2.461860,95.335700
43回目,2.173910,2.508260,2.470340,95.335700
44回目,2.205300,2.481010,2.473030,95.335700
45回目,2.217690,2.451880,2.489540,95.335700
46回目,2.239730,2.472340,2.443510,95.335700
47回目,2.217110,2.706610,2.468350,95.335700
48回目,2.167880,2.451880,2.427310,95.335700
49回目,2.217690,2.487390,2.470340,95.335700
50回目,2.167880,2.489540,2.468350,95.335700
51回目,2.205300,2.470830,2.470590,95.335700
