PDR,GPSR,NGPSR,NPGPSR,NDGPSR
1回目,49.328900,80.602900,78.587900,95.335700
2回目,50.841800,80.602900,79.582400,95.335700
3回目,49.328900,79.863600,78.252000,95.335700
4回目,48.993300,76.237000,78.252000,95.335700
5回目,47.986600,78.515700,79.259600,95.335700
6回目,45.973200,78.923700,80.280300,95.335700
7回目,48.993300,80.253900,79.918100,95.335700
8回目,51.006700,80.602900,78.252000,95.335700
9回目,49.328900,78.923700,79.905000,95.335700
10回目,52.013400,80.253900,81.545500,95.335700
11回目,46.308700,79.256200,79.931300,95.335700
12回目,45.973200,78.923700,80.938800,95.335700
13回目,50.841800,79.863600,78.910800,95.335700
14回目,46.308700,81.959800,80.938800,95.335700
15回目,48.993300,80.938800,78.587900,95.335700
16回目,43.288600,78.515700,77.593100,95.335700
17回目,48.993300,80.938800,80.938800,95.335700
18回目,49.328900,80.253900,79.595400,95.335700
19回目,52.013400,80.938800,80.537600,95.335700
20回目,48.993300,80.602900,49.872600,95.335700
21回目,49.328900,74.905900,79.189700,95.335700
22回目,52.013400,79.931300,78.923700,95.335700
23回目,50.841800,81.261300,80.938800,95.335700
24回目,47.986600,81.959800,78.515700,95.335700
25回目,48.657700,75.561300,77.916200,95.335700
26回目,50.841800,79.931300,79.259600,95.335700
27回目,43.288600,80.602900,80.267100,95.335700
28回目,46.308700,76.237000,77.257200,95.335700
29回目,52.013400,79.595400,79.246600,95.335700
30回目,52.013400,80.602900,74.809000,95.335700
31回目,46.308700,78.923700,73.873900,95.335700
32回目,48.993300,79.256200,78.897800,95.335700
33回目,48.993300,79.931300,80.200600,95.335700
34回目,51.006700,79.931300,76.908600,95.335700
35回目,48.993300,80.602900,80.240800,95.335700
36回目,52.013400,78.923700,81.597100,95.335700
37回目,48.657700,81.261300,80.952100,95.335700
38回目,45.973200,80.253900,47.345600,95.335700
39回目,48.993300,80.602900,80.267100,95.335700
40回目,49.328900,78.515700,79.595400,95.335700
41回目,52.013400,79.863600,78.897800,95.335700
42回目,50.841800,80.602900,79.259600,95.335700
